wl_micron,value
1.4499993189,184.2572949977
1.4500007689,184.2475065937
1.4500022189,184.2268445562
1.4500036689,184.1699060444
1.4500051189,184.0668291312
1.4500065689,183.9194442621
1.4500080189,183.7334888471
1.4500094689,183.5150326092
1.4500109189,183.2763469307
1.4500123690,183.0482126976
1.4500138190,182.8839686192
1.4500152690,182.8432361123
1.4500167190,182.9600956847
1.4500181690,183.2143270741
1.4500196190,183.5286610496
1.4500210691,183.7976603415
1.4500225191,183.9318014526
1.4500239691,183.8928396966
1.4500254191,183.7034896525
1.4500268692,183.4312907925
1.4500283192,183.1563454611
1.4500297692,182.9365881538
1.4500312192,182.7898661761
1.4500326693,182.7056219579
1.4500341193,182.6770535540
1.4500355693,182.7274924049
1.4500370194,182.9057447779
1.4500384694,183.2528312413
1.4500399195,183.7647012352
1.4500413695,184.3752685702
1.4500428195,184.9692434240
1.4500442696,185.4157659288
1.4500457196,185.6096993876
1.4500471697,185.5061353194
1.4500486197,185.1354190408
1.4500500698,184.5897844450
1.4500515198,183.9841688831
1.4500529699,183.4099411122
1.4500544199,182.9090816959
1.4500558700,182.4833443423
1.4500573200,182.1271009376
1.4500587701,181.8554277145
1.4500602202,181.7041699793
1.4500616702,181.7031463203
1.4500631203,181.8443919534
1.4500645703,182.0712177704
1.4500660204,182.2985149904
1.4500674705,182.4546431713
1.4500689205,182.5229289618
1.4500703706,182.5602754088
1.4500718207,182.6790279171
1.4500732708,182.9951162510
1.4500747208,183.5657775244
1.4500761709,184.3550867306
1.4500776210,185.2538302935
1.4500790711,186.1386827240
1.4500805211,186.9217227162
1.4500819712,187.5474522144
1.4500834213,187.9532798103
1.4500848714,188.0521674625
1.4500863215,187.7691945185
1.4500877716,187.1097969540
1.4500892217,186.1916327449
1.4500906717,185.2086471224
1.4500921218,184.3530402668
1.4500935719,183.7462375990
1.4500950220,183.4184840804
1.4500964721,183.3350664936
1.4500979222,183.4412414548
1.4500993723,183.6938165109
1.4501008224,184.0599945447
1.4501022725,184.4912926344
1.4501037226,184.9035082285
1.4501051727,185.1897647368
1.4501066228,185.2663969742
1.4501080729,185.1174400061
1.4501095230,184.8027499733
1.4501109732,184.4263272955
1.4501124233,184.0891588797
1.4501138734,183.8556497735
1.4501153235,183.7421756546
1.4501167736,183.7238620144
1.4501182237,183.7545753272
1.4501196738,183.7919457392
1.4501211240,183.8159275743
1.4501225741,183.8272841298
1.4501240242,183.8294375227
1.4501254743,183.8102319407
1.4501269245,183.7397064611
1.4501283746,183.5882264462
1.4501298247,183.3507080417
1.4501312748,183.0590285091
1.4501327250,182.7701900734
1.4501341751,182.5349359736
1.4501356252,182.3701522176
1.4501370754,182.2562321939
1.4501385255,182.1647277121
1.4501399757,182.0964877418
1.4501414258,182.1016342602
1.4501428759,182.2648992593
1.4501443261,182.6608277463
1.4501457762,183.3029873548
1.4501472264,184.1185315844
1.4501486765,184.9690080686
1.4501501267,185.7121465243
1.4501515768,186.2649887604
1.4501530270,186.6226755969
1.4501544771,186.8163240958
1.4501559273,186.8503840336
1.4501573774,186.6833130347
1.4501588276,186.2692443467
1.4501602778,185.6211648189
1.4501617279,184.8316983951
1.4501631781,184.0354087651
1.4501646283,183.3493660377
1.4501660784,182.8363272218
1.4501675286,182.5071925204
1.4501689788,182.3446465979
1.4501704289,182.3214086643
1.4501718791,182.4017160711
1.4501733293,182.5349245967
