wl_micron,value
1.0499999187,111.8729558763
1.0500009687,111.8985461424
1.0500020187,111.9149525775
1.0500030687,111.9236105813
1.0500041187,111.9287513426
1.0500051687,111.9351745690
1.0500062187,111.9459476803
1.0500072687,111.9613326929
1.0500083187,111.9795499282
1.0500093687,111.9988576888
1.0500104187,112.0192338737
1.0500114687,112.0423059393
1.0500125188,112.0692571098
1.0500135688,112.0981275351
1.0500146188,112.1226603102
1.0500156688,112.1339627635
1.0500167188,112.1243664049
1.0500177688,112.0916032710
1.0500188189,112.0407525930
1.0500198689,111.9827639296
1.0500209189,111.9302941859
1.0500219689,111.8927852969
1.0500230189,111.8732695449
1.0500240690,111.8681990348
1.0500251190,111.8698679190
1.0500261690,111.8700727443
1.0500272190,111.8633323346
1.0500282691,111.8486312844
1.0500293191,111.8294015451
1.0500303691,111.8117615143
1.0500314192,111.8016286431
1.0500324692,111.8018757601
1.0500335192,111.8108909304
1.0500345693,111.8234001853
1.0500356193,111.8331551879
1.0500366693,111.8356989859
1.0500377194,111.8297789688
1.0500387694,111.8167029787
1.0500398194,111.7987999583
1.0500408695,111.7784793450
1.0500419195,111.7584992196
1.0500429696,111.7429949572
1.0500440196,111.7376509169
1.0500450697,111.7481489643
1.0500461197,111.7776359121
1.0500471697,111.8247681016
1.0500482198,111.8840616535
1.0500492698,111.9484213164
1.0500503199,112.0119373139
1.0500513699,112.0712469640
1.0500524200,112.1247427715
1.0500534700,112.1707993889
1.0500545201,112.2067868836
1.0500555702,112.2296427022
1.0500566202,112.2375778051
1.0500576703,112.2315819173
1.0500587203,112.2152151186
1.0500597704,112.1929029552
1.0500608204,112.1677141847
1.0500618705,112.1404337638
1.0500629206,112.1107080365
1.0500639706,112.0792612220
1.0500650207,112.0494630592
1.0500660708,112.0267994107
1.0500671208,112.0165040010
1.0500681709,112.0211627897
1.0500692210,112.0394411831
1.0500702710,112.0664579871
1.0500713211,112.0950788548
1.0500723712,112.1174681669
