wl_micron,value
1.8499989781,427.1773622984
1.8500008281,427.4655104876
1.8500026781,427.7735641955
1.8500045281,428.1624110910
1.8500063781,428.6724901354
1.8500082281,429.2739981567
1.8500100781,429.8676417255
1.8500119281,430.3393672049
1.8500137781,430.6303329827
1.8500156281,430.7783361782
1.8500174782,430.9196058766
1.8500193282,431.2575849346
1.8500211782,431.9954560290
1.8500230282,433.2258585114
1.8500248783,434.8115399081
1.8500267283,436.3528579090
1.8500285783,437.3244543617
1.8500304283,437.3297013841
1.8500322784,436.3189164882
1.8500341284,434.6165353319
1.8500359784,432.7433678784
1.8500378285,431.1680499321
1.8500396785,430.1321781956
1.8500415285,429.6257066814
1.8500433786,429.4748697696
1.8500452286,429.4668302134
1.8500470787,429.4485220373
1.8500489287,429.3689991030
1.8500507788,429.2640082730
1.8500526288,429.2148531188
1.8500544789,429.3167114713
1.8500563289,429.6648369135
1.8500581790,430.3401397614
1.8500600291,431.3668769626
1.8500618791,432.6516509270
1.8500637292,433.9569419843
1.8500655792,434.9573311016
1.8500674293,435.3803715293
1.8500692794,435.1514666186
1.8500711295,434.4459686314
1.8500729795,433.6002687398
1.8500748296,432.9274250301
1.8500766797,432.5574028468
1.8500785298,432.3992918526
1.8500803798,432.2401309041
1.8500822299,431.8992812319
1.8500840800,431.3291742103
1.8500859301,430.6089710267
1.8500877802,429.8579791420
1.8500896303,429.1462830724
1.8500914803,428.4746769719
1.8500933304,427.8203625530
1.8500951805,427.1977840055
1.8500970306,426.6793407032
1.8500988807,426.3682586135
1.8501007308,426.3551763632
1.8501025809,426.6869694111
1.8501044310,427.3566939426
1.8501062811,428.3031528717
1.8501081312,429.4132447380
1.8501099814,430.5295002691
1.8501118315,431.4706843497
1.8501136816,432.0777854223
1.8501155317,432.2737191591
1.8501173818,432.1071587345
1.8501192319,431.7407691248
1.8501210820,431.3691703296
1.8501229322,431.1170600783
1.8501247823,430.9861143487
1.8501266324,430.8873556857
1.8501284825,430.7273363553
1.8501303327,430.4754868861
1.8501321828,430.1738382683
1.8501340329,429.8974766310
1.8501358831,429.7013870221
1.8501377332,429.5858110009
1.8501395833,429.4905337188
1.8501414335,429.3244258854
1.8501432836,429.0205893959
1.8501451338,428.5904205061
1.8501469839,428.1434867842
1.8501488341,427.8534124460
1.8501506842,427.8839915112
1.8501525344,428.3094331830
1.8501543845,429.0639620344
1.8501562347,429.9452965749
1.8501580848,430.6777794654
1.8501599350,431.0196826550
1.8501617852,430.8620478684
1.8501636353,430.2696821780
1.8501654855,429.4395501466
1.8501673357,428.6069065935
1.8501691858,427.9582554135
1.8501710360,427.5859112749
1.8501728862,427.4895117174
1.8501747363,427.6012352668
1.8501765865,427.8179083260
1.8501784367,428.0377277353
1.8501802869,428.1984645322
1.8501821370,428.3029116086
1.8501839872,428.4142491191
1.8501858374,428.6123734049
1.8501876876,428.9339959009
1.8501895378,429.3354360876
1.8501913880,429.7030148904
1.8501932382,429.9077602207
1.8501950884,429.8715013915
1.8501969386,429.6056887164
1.8501987888,429.2023084906
1.8502006390,428.7814172918
1.8502024892,428.4283890943
1.8502043394,428.1624979429
1.8502061896,427.9548030641
1.8502080398,427.7759048563
1.8502098900,427.6343202718
1.8502117402,427.5768438753
1.8502135904,427.6575227887
1.8502154406,427.9039151970
1.8502172908,428.3025434490
1.8502191411,428.8048250895
1.8502209913,429.3396528951
1.8502228415,429.8229099713
1.8502246917,430.1675644543
1.8502265420,430.3021520314
1.8502283922,430.1936299135
1.8502302424,429.8621307238
1.8502320926,429.3754859528
1.8502339429,428.8280459187
1.8502357931,428.3202252098
1.8502376433,427.9481250863
1.8502394936,427.8005653232
1.8502413438,427.9497256123
