wl_micron,value
1.4499993189,150.0464437030
1.4500007689,149.7671073750
1.4500022189,149.4575424254
1.4500036689,149.1953497578
1.4500051189,149.0295793414
1.4500065689,148.9404565124
1.4500080189,148.8910429078
1.4500094689,148.8586822963
1.4500109189,148.8355730328
1.4500123690,148.8192309828
1.4500138190,148.8080401800
1.4500152690,148.8008165792
1.4500167190,148.7968268663
1.4500181690,148.7953810680
1.4500196190,148.7959565894
1.4500210691,148.7985334467
1.4500225191,148.8022939748
1.4500239691,148.8045494064
1.4500254191,148.8034529130
1.4500268692,148.8013406697
1.4500283192,148.8036193225
1.4500297692,148.8173821464
1.4500312192,148.8583669985
1.4500326693,148.9634214864
1.4500341193,149.1842702101
1.4500355693,149.5292538843
1.4500370194,149.8839535321
1.4500384694,150.0521309323
1.4500399195,149.9570530957
1.4500413695,149.7496573344
1.4500428195,149.6289349683
1.4500442696,149.6093028237
1.4500457196,149.5506235952
1.4500471697,149.3746291681
1.4500486197,149.1495012388
1.4500500698,148.9740544466
1.4500515198,148.8779042762
1.4500529699,148.8381113550
1.4500544199,148.8257616187
1.4500558700,148.8241496097
1.4500573200,148.8280711151
1.4500587701,148.8383235147
1.4500602202,148.8561845726
1.4500616702,148.8823177806
1.4500631203,148.9222898209
1.4500645703,149.0013619993
1.4500660204,149.1970662944
1.4500674705,149.6841818067
1.4500689205,150.6953230456
1.4500703706,152.2369445475
1.4500718207,153.7220484895
1.4500732708,154.2068371895
1.4500747208,153.3299910434
1.4500761709,151.7384073045
1.4500776210,150.3449191837
1.4500790711,149.5277178806
1.4500805211,149.1621368074
1.4500819712,149.0209583327
1.4500834213,148.9696165272
1.4500848714,148.9553216728
1.4500863215,148.9617014923
1.4500877716,148.9930774697
1.4500892217,149.0819792691
1.4500906717,149.3075238837
1.4500921218,149.7911734111
1.4500935719,150.6045723273
1.4500950220,151.5918818414
1.4500964721,152.2988381801
1.4500979222,152.2625610992
1.4500993723,151.4786820679
1.4501008224,150.4338165733
1.4501022725,149.6157280550
1.4501037226,149.1620099240
1.4501051727,148.9625828295
1.4501066228,148.8828212337
1.4501080729,148.8489019627
1.4501095230,148.8323394002
1.4501109732,148.8225977467
1.4501124233,148.8146940305
1.4501138734,148.8068048570
1.4501153235,148.7993924097
1.4501167736,148.7938997762
1.4501182237,148.7913764435
1.4501196738,148.7917511813
1.4501211240,148.7934722422
1.4501225741,148.7943453747
1.4501240242,148.7935152580
1.4501254743,148.7919606392
1.4501269245,148.7906900577
1.4501283746,148.7894290521
1.4501298247,148.7875570695
1.4501312748,148.7855256659
1.4501327250,148.7846122419
1.4501341751,148.7855738250
1.4501356252,148.7881124972
1.4501370754,148.7915472474
1.4501385255,148.7961607030
1.4501399757,148.8046170716
1.4501414258,148.8246845202
1.4501428759,148.8740202330
1.4501443261,148.9781297125
1.4501457762,149.1415687848
1.4501472264,149.3038064777
1.4501486765,149.3593311815
1.4501501267,149.2665311099
1.4501515768,149.0978784806
1.4501530270,148.9530062840
1.4501544771,148.8704385594
1.4501559273,148.8349519237
1.4501573774,148.8226858819
1.4501588276,148.8193122923
1.4501602778,148.8184202973
1.4501617279,148.8174378239
1.4501631781,148.8158044023
1.4501646283,148.8142003645
1.4501660784,148.8137332510
1.4501675286,148.8150626401
1.4501689788,148.8186113189
1.4501704289,148.8247254124
1.4501718791,148.8329530155
1.4501733293,148.8414716089
1.4501747794,148.8482255807
1.4501762296,148.8528636906
1.4501776798,148.8572710931
1.4501791300,148.8651117633
1.4501805801,148.8831378421
1.4501820303,148.9277359367
1.4501834805,149.0343981916
1.4501849307,149.2501069616
1.4501863809,149.5761966691
1.4501878311,149.8959235466
1.4501892813,150.0185767932
1.4501907314,149.8625673209
1.4501921816,149.5469949755
1.4501936318,149.2550707642
1.4501950820,149.0738909126
1.4501965322,148.9905199243
1.4501979824,148.9670893015
1.4501994326,148.9857076910
1.4502008828,149.0542867377
1.4502023330,149.1866629811
1.4502037832,149.3582467821
1.4502052334,149.4818392239
1.4502066836,149.4741515360
1.4502081338,149.3516019668
1.4502095841,149.2098338173
1.4502110343,149.1200625751
1.4502124845,149.0891645703
1.4502139347,149.0948400846
1.4502153849,149.1189006203
1.4502168351,149.1540353609
1.4502182853,149.1997394237
1.4502197356,149.2584481066
1.4502211858,149.3338454531
1.4502226360,149.4310991837
1.4502240862,149.5583817179
1.4502255364,149.7292547848
1.4502269867,149.9709197717
1.4502284369,150.3508280347
1.4502298871,151.0706768705
1.4502313374,152.7393095653
1.4502327876,156.8172714503
1.4502342378,165.4063906291
1.4502356881,178.7657052625
1.4502371383,191.9684279521
1.4502385885,196.9770681084
1.4502400388,190.3402997244
1.4502414890,176.8278142704
1.4502429393,164.2176836752
1.4502443895,156.4040931443
1.4502458397,152.7456229519
1.4502472900,151.3461611805
1.4502487402,150.9957636403
1.4502501905,151.1550595075
1.4502516407,151.4330189716
1.4502530910,151.4297403568
1.4502545412,150.9978177797
1.4502559915,150.3655222250
1.4502574418,149.8421684745
1.4502588920,149.5395908063
1.4502603423,149.4103109944
1.4502617925,149.3936639233
1.4502632428,149.4669359839
1.4502646931,149.6063009506
1.4502661433,149.7454843474
1.4502675936,149.8282384785
1.4502690439,149.9375117633
1.4502704941,150.3397956550
1.4502719444,151.3165985256
1.4502733947,152.7919822085
1.4502748450,154.0669837522
1.4502762952,154.2572917832
1.4502777455,153.2147409278
1.4502791958,151.6914941551
1.4502806461,150.5006376382
1.4502820963,149.8942221769
1.4502835466,149.7450429401
1.4502849969,149.9674686787
1.4502864472,150.7395936105
1.4502878975,152.4355656466
1.4502893478,155.0991124683
1.4502907981,157.7243963116
1.4502922484,158.6488085253
1.4502936986,157.3317359945
1.4502951489,155.2046886894
1.4502965992,154.2371657271
1.4502980495,155.1195024097
1.4502994998,156.8328987940
1.4503009501,157.5816587483
1.4503024004,156.4115367752
1.4503038507,154.0071624040
1.4503053010,151.7323899747
1.4503067513,150.3050452626
1.4503082017,149.6264697668
1.4503096520,149.3472738747
1.4503111023,149.2288196518
1.4503125526,149.1681204747
1.4503140029,149.1282072060
1.4503154532,149.0957765043
1.4503169035,149.0669503955
1.4503183538,149.0422752303
1.4503198042,149.0237297786
1.4503212545,149.0123528493
1.4503227048,149.0072015589
1.4503241551,149.0081369185
1.4503256055,149.0228462293
1.4503270558,149.0712372316
1.4503285061,149.1718709827
1.4503299564,149.3044879125
1.4503314068,149.3926613386
1.4503328571,149.3661550555
1.4503343074,149.2427436633
1.4503357578,149.1051992659
1.4503372081,149.0115316905
