wl_micron,value
1.0499999187,109.7288925389
1.0500009687,109.7269076327
1.0500020187,109.7265393645
1.0500030687,109.7293994686
1.0500041187,109.7353800593
1.0500051687,109.7418433601
1.0500062187,109.7446421555
1.0500072687,109.7420368062
1.0500083187,109.7368099407
1.0500093687,109.7331967463
1.0500104187,109.7329765840
1.0500114687,109.7349100659
1.0500125188,109.7367295576
1.0500135688,109.7374386957
1.0500146188,109.7375764940
1.0500156688,109.7374381072
1.0500167188,109.7366393331
1.0500177688,109.7357829813
1.0500188189,109.7373688189
1.0500198689,109.7452285439
1.0500209189,109.7626515093
1.0500219689,109.7872740204
1.0500230189,109.8068225335
1.0500240690,109.8074336614
1.0500251190,109.7894690628
1.0500261690,109.7672258751
1.0500272190,109.7524495379
1.0500282691,109.7457694443
1.0500293191,109.7423434829
1.0500303691,109.7390082749
1.0500314192,109.7356907361
1.0500324692,109.7332780824
1.0500335192,109.7320202388
1.0500345693,109.7315743107
1.0500356193,109.7315465580
1.0500366693,109.7317139484
1.0500377194,109.7319977953
1.0500387694,109.7324033513
1.0500398194,109.7330166175
1.0500408695,109.7340290550
1.0500419195,109.7357024235
1.0500429696,109.7381785923
1.0500440196,109.7411799198
1.0500450697,109.7439293537
1.0500461197,109.7457021114
1.0500471697,109.7466822557
1.0500482198,109.7479597342
1.0500492698,109.7502477847
1.0500503199,109.7525992552
1.0500513699,109.7529896451
1.0500524200,109.7506201115
1.0500534700,109.7469783350
1.0500545201,109.7443065230
1.0500555702,109.7440107150
1.0500566202,109.7465248227
1.0500576703,109.7513290987
1.0500587203,109.7566929940
1.0500597704,109.7602993508
1.0500608204,109.7607835133
1.0500618705,109.7588786779
1.0500629206,109.7571183359
1.0500639706,109.7579838156
1.0500650207,109.7619729876
1.0500660708,109.7671634574
1.0500671208,109.7705249402
1.0500681709,109.7700996573
1.0500692210,109.7661440398
1.0500702710,109.7605958405
1.0500713211,109.7560914102
1.0500723712,109.7552678527
1.0500734212,109.7609181524
1.0500744713,109.7759242319
1.0500755214,109.7993952124
1.0500765715,109.8212380471
1.0500776216,109.8270794751
1.0500786716,109.8132656170
1.0500797217,109.7906750067
1.0500807718,109.7718372161
1.0500818219,109.7613717989
1.0500828720,109.7580618113
1.0500839220,109.7590740261
1.0500849721,109.7611131697
1.0500860222,109.7612143475
1.0500870723,109.7586446206
1.0500881224,109.7551410972
1.0500891725,109.7526303545
1.0500902226,109.7515727539
1.0500912726,109.7514625807
