wl_micron,value
1.8499989781,410.4954657149
1.8500008281,410.6479992491
1.8500026781,410.6395904689
1.8500045281,410.4756194903
1.8500063781,410.2786350207
1.8500082281,410.1486668606
1.8500100781,410.0887454371
1.8500119281,410.0565311437
1.8500137781,410.0327765352
1.8500156281,410.0317512845
1.8500174782,410.0704765688
1.8500193282,410.1369611562
1.8500211782,410.1875868554
1.8500230282,410.1815660413
1.8500248783,410.1183837498
1.8500267283,410.0363617127
1.8500285783,409.9818481341
1.8500304283,409.9923803632
1.8500322784,410.1115484520
1.8500341284,410.4075440744
1.8500359784,410.9292153944
1.8500378285,411.5705319007
1.8500396785,412.0184831920
1.8500415285,412.0225210271
1.8500433786,411.7153107645
1.8500452286,411.4442050530
1.8500470787,411.3195408551
1.8500489287,411.1651322925
1.8500507788,410.8588080853
1.8500526288,410.4980733928
1.8500544789,410.2484848381
1.8500563289,410.1824649911
1.8500581790,410.2622288777
1.8500600291,410.3809670525
1.8500618791,410.4235658916
1.8500637292,410.3497734188
1.8500655792,410.2259055502
1.8500674293,410.1605939215
1.8500692794,410.2262655155
1.8500711295,410.4393345622
1.8500729795,410.7661843666
1.8500748296,411.1165181940
1.8500766797,411.3781112176
1.8500785298,411.5136205827
1.8500803798,411.5626270796
1.8500822299,411.5068807163
1.8500840800,411.2706073626
1.8500859301,410.8869953046
1.8500877802,410.5082884878
1.8500896303,410.2465063864
1.8500914803,410.1097608723
1.8500933304,410.0666804107
1.8500951805,410.1105083516
1.8500970306,410.2674491253
1.8500988807,410.5408376258
1.8501007308,410.8366390998
1.8501025809,410.9971089480
1.8501044310,410.9623225092
1.8501062811,410.8527841299
1.8501081312,410.8384007885
1.8501099814,410.9540873764
1.8501118315,411.0714218324
1.8501136816,411.0431768301
1.8501155317,410.8452126707
1.8501173818,410.5640230515
1.8501192319,410.2994179936
1.8501210820,410.1097441008
1.8501229322,410.0073279883
1.8501247823,409.9777598364
1.8501266324,410.0118724819
1.8501284825,410.1225305065
1.8501303327,410.3237524215
1.8501321828,410.5904742698
1.8501340329,410.8494801021
1.8501358831,411.0102232658
1.8501377332,411.0034067415
1.8501395833,410.8233599586
1.8501414335,410.5488901361
1.8501432836,410.2905641359
1.8501451338,410.1138926832
1.8501469839,410.0259086635
1.8501488341,410.0092795710
1.8501506842,410.0401143192
1.8501525344,410.0829556387
1.8501543845,410.1025956207
1.8501562347,410.0920179429
1.8501580848,410.0704735833
1.8501599350,410.0531895404
1.8501617852,410.0393925622
1.8501636353,410.0228486553
1.8501654855,410.0013908481
1.8501673357,409.9806152530
1.8501691858,409.9695685488
1.8501710360,409.9702789535
1.8501728862,409.9774085689
1.8501747363,409.9915689863
1.8501765865,410.0278750714
1.8501784367,410.1098652710
1.8501802869,410.2619816136
1.8501821370,410.5101659018
1.8501839872,410.8612809633
1.8501858374,411.2351260025
1.8501876876,411.4423752172
1.8501895378,411.3294313526
1.8501913880,410.9538429221
1.8501932382,410.5365303511
1.8501950884,410.2530167028
1.8501969386,410.1279312666
1.8501987888,410.0924490326
1.8502006390,410.0818744972
1.8502024892,410.0904544118
1.8502043394,410.1729627769
1.8502061896,410.3966297995
1.8502080398,410.7450229824
1.8502098900,411.0473863654
1.8502117402,411.0877018128
1.8502135904,410.8386684444
1.8502154406,410.5016319745
1.8502172908,410.2978338172
1.8502191411,410.3119600463
1.8502209913,410.4963329055
1.8502228415,410.7128159284
1.8502246917,410.8160998146
1.8502265420,410.7957095276
1.8502283922,410.7945146897
1.8502302424,410.9120413688
1.8502320926,411.0462374864
1.8502339429,411.0145663104
1.8502357931,410.7846496608
1.8502376433,410.4891203479
1.8502394936,410.2541431726
1.8502413438,410.1117542813
1.8502431941,410.0451098984
1.8502450443,410.0348447216
1.8502468946,410.0666705176
1.8502487448,410.1362631967
1.8502505951,410.2566546423
1.8502524453,410.4442158290
1.8502542956,410.6911101169
1.8502561458,410.9624166508
1.8502579961,411.2052609319
1.8502598463,411.3338264471
1.8502616966,411.2695722439
1.8502635469,411.0739266481
1.8502653971,410.9592299007
1.8502672474,411.0741214467
1.8502690977,411.3333075918
1.8502709479,411.5145156017
1.8502727982,411.4800828520
1.8502746485,411.2626434196
1.8502764987,410.9756116783
1.8502783490,410.7040234225
1.8502801993,410.4775339380
1.8502820496,410.3013763789
1.8502838999,410.1826259034
1.8502857501,410.1286213857
1.8502876004,410.1389636875
1.8502894507,410.2019532983
1.8502913010,410.2876552190
1.8502931513,410.3446338260
1.8502950016,410.3282432562
1.8502968519,410.2450791721
1.8502987022,410.1495549094
1.8503005525,410.0949524434
1.8503024028,410.1076958371
1.8503042531,410.1996179727
1.8503061034,410.3819878528
1.8503079537,410.6575203243
1.8503098040,410.9808922472
1.8503116543,411.2215121067
1.8503135046,411.2272283053
1.8503153550,410.9788648001
1.8503172053,410.6288411932
1.8503190556,410.3501505140
1.8503209059,410.2053955086
1.8503227562,410.1652714592
1.8503246066,410.1830009968
1.8503264569,410.2342486728
1.8503283072,410.3169731522
1.8503301575,410.4242462743
1.8503320079,410.5158280222
1.8503338582,410.5341972691
1.8503357085,410.4609085831
1.8503375589,410.3419537081
1.8503394092,410.2538957152
1.8503412596,410.2640905263
1.8503431099,410.4231619693
1.8503449602,410.7575993032
1.8503468106,411.2303888146
1.8503486609,411.7241597658
1.8503505113,412.1108303464
1.8503523616,412.2999916394
1.8503542120,412.1944195344
1.8503560623,411.7530509220
1.8503579127,411.1379405358
1.8503597631,410.6255646343
1.8503616134,410.3849509343
1.8503634638,410.4406154570
1.8503653141,410.7385516476
1.8503671645,411.1242432416
1.8503690149,411.3458351093
1.8503708653,411.2405049697
1.8503727156,410.9039592069
1.8503745660,410.5697924561
1.8503764164,410.3654302282
1.8503782668,410.2613920720
1.8503801171,410.1891956993
1.8503819675,410.1243751498
1.8503838179,410.0757113122
1.8503856683,410.0487716817
1.8503875187,410.0373240479
1.8503893691,410.0370800815
1.8503912194,410.0549822247
1.8503930698,410.1013027565
1.8503949202,410.1712677284
1.8503967706,410.2389800595
1.8503986210,410.2850344885
1.8504004714,410.3321454101
1.8504023218,410.4329319705
1.8504041722,410.6172415649
1.8504060226,410.8561557682
1.8504078730,411.0543142931
1.8504097234,411.0906661209
1.8504115739,410.9381859466
1.8504134243,410.7310113707
1.8504152747,410.6459099372
1.8504171251,410.7494393937
1.8504189755,410.9746910954
1.8504208259,411.1688565164
1.8504226764,411.1806156098
1.8504245268,410.9917898220
1.8504263772,410.7314842053
1.8504282276,410.5220242831
1.8504300781,410.3876321899
1.8504319285,410.3131214630
1.8504337789,410.2962725052
1.8504356294,410.3446169492
1.8504374798,410.4879153712
1.8504393302,410.7785819421
1.8504411807,411.1943005661
1.8504430311,411.5339766759
1.8504448816,411.5432774879
1.8504467320,411.1981197438
1.8504485825,410.7381627604
1.8504504329,410.4048051391
1.8504522834,410.2775722808
1.8504541338,410.3399240734
1.8504559843,410.5549144620
1.8504578347,410.8397657034
1.8504596852,411.0589634198
1.8504615356,411.1416298706
1.8504633861,411.1673527736
1.8504652366,411.2290355518
1.8504670870,411.2619068222
1.8504689375,411.1342554617
1.8504707880,410.8545260818
1.8504726384,410.5724160940
1.8504744889,410.4245071163
1.8504763394,410.4502760763
1.8504781899,410.5935742671
1.8504800404,410.7312937054
1.8504818908,410.7614466021
1.8504837413,410.7081363082
1.8504855918,410.7084714119
1.8504874423,410.8697724822
1.8504892928,411.1341344143
1.8504911433,411.3038917523
1.8504929938,411.2484134031
1.8504948443,411.0566314197
1.8504966947,410.9289154330
1.8504985452,410.9701933917
1.8505003957,411.1383791543
1.8505022462,411.3592320186
1.8505040968,411.6013893810
1.8505059473,411.7839137975
1.8505077978,411.7363659788
1.8505096483,411.3888948227
1.8505114988,410.9019655541
1.8505133493,410.5022401064
1.8505151998,410.2789235843
1.8505170503,410.1852632682
1.8505189008,410.1471393558
1.8505207514,410.1258848871
1.8505226019,410.1184506558
1.8505244524,410.1334692605
1.8505263029,410.1700439971
1.8505281535,410.2124564939
1.8505300040,410.2459253472
1.8505318545,410.2778742869
1.8505337051,410.3289985911
1.8505355556,410.3950306231
1.8505374061,410.4395570784
1.8505392567,410.4365558331
1.8505411072,410.3992458562
1.8505429577,410.3635349888
1.8505448083,410.3593117740
1.8505466588,410.3882071715
1.8505485094,410.4176052974
1.8505503599,410.4120993713
1.8505522105,410.3768735930
1.8505540610,410.3499828499
1.8505559116,410.3487226182
1.8505577621,410.3495478114
1.8505596127,410.3312434879
1.8505614633,410.3191364913
1.8505633138,410.3765930095
1.8505651644,410.5572628276
1.8505670150,410.8473987867
1.8505688655,411.1276451443
1.8505707161,411.2268180385
1.8505725667,411.0763477347
1.8505744172,410.7888106824
1.8505762678,410.5380560173
1.8505781184,410.4027551217
1.8505799690,410.3551074570
1.8505818196,410.3489584800
1.8505836701,410.3829133759
1.8505855207,410.5017451938
