wl_micron,value
1.4499993189,148.6479009314
1.4500007689,148.6487849288
1.4500022189,148.6496689188
1.4500036689,148.6505529015
1.4500051189,148.6514368768
1.4500065689,148.6523208448
1.4500080189,148.6532048055
1.4500094689,148.6540887589
1.4500109189,148.6549727049
1.4500123690,148.6558566436
1.4500138190,148.6567405750
1.4500152690,148.6576244990
1.4500167190,148.6585084157
1.4500181690,148.6593923251
1.4500196190,148.6602762271
1.4500210691,148.6611601218
1.4500225191,148.6620440092
1.4500239691,148.6629278893
1.4500254191,148.6638117620
1.4500268692,148.6646956274
1.4500283192,148.6655794854
1.4500297692,148.6664633362
1.4500312192,148.6673471796
1.4500326693,148.6682310157
1.4500341193,148.6691148444
1.4500355693,148.6699986658
1.4500370194,148.6708824799
1.4500384694,148.6717662867
1.4500399195,148.6726500861
1.4500413695,148.6735338782
1.4500428195,148.6744176630
1.4500442696,148.6753014404
1.4500457196,148.6761852105
1.4500471697,148.6770689733
1.4500486197,148.6779527288
1.4500500698,148.6788364769
1.4500515198,148.6797202177
1.4500529699,148.6806039512
1.4500544199,148.6814876774
1.4500558700,148.6823713962
1.4500573200,148.6832551077
1.4500587701,148.6841388118
1.4500602202,148.6850225087
1.4500616702,148.6859061982
1.4500631203,148.6867898804
1.4500645703,148.6876735553
1.4500660204,148.6885572228
1.4500674705,148.6894408830
1.4500689205,148.6903245359
1.4500703706,148.6912081815
1.4500718207,148.6920918197
1.4500732708,148.6929754506
1.4500747208,148.6938590742
1.4500761709,148.6947426905
1.4500776210,148.6956262994
1.4500790711,148.6965099010
1.4500805211,148.6973934953
1.4500819712,148.6982770822
1.4500834213,148.6991606619
1.4500848714,148.7000442342
1.4500863215,148.7009277992
1.4500877716,148.7018113568
1.4500892217,148.7026949072
1.4500906717,148.7035784502
1.4500921218,148.7044619859
1.4500935719,148.7053455142
1.4500950220,148.7062290353
1.4500964721,148.7071125490
1.4500979222,148.7079960554
1.4500993723,148.7088795545
1.4501008224,148.7097630462
1.4501022725,148.7106465306
1.4501037226,148.7115300077
1.4501051727,148.7124134775
1.4501066228,148.7132969400
1.4501080729,148.7141803951
1.4501095230,148.7150638429
1.4501109732,148.7159472834
1.4501124233,148.7168307166
1.4501138734,148.7177141424
1.4501153235,148.7185975609
1.4501167736,148.7194790593
1.4501182237,148.7203588340
1.4501196738,148.7212386014
1.4501211240,148.7221183616
1.4501225741,148.7229981146
1.4501240242,148.7238778602
1.4501254743,148.7247575986
1.4501269245,148.7256373298
1.4501283746,148.7265170537
1.4501298247,148.7273967704
1.4501312748,148.7282764798
1.4501327250,148.7291561819
1.4501341751,148.7300358768
1.4501356252,148.7309155644
1.4501370754,148.7317952448
1.4501385255,148.7326749179
1.4501399757,148.7335545838
1.4501414258,148.7344342424
1.4501428759,148.7353138937
1.4501443261,148.7361935378
1.4501457762,148.7370731747
1.4501472264,148.7379528042
1.4501486765,148.7388324266
1.4501501267,148.7397120416
1.4501515768,148.7405916495
1.4501530270,148.7414712500
1.4501544771,148.7423508434
1.4501559273,148.7432304294
1.4501573774,148.7441100082
1.4501588276,148.7449895798
1.4501602778,148.7458691441
1.4501617279,148.7467487011
1.4501631781,148.7476282509
1.4501646283,148.7485077934
1.4501660784,148.7493873287
1.4501675286,148.7502668568
1.4501689788,148.7511463775
1.4501704289,148.7520258911
1.4501718791,148.7529053973
1.4501733293,148.7537848964
1.4501747794,148.7546643881
1.4501762296,148.7555438726
1.4501776798,148.7564233499
1.4501791300,148.7573028199
1.4501805801,148.7581822827
1.4501820303,148.7590617382
1.4501834805,148.7599411864
1.4501849307,148.7608206274
1.4501863809,148.7617000612
1.4501878311,148.7625794877
1.4501892813,148.7634589070
1.4501907314,148.7643383190
1.4501921816,148.7652177237
1.4501936318,148.7660971212
1.4501950820,148.7669765115
1.4501965322,148.7678558945
1.4501979824,148.7687352702
1.4501994326,148.7696146387
1.4502008828,148.7704940000
1.4502023330,148.7713733540
1.4502037832,148.7722527007
1.4502052334,148.7731320402
1.4502066836,148.7740113725
1.4502081338,148.7748906975
1.4502095841,148.7757700152
1.4502110343,148.7766493257
1.4502124845,148.7775286290
1.4502139347,148.7784079250
1.4502153849,148.7792872137
1.4502168351,148.7801664953
1.4502182853,148.7810457695
1.4502197356,148.7819250365
1.4502211858,148.7828042963
1.4502226360,148.7836835488
1.4502240862,148.7845627941
1.4502255364,148.7854420321
1.4502269867,148.7863212629
1.4502284369,148.7872004864
1.4502298871,148.7880797027
1.4502313374,148.7889589117
1.4502327876,148.7898381135
1.4502342378,148.7907173080
1.4502356881,148.7915964953
1.4502371383,148.7924756754
1.4502385885,148.7933548482
1.4502400388,148.7942340137
1.4502414890,148.7951131720
1.4502429393,148.7959923231
1.4502443895,148.7968714669
1.4502458397,148.7977506035
1.4502472900,148.7986297328
1.4502487402,148.7995088549
1.4502501905,148.8003879697
1.4502516407,148.8012670773
1.4502530910,148.8021461776
1.4502545412,148.8030252707
1.4502559915,148.8039043566
1.4502574418,148.8047834352
1.4502588920,148.8056625065
1.4502603423,148.8065415706
1.4502617925,148.8074206275
1.4502632428,148.8082996771
1.4502646931,148.8091787195
1.4502661433,148.8100577547
1.4502675936,148.8109367826
1.4502690439,148.8118158032
1.4502704941,148.8126948166
1.4502719444,148.8135738228
1.4502733947,148.8144528217
1.4502748450,148.8153318134
1.4502762952,148.8162107978
1.4502777455,148.8170897750
1.4502791958,148.8179687450
1.4502806461,148.8188477077
1.4502820963,148.8197266632
1.4502835466,148.8206056114
1.4502849969,148.8214845524
1.4502864472,148.8223634861
1.4502878975,148.8232424126
1.4502893478,148.8241213319
1.4502907981,148.8250002439
1.4502922484,148.8258791486
1.4502936986,148.8267580462
1.4502951489,148.8276369365
1.4502965992,148.8285158195
1.4502980495,148.8293946953
1.4502994998,148.8302735639
1.4503009501,148.8311524252
1.4503024004,148.8320312793
1.4503038507,148.8329101261
1.4503053010,148.8337889657
1.4503067513,148.8346677981
1.4503082017,148.8355466232
1.4503096520,148.8364254411
1.4503111023,148.8373042518
1.4503125526,148.8381830552
1.4503140029,148.8390618513
1.4503154532,148.8399406403
1.4503169035,148.8408194219
1.4503183538,148.8416981964
1.4503198042,148.8425769636
1.4503212545,148.8434557236
1.4503227048,148.8443344763
1.4503241551,148.8452132218
1.4503256055,148.8460919600
1.4503270558,148.8469706911
1.4503285061,148.8478494148
1.4503299564,148.8487281314
1.4503314068,148.8496068407
1.4503328571,148.8504855427
1.4503343074,148.8513642376
1.4503357578,148.8522429251
1.4503372081,148.8531216055
1.4503386584,148.8540002786
1.4503401088,148.8548789445
1.4503415591,148.8557576031
1.4503430095,148.8566362545
1.4503444598,148.8575148987
1.4503459102,148.8583935356
1.4503473605,148.8592721653
1.4503488109,148.8601507878
1.4503502612,148.8610294030
1.4503517116,148.8619080110
1.4503531619,148.8627866117
1.4503546123,148.8636652052
1.4503560626,148.8645437915
1.4503575130,148.8654223705
1.4503589633,148.8663009423
1.4503604137,148.8671795069
1.4503618641,148.8680580642
1.4503633144,148.8689366143
1.4503647648,148.8698151572
1.4503662151,148.8706936928
1.4503676655,148.8715722212
1.4503691159,148.8724507424
1.4503705662,148.8733292563
1.4503720166,148.8742077630
1.4503734670,148.8750862625
1.4503749174,148.8759647547
1.4503763677,148.8768432397
1.4503778181,148.8777217174
1.4503792685,148.8786001879
1.4503807189,148.8794786512
1.4503821693,148.8803571073
1.4503836196,148.8812355561
1.4503850700,148.8821139977
1.4503865204,148.8829924321
1.4503879708,148.8838708592
1.4503894212,148.8847492791
1.4503908716,148.8856276917
1.4503923220,148.8865060972
1.4503937724,148.8873844953
1.4503952228,148.8882628863
1.4503966732,148.8891412700
1.4503981236,148.8900196465
1.4503995740,148.8908980158
1.4504010244,148.8917763778
1.4504024748,148.8926547326
1.4504039252,148.8935330802
1.4504053756,148.8944114205
1.4504068260,148.8952897537
1.4504082764,148.8961680795
1.4504097268,148.8970463982
1.4504111772,148.8979247096
1.4504126276,148.8988030138
1.4504140780,148.8996813107
1.4504155284,148.9005596005
1.4504169788,148.9014378830
1.4504184293,148.9023161582
1.4504198797,148.9031944262
1.4504213301,148.9040726871
1.4504227805,148.9049509406
1.4504242310,148.9058291870
1.4504256814,148.9067074261
1.4504271318,148.9075856580
1.4504285822,148.9084638826
1.4504300327,148.9093421001
1.4504314831,148.9102203103
1.4504329335,148.9110985132
1.4504343840,148.9119767090
1.4504358344,148.9128548975
1.4504372848,148.9137330788
1.4504387353,148.9146112528
1.4504401857,148.9154894197
1.4504416361,148.9163675793
1.4504430866,148.9172457316
1.4504445370,148.9181238768
1.4504459875,148.9190020147
1.4504474379,148.9198801454
1.4504488884,148.9207582689
1.4504503388,148.9216363851
1.4504517893,148.9225144941
1.4504532397,148.9233925959
1.4504546902,148.9242706905
1.4504561406,148.9251487778
1.4504575911,148.9260268579
1.4504590416,148.9269049308
1.4504604920,148.9277829964
1.4504619425,148.9286610548
1.4504633929,148.9295391060
1.4504648434,148.9304171500
1.4504662939,148.9312951868
1.4504677443,148.9321732163
1.4504691948,148.9330512386
1.4504706453,148.9339292537
1.4504720957,148.9348072615
1.4504735462,148.9356852621
1.4504749967,148.9365632555
1.4504764472,148.9374412417
1.4504778976,148.9383192206
1.4504793481,148.9391971924
1.4504807986,148.9400751569
1.4504822491,148.9409531141
1.4504836996,148.9418310642
1.4504851500,148.9427090070
1.4504866005,148.9435869426
1.4504880510,148.9444648710
1.4504895015,148.9453427922
1.4504909520,148.9462207061
1.4504924025,148.9470986128
1.4504938530,148.9479765123
1.4504953035,148.9488544045
1.4504967540,148.9497322896
1.4504982045,148.9506101674
1.4504996550,148.9514880380
1.4505011055,148.9523659014
1.4505025560,148.9532437575
1.4505040065,148.9541216064
1.4505054570,148.9549994482
1.4505069075,148.9558772826
1.4505083580,148.9567551099
1.4505098085,148.9576329299
1.4505112590,148.9585107428
1.4505127095,148.9593885484
1.4505141600,148.9602663467
1.4505156106,148.9611441379
1.4505170611,148.9620219218
1.4505185116,148.9628996985
1.4505199621,148.9637774680
1.4505214126,148.9646552303
1.4505228632,148.9655329853
1.4505243137,148.9664107332
1.4505257642,148.9672884738
1.4505272147,148.9681662072
1.4505286653,148.9690439333
1.4505301158,148.9699216523
1.4505315663,148.9707993640
1.4505330168,148.9716770685
1.4505344674,148.9725547658
1.4505359179,148.9734324559
1.4505373685,148.9743132811
1.4505388190,148.9751977609
1.4505402695,148.9760822334
1.4505417201,148.9769666986
1.4505431706,148.9778511564
1.4505446212,148.9787356069
1.4505460717,148.9796200500
1.4505475223,148.9805044858
1.4505489728,148.9813889143
1.4505504234,148.9822733355
1.4505518739,148.9831577493
1.4505533245,148.9840421557
1.4505547750,148.9849265549
1.4505562256,148.9858109466
1.4505576761,148.9866953311
1.4505591267,148.9875797082
1.4505605772,148.9884640780
1.4505620278,148.9893484404
1.4505634784,148.9902327955
1.4505649289,148.9911171433
1.4505663795,148.9920014838
1.4505678301,148.9928858169
1.4505692806,148.9937701426
1.4505707312,148.9946544610
1.4505721818,148.9955387721
1.4505736323,148.9964230759
1.4505750829,148.9973073723
1.4505765335,148.9981916614
1.4505779841,148.9990759432
1.4505794346,148.9999602176
1.4505808852,149.0008444847
1.4505823358,149.0017287444
1.4505837864,149.0026129968
1.4505852370,149.0034972419
1.4505866876,149.0043814797
1.4505881382,149.0052657101
1.4505895887,149.0061499331
1.4505910393,149.0070341489
1.4505924899,149.0079183573
1.4505939405,149.0088025584
1.4505953911,149.0096867521
1.4505968417,149.0105709385
1.4505982923,149.0114551176
1.4505997429,149.0123392894
1.4506011935,149.0132234538
1.4506026441,149.0141076109
1.4506040947,149.0149917606
1.4506055453,149.0158759030
1.4506069959,149.0167600381
1.4506084465,149.0176441659
1.4506098971,149.0185282863
1.4506113477,149.0194123994
1.4506127984,149.0202965051
1.4506142490,149.0211806036
1.4506156996,149.0220646947
1.4506171502,149.0229487784
1.4506186008,149.0238328549
1.4506200514,149.0247169240
1.4506215021,149.0256009857
1.4506229527,149.0264850402
1.4506244033,149.0273690873
1.4506258539,149.0282531271
1.4506273046,149.0291371595
1.4506287552,149.0300211846
1.4506302058,149.0309052024
1.4506316564,149.0317892129
1.4506331071,149.0326732160
1.4506345577,149.0335572118
1.4506360083,149.0344412003
1.4506374590,149.0353251814
1.4506389096,149.0362091552
1.4506403603,149.0370931217
1.4506418109,149.0379770809
1.4506432615,149.0388610327
1.4506447122,149.0397449772
1.4506461628,149.0406289143
1.4506476135,149.0415128442
1.4506490641,149.0423967667
1.4506505148,149.0432806819
1.4506519654,149.0441645897
1.4506534161,149.0450484903
1.4506548667,149.0459323835
1.4506563174,149.0468162693
1.4506577681,149.0477001479
1.4506592187,149.0485840191
1.4506606694,149.0494678830
1.4506621200,149.0503517395
1.4506635707,149.0512355888
1.4506650214,149.0521194307
1.4506664720,149.0530032653
1.4506679227,149.0538870925
1.4506693734,149.0547709125
1.4506708240,149.0556547251
1.4506722747,149.0565385303
1.4506737254,149.0574223283
1.4506751761,149.0583061189
1.4506766267,149.0591899022
1.4506780774,149.0600736782
1.4506795281,149.0609574468
1.4506809788,149.0618412082
1.4506824294,149.0627249622
1.4506838801,149.0636087088
1.4506853308,149.0644924482
1.4506867815,149.0653761802
1.4506882322,149.0662599049
1.4506896829,149.0671436223
1.4506911336,149.0680273324
1.4506925843,149.0689110351
1.4506940350,149.0697947305
1.4506954856,149.0706784186
1.4506969363,149.0715620993
1.4506983870,149.0724457727
1.4506998377,149.0733294389
1.4507012884,149.0742130976
1.4507027391,149.0750967491
1.4507041898,149.0759803932
1.4507056405,149.0768640301
1.4507070913,149.0777476596
1.4507085420,149.0786312817
1.4507099927,149.0795148966
1.4507114434,149.0803985041
1.4507128941,149.0812821043
1.4507143448,149.0821656972
1.4507157955,149.0830492827
1.4507172462,149.0839328610
1.4507186970,149.0848164319
1.4507201477,149.0856999955
1.4507215984,149.0865835518
1.4507230491,149.0874671007
1.4507244998,149.0883506423
1.4507259506,149.0892341766
1.4507274013,149.0901177036
1.4507288520,149.0910012233
1.4507303028,149.0918847357
1.4507317535,149.0927682407
1.4507332042,149.0936517384
1.4507346550,149.0945352288
1.4507361057,149.0954187118
1.4507375564,149.0963021876
1.4507390072,149.0971856560
1.4507404579,149.0980691171
1.4507419086,149.0989525709
1.4507433594,149.0998360174
1.4507448101,149.1007194565
1.4507462609,149.1016028883
1.4507477116,149.1024863129
1.4507491624,149.1033697300
1.4507506131,149.1042531399
1.4507520639,149.1051365425
1.4507535146,149.1060199377
