wl_micron,value
1.0499999187,109.7180912344
1.0500009687,109.7184323963
1.0500020187,109.7187735576
1.0500030687,109.7191147185
1.0500041187,109.7194558788
1.0500051687,109.7197970386
1.0500062187,109.7201381979
1.0500072687,109.7204793567
1.0500083187,109.7208205150
1.0500093687,109.7211616728
1.0500104187,109.7215028301
1.0500114687,109.7218439868
1.0500125188,109.7221851430
1.0500135688,109.7225262988
1.0500146188,109.7228674540
1.0500156688,109.7232086087
1.0500167188,109.7235497629
1.0500177688,109.7238909166
1.0500188189,109.7242320697
1.0500198689,109.7245732224
1.0500209189,109.7249143745
1.0500219689,109.7252555262
1.0500230189,109.7255966773
1.0500240690,109.7259378279
1.0500251190,109.7262789780
1.0500261690,109.7266201276
1.0500272190,109.7269612766
1.0500282691,109.7273024252
1.0500293191,109.7276435732
1.0500303691,109.7279847208
1.0500314192,109.7283258678
1.0500324692,109.7286670143
1.0500335192,109.7290081603
1.0500345693,109.7293493058
1.0500356193,109.7296904508
1.0500366693,109.7300315952
1.0500377194,109.7303727392
1.0500387694,109.7307138826
1.0500398194,109.7310550256
1.0500408695,109.7313961680
1.0500419195,109.7317373099
1.0500429696,109.7320784513
1.0500440196,109.7324195922
1.0500450697,109.7327607325
1.0500461197,109.7331018724
1.0500471697,109.7334430117
1.0500482198,109.7337841506
1.0500492698,109.7341252889
1.0500503199,109.7344664267
1.0500513699,109.7348075640
1.0500524200,109.7351487008
1.0500534700,109.7354898371
1.0500545201,109.7358309728
1.0500555702,109.7361721081
1.0500566202,109.7365132428
1.0500576703,109.7368543770
1.0500587203,109.7371955107
1.0500597704,109.7375366439
1.0500608204,109.7378777766
1.0500618705,109.7382189088
1.0500629206,109.7385600405
1.0500639706,109.7389011716
1.0500650207,109.7392423023
1.0500660708,109.7395834324
1.0500671208,109.7399245620
1.0500681709,109.7402656911
1.0500692210,109.7406068197
1.0500702710,109.7409479478
1.0500713211,109.7412890754
1.0500723712,109.7416302024
1.0500734212,109.7419713290
1.0500744713,109.7423124550
1.0500755214,109.7426535805
1.0500765715,109.7429947055
1.0500776216,109.7433358300
1.0500786716,109.7436769540
1.0500797217,109.7440180775
1.0500807718,109.7443592005
1.0500818219,109.7447003229
1.0500828720,109.7450414449
1.0500839220,109.7453825663
1.0500849721,109.7457236872
1.0500860222,109.7460648076
1.0500870723,109.7464059275
1.0500881224,109.7467470469
1.0500891725,109.7470881657
1.0500902226,109.7474292841
1.0500912726,109.7477704019
1.0500923227,109.7481115193
1.0500933728,109.7484526361
1.0500944229,109.7487937524
1.0500954730,109.7491348682
1.0500965231,109.7494759835
1.0500975732,109.7498170982
1.0500986233,109.7501582125
1.0500996734,109.7504993262
1.0501007235,109.7508404395
1.0501017736,109.7511815522
1.0501028237,109.7515226644
1.0501038738,109.7518637761
1.0501049239,109.7522048873
1.0501059740,109.7525459980
