wl_micron,value
1.8499989781,409.8126047005
1.8500008281,409.8133478720
1.8500026781,409.8140910384
1.8500045281,409.8148341998
1.8500063781,409.8155773561
1.8500082281,409.8163205074
1.8500100781,409.8170636536
1.8500119281,409.8178067948
1.8500137781,409.8185499309
1.8500156281,409.8192930621
1.8500174782,409.8200361883
1.8500193282,409.8207793096
1.8500211782,409.8215224258
1.8500230282,409.8222655372
1.8500248783,409.8230086436
1.8500267283,409.8237517451
1.8500285783,409.8244948417
1.8500304283,409.8252379335
1.8500322784,409.8259810204
1.8500341284,409.8267241025
1.8500359784,409.8274671798
1.8500378285,409.8282102523
1.8500396785,409.8289533200
1.8500415285,409.8296963830
1.8500433786,409.8304394413
1.8500452286,409.8311824949
1.8500470787,409.8319255438
1.8500489287,409.8326685882
1.8500507788,409.8334116279
1.8500526288,409.8341546630
1.8500544789,409.8348976937
1.8500563289,409.8356407198
1.8500581790,409.8363837415
1.8500600291,409.8371267587
1.8500618791,409.8378697716
1.8500637292,409.8386127801
1.8500655792,409.8393557844
1.8500674293,409.8400987844
1.8500692794,409.8408417802
1.8500711295,409.8415847718
1.8500729795,409.8423277594
1.8500748296,409.8430707429
1.8500766797,409.8438137225
1.8500785298,409.8445566982
1.8500803798,409.8452996701
1.8500822299,409.8460426382
1.8500840800,409.8467856027
1.8500859301,409.8475285638
1.8500877802,409.8482715221
1.8500896303,409.8490144787
1.8500914803,409.8497574356
1.8500933304,409.8505003952
1.8500951805,409.8512433587
1.8500970306,409.8519863232
1.8500988807,409.8527292812
1.8501007308,409.8534722243
1.8501025809,409.8542151490
1.8501044310,409.8549580593
1.8501062811,409.8557009641
1.8501081312,409.8564438709
1.8501099814,409.8571867827
1.8501118315,409.8579296987
1.8501136816,409.8586726167
1.8501155317,409.8594155350
1.8501173818,409.8601584529
1.8501192319,409.8609013701
1.8501210820,409.8616442869
1.8501229322,409.8623872034
1.8501247823,409.8631301199
1.8501266324,409.8638730369
1.8501284825,409.8646159547
1.8501303327,409.8653588736
1.8501321828,409.8661017941
1.8501340329,409.8668447167
1.8501358831,409.8675876420
1.8501377332,409.8683305704
1.8501395833,409.8690735026
1.8501414335,409.8698164392
1.8501432836,409.8705593810
1.8501451338,409.8713023289
1.8501469839,409.8720452836
1.8501488341,409.8727882462
1.8501506842,409.8735312177
1.8501525344,409.8742741994
1.8501543845,409.8750171926
1.8501562347,409.8757601991
1.8501580848,409.8765032199
1.8501599350,409.8772462573
1.8501617852,409.8779893135
1.8501636353,409.8787323906
1.8501654855,409.8794754916
1.8501673357,409.8802186197
1.8501691858,409.8809617786
1.8501710360,409.8817049729
1.8501728862,409.8824482079
1.8501747363,409.8831914905
