wl_micron,value
1.4499993189,1518.6016813234
1.4500007689,1570.4603738454
1.4500022189,1603.4809626877
1.4500036689,1618.2193823825
1.4500051189,1620.1840419475
1.4500065689,1622.8961769938
1.4500080189,1645.9933953007
1.4500094689,1698.4598254421
1.4500109189,1766.8200824275
1.4500123690,1830.7424252330
1.4500138190,1877.0347072652
1.4500152690,1899.5893790493
1.4500167190,1895.9484916609
1.4500181690,1865.4212271608
1.4500196190,1808.2687605421
1.4500210691,1725.4131154494
1.4500225191,1618.6224585324
1.4500239691,1491.1963635852
1.4500254191,1351.5676967405
1.4500268692,1223.9995758816
1.4500283192,1154.8373064989
1.4500297692,1162.1932553657
1.4500312192,1205.8723561238
1.4500326693,1249.0511829391
1.4500341193,1278.7371027834
1.4500355693,1294.0091927355
1.4500370194,1299.9330272938
1.4500384694,1305.4347982205
1.4500399195,1319.3282907991
1.4500413695,1344.3541020238
1.4500428195,1375.7963630305
1.4500442696,1406.6219348077
1.4500457196,1431.9074081424
1.4500471697,1449.6906955406
1.4500486197,1460.3250798052
1.4500500698,1466.8063859629
1.4500515198,1476.3145110370
1.4500529699,1500.1995566026
1.4500544199,1547.1662250086
1.4500558700,1613.6005503719
1.4500573200,1686.1881982852
1.4500587701,1752.2635437188
1.4500602202,1803.8904970773
1.4500616702,1836.8813663622
1.4500631203,1849.0591942348
1.4500645703,1839.3140029567
1.4500660204,1807.2084821945
1.4500674705,1752.8271835401
1.4500689205,1676.8540752554
1.4500703706,1580.7907159589
1.4500718207,1467.5538394886
1.4500732708,1342.5621708735
1.4500747208,1215.1628110098
1.4500761709,1098.3510055632
1.4500776210,1003.7384552673
1.4500790711,935.8470956384
1.4500805211,894.7099636660
1.4500819712,879.6875233414
1.4500834213,887.1035879349
1.4500848714,908.5980840524
1.4500863215,934.8923503684
1.4500877716,959.9946151292
1.4500892217,981.8793942462
1.4500906717,1000.7870320591
1.4500921218,1016.9069334043
1.4500935719,1029.0024857195
1.4500950220,1034.9519093810
1.4500964721,1033.6479059184
1.4500979222,1027.2762600825
1.4500993723,1022.5401427340
1.4501008224,1028.2782231953
1.4501022725,1048.2667265370
1.4501037226,1076.4070919154
1.4501051727,1101.3860792165
1.4501066228,1113.7969357311
1.4501080729,1108.4251077416
1.4501095230,1083.7277178432
1.4501109732,1041.2792748523
1.4501124233,986.0908504654
1.4501138734,927.4159048642
1.4501153235,877.6963804293
1.4501167736,848.7185954231
1.4501182237,848.8553210122
1.4501196738,883.8610419989
1.4501211240,954.9915250186
1.4501225741,1054.3109463633
1.4501240242,1168.0256921215
1.4501254743,1286.1347245597
1.4501269245,1405.9514570048
1.4501283746,1527.5873911767
1.4501298247,1648.8509842188
1.4501312748,1763.9527864454
1.4501327250,1865.7958152189
1.4501341751,1948.3470111412
1.4501356252,2007.3938833465
1.4501370754,2040.4190772226
1.4501385255,2046.1463296496
1.4501399757,2024.2719020130
1.4501414258,1975.4420456396
1.4501428759,1901.3656602594
1.4501443261,1805.4762577804
1.4501457762,1693.9536429338
1.4501472264,1577.0242349555
1.4501486765,1468.0081588941
1.4501501267,1376.8861880481
1.4501515768,1303.8792777887
1.4501530270,1244.5548533410
1.4501544771,1200.3341577886
1.4501559273,1179.1506015909
1.4501573774,1183.3980943559
1.4501588276,1202.0890636030
1.4501602778,1219.7197696249
1.4501617279,1225.6502094824
1.4501631781,1214.9768551382
1.4501646283,1186.5396147743
1.4501660784,1141.5756082641
1.4501675286,1083.5799649706
1.4501689788,1018.9057316869
1.4501704289,957.1841699422
1.4501718791,910.1288989920
1.4501733293,888.9096205299
1.4501747794,904.3832908895
1.4501762296,967.8777089143
1.4501776798,1080.5062288157
1.4501791300,1222.5813616460
1.4501805801,1368.8581327407
1.4501820303,1503.9679603020
1.4501834805,1620.5201350635
1.4501849307,1714.6529923966
1.4501863809,1784.0244231761
1.4501878311,1827.0797052433
1.4501892813,1842.9141496308
1.4501907314,1831.1001475383
1.4501921816,1791.7794263819
1.4501936318,1725.7082682142
1.4501950820,1634.7813150253
1.4501965322,1523.8497085602
1.4501979824,1406.4807092241
1.4501994326,1314.5757039760
1.4502008828,1282.7329598702
1.4502023330,1299.1654807608
