wl_micron,value
1.0499999187,602.2116061650
1.0500009687,644.3850297545
1.0500020187,680.5420391487
1.0500030687,703.9387653789
1.0500041187,710.5378161937
1.0500051687,698.9877315813
1.0500062187,670.3802874241
1.0500072687,628.1180363257
1.0500083187,577.8630722949
1.0500093687,526.6284664238
1.0500104187,480.7936984552
1.0500114687,444.3434863520
1.0500125188,419.0811749825
1.0500135688,405.8844915508
1.0500146188,404.3644694948
1.0500156688,411.2798818451
1.0500167188,420.7070917393
1.0500177688,426.6203518908
1.0500188189,425.6023348027
1.0500198689,418.2915227483
1.0500209189,409.3707084192
1.0500219689,405.6873251269
1.0500230189,412.3913871364
1.0500240690,429.5382565765
1.0500251190,452.7212503162
1.0500261690,476.5355825215
1.0500272190,497.0986949700
1.0500282691,512.6021582830
1.0500293191,522.7887111879
1.0500303691,528.2685509339
1.0500314192,529.9400885895
1.0500324692,528.5998656859
1.0500335192,525.1134013498
1.0500345693,520.9764061418
1.0500356193,518.5912898686
1.0500366693,520.3022412187
1.0500377194,526.3437839636
1.0500387694,533.7443687811
1.0500398194,537.4833503756
1.0500408695,532.7420411231
1.0500419195,516.5332620563
1.0500429696,488.4942321888
1.0500440196,451.5305365354
1.0500450697,412.2025866738
1.0500461197,379.2085990902
1.0500471697,358.7530388105
1.0500482198,350.4578075215
1.0500492698,348.8827490125
1.0500503199,348.6543173925
1.0500513699,348.0422400840
1.0500524200,349.2441560248
1.0500534700,356.0457456504
1.0500545201,370.3061120930
1.0500555702,389.9790596607
1.0500566202,410.5043193996
1.0500576703,427.7588760278
1.0500587203,439.7958235149
1.0500597704,446.8010707805
1.0500608204,450.0425189755
1.0500618705,450.8813850118
1.0500629206,450.5579359986
1.0500639706,450.9571121483
1.0500650207,455.5910069781
1.0500660708,469.0750956172
1.0500671208,494.0877852641
1.0500681709,528.0695421028
1.0500692210,563.8209508430
1.0500702710,593.3967502418
1.0500713211,611.2271976745
1.0500723712,614.9465059448
1.0500734212,605.4318975254
1.0500744713,586.8507210614
1.0500755214,566.1557318272
1.0500765715,550.5718651978
1.0500776216,543.0946788302
1.0500786716,540.6494360646
1.0500797217,537.3760479597
1.0500807718,529.0182769284
1.0500818219,514.9927972555
1.0500828720,498.3769523449
1.0500839220,484.4157994765
1.0500849721,477.4209635830
1.0500860222,477.6088585947
1.0500870723,481.0165504160
1.0500881224,482.3040364329
1.0500891725,477.3889379975
1.0500902226,464.3778321764
1.0500912726,443.4662084951
1.0500923227,417.0709652056
1.0500933728,390.6038475409
1.0500944229,373.2614082226
1.0500954730,376.0510822205
1.0500965231,404.5962478532
1.0500975732,452.7760499373
1.0500986233,506.7046917947
1.0500996734,553.9401572556
1.0501007235,587.1490746089
1.0501017736,603.0556758587
1.0501028237,600.8939855680
1.0501038738,581.8456772173
1.0501049239,549.1478998980
1.0501059740,508.3622985645
1.0501070241,466.8271141754
1.0501080742,431.1592576485
1.0501091244,404.2108039252
1.0501101745,384.8168327977
1.0501112246,370.6535872040
1.0501122747,360.7085907999
1.0501133248,355.5180177918
1.0501143749,355.9795994200
1.0501154250,361.9993197830
1.0501164751,371.7459055887
1.0501175253,381.9359350456
1.0501185754,389.0983148502
1.0501196255,391.1109949856
1.0501206756,388.3942205367
1.0501217257,384.2165498856
1.0501227759,383.3529276802
1.0501238260,389.0096035018
1.0501248761,400.0843855251
1.0501259262,411.8079030271
1.0501269764,419.0907361787
1.0501280265,419.3362381029
1.0501290766,413.5073593477
1.0501301267,405.9863336106
1.0501311769,403.4715953723
1.0501322270,412.7007977248
1.0501332771,437.4445432173
1.0501343273,476.4381952796
1.0501353774,523.6527791831
1.0501364275,570.8006235700
1.0501374777,610.0815791086
1.0501385278,635.7435828823
1.0501395780,644.4300787261
1.0501406281,635.0359802606
1.0501416782,608.7325553901
1.0501427284,569.1963601817
1.0501437785,523.1317006637
1.0501448287,480.2675780657
1.0501458788,451.6459812925
1.0501469290,445.9636613081
1.0501479791,465.6736931714
1.0501490293,505.4281538544
1.0501500794,554.4062126572
1.0501511296,601.2477997251
1.0501521797,637.4087939610
1.0501532299,657.7603448818
1.0501542800,659.7360686648
1.0501553302,642.6520253136
1.0501563803,607.6506825153
1.0501574305,558.3641897246
1.0501584806,502.4837695755
1.0501595308,452.4835762504
1.0501605810,421.4054455005
1.0501616311,413.8694955916
1.0501626813,423.0975346251
1.0501637314,438.3444796711
1.0501647816,452.6801752484
1.0501658318,465.4499089526
1.0501668819,481.1089160297
1.0501679321,505.3282624090
1.0501689823,539.5466700877
1.0501700324,578.6104150275
1.0501710826,614.1151375592
1.0501721328,638.9439244759
1.0501731830,649.0971822366
1.0501742331,643.5666857037
1.0501752833,624.1570005727
1.0501763335,595.4909685141
1.0501773837,564.3992538994
1.0501784338,537.2760782816
1.0501794840,516.1835329666
1.0501805342,498.0526396921
1.0501815844,478.3836362277
1.0501826346,455.5093957127
1.0501836847,432.1511103175
1.0501847349,413.9145604481
1.0501857851,405.3544437128
1.0501868353,406.4818485969
1.0501878855,412.9966547512
1.0501889357,419.4873766164
1.0501899859,422.1244266633
1.0501910361,419.4450217169
1.0501920863,412.0801368425
1.0501931364,402.0615538022
1.0501941866,391.8866479423
1.0501952368,383.4256040464
1.0501962870,377.1262024782
1.0501973372,372.2671288714
1.0501983874,368.0739535496
1.0501994376,364.8764227567
1.0502004878,364.5712213281
1.0502015380,370.0225216418
1.0502025882,383.4676980296
1.0502036384,404.6940347204
1.0502046886,430.3860299700
1.0502057388,455.4242894807
1.0502067890,475.0901543851
1.0502078393,486.4882174213
1.0502088895,488.9219125013
1.0502099397,483.7554152413
1.0502109899,474.1048439348
1.0502120401,464.3973645170
1.0502130903,459.3569448536
1.0502141405,462.3406614806
1.0502151907,473.9612085756
1.0502162409,492.3339554687
1.0502172912,514.6320788853
1.0502183414,538.3148319829
1.0502193916,561.2098694571
1.0502204418,581.0501286480
1.0502214920,595.4960588815
1.0502225423,602.8023616594
1.0502235925,602.4490088659
1.0502246427,595.3768375620
1.0502256929,583.4322076217
1.0502267432,568.3723583445
1.0502277934,551.2780494568
1.0502288436,532.9829416880
1.0502298938,515.2483222394
1.0502309441,501.0326684584
1.0502319943,492.8821946713
1.0502330445,490.5982248153
1.0502340948,491.0715502029
1.0502351450,490.6785368365
1.0502361952,487.7978660390
1.0502372455,483.4124170272
1.0502382957,479.9099058973
1.0502393460,479.5343089561
1.0502403962,483.9454711022
1.0502414464,495.0706390986
1.0502424967,515.2278310296
1.0502435469,544.9583409755
1.0502445972,580.5849137210
1.0502456474,614.9014991369
1.0502466977,640.4910522389
1.0502477479,652.0739681096
1.0502487982,646.8976371188
1.0502498484,624.2991573322
1.0502508987,585.3953758471
1.0502519489,533.3068062842
1.0502529992,473.7584513492
1.0502540494,415.2153758304
1.0502550997,366.5584551231
1.0502561499,332.5095816911
1.0502572002,311.6316062769
1.0502582504,299.3786708115
1.0502593007,292.2135034313
1.0502603510,289.3342681010
1.0502614012,292.1649133632
1.0502624515,302.8120276354
1.0502635017,322.3401407432
1.0502645520,349.7101995032
1.0502656023,381.9551905155
1.0502666525,415.3026483711
1.0502677028,446.2726226174
1.0502687531,472.3213390214
1.0502698033,492.0675832475
1.0502708536,505.3101144492
1.0502719039,512.8488893360
1.0502729542,515.9710088303
1.0502740044,515.7168564177
1.0502750547,512.4625024611
1.0502761050,506.0349348448
1.0502771553,496.2506344068
1.0502782055,483.2582483917
1.0502792558,467.3949213684
1.0502803061,448.9170787859
1.0502813564,428.0392254999
1.0502824067,405.4504258507
1.0502834569,382.9454557268
1.0502845072,363.6519302863
1.0502855575,351.6144273532
1.0502866078,350.6578826322
1.0502876581,362.7873627311
1.0502887084,386.8533925204
1.0502897587,418.5913402289
1.0502908089,452.3922099334
1.0502918592,483.6748966394
1.0502929095,510.4042302455
1.0502939598,533.0490322385
1.0502950101,553.2145085765
1.0502960604,571.6058072759
1.0502971107,586.8085993034
1.0502981610,595.9413318802
1.0502992113,596.2004309137
1.0503002616,586.1797736961
1.0503013119,566.4315271451
1.0503023622,539.8005994881
1.0503034125,511.9135636880
1.0503044628,490.8088192633
1.0503055131,483.7777074889
1.0503065634,491.7069472226
1.0503076137,507.4238671987
1.0503086640,520.9831690493
1.0503097144,525.2983724095
1.0503107647,517.9468333019
1.0503118150,500.6980883507
1.0503128653,478.4395057301
1.0503139156,457.3456725040
1.0503149659,442.1005743996
1.0503160162,434.0448040291
1.0503170665,432.1386580869
1.0503181169,435.5036306541
1.0503191672,444.4567351115
1.0503202175,459.0683703330
1.0503212678,477.3380394405
1.0503223181,495.6091781931
1.0503233685,510.8198321312
1.0503244188,522.2052014222
1.0503254691,531.0616188259
1.0503265194,538.7268911354
1.0503275698,544.4599897170
1.0503286201,545.2953187938
1.0503296704,537.8486661828
1.0503307208,520.5667325775
1.0503317711,495.0924815963
1.0503328214,466.4249130507
1.0503338718,441.4271604751
1.0503349221,425.4381494371
1.0503359724,419.5999712272
1.0503370228,421.6155255252
1.0503380731,428.6898677752
1.0503391234,439.4297965499
1.0503401738,453.6495276895
1.0503412241,471.0222135907
1.0503422745,489.8123098394
1.0503433248,506.7163199702
1.0503443751,517.7959191810
1.0503454255,519.6705595915
1.0503464758,510.2987593624
1.0503475262,489.3210857489
1.0503485765,458.1811155000
1.0503496269,420.0786894991
1.0503506772,379.5667207137
1.0503517276,341.4822560461
1.0503527779,309.5992462496
1.0503538283,285.8809179900
1.0503548786,270.6440547001
1.0503559290,263.1538944461
1.0503569794,262.0985945442
1.0503580297,265.9807775559
1.0503590801,273.4613172635
1.0503601304,283.5180254805
1.0503611808,295.2769776067
1.0503622312,307.7653839584
1.0503632815,320.0001417849
1.0503643319,331.5468677385
1.0503653822,343.1100914949
1.0503664326,356.4479970259
1.0503674830,373.2075413218
1.0503685333,393.3257488600
1.0503695837,414.5662590425
1.0503706341,433.8125926928
1.0503716845,449.1970715746
1.0503727348,461.5163865118
1.0503737852,474.1326189639
