wl_micron,value
1.8499989781,1112.5520884480
1.8500008281,1147.0827874614
1.8500026781,1204.7458248843
1.8500045281,1267.1469194463
1.8500063781,1321.0360586562
1.8500082281,1360.0436356068
1.8500100781,1381.8983328038
1.8500119281,1386.5799747966
1.8500137781,1375.7392494525
1.8500156281,1352.6744925204
1.8500174782,1322.2537833157
1.8500193282,1291.1910271326
1.8500211782,1269.3326928747
1.8500230282,1271.8909779683
1.8500248783,1315.4228183880
1.8500267283,1401.9925520739
1.8500285783,1513.9913421175
1.8500304283,1630.0919750793
1.8500322784,1735.8018133625
1.8500341284,1822.8825607235
1.8500359784,1886.7481997553
1.8500378285,1924.9650933907
1.8500396785,1936.5424773914
1.8500415285,1921.6337300967
1.8500433786,1881.5968807333
1.8500452286,1819.0508139015
1.8500470787,1738.0799076131
1.8500489287,1643.8640223339
1.8500507788,1541.8185334026
1.8500526288,1436.3978154113
1.8500544789,1330.9320987210
1.8500563289,1229.1385815792
1.8500581790,1136.4365492982
1.8500600291,1058.7592488389
1.8500618791,1001.3231416116
1.8500637292,974.7088148500
1.8500655792,1005.3929353365
1.8500674293,1116.5115116572
1.8500692794,1281.1185731353
1.8500711295,1453.0396269776
1.8500729795,1610.7106832713
1.8500748296,1747.7572238624
1.8500766797,1861.8233729283
1.8500785298,1951.5043037359
1.8500803798,2015.7170423846
1.8500822299,2053.6831517216
1.8500840800,2064.9392167849
1.8500859301,2049.3323316060
1.8500877802,2007.1020909918
1.8500896303,1938.8128491539
1.8500914803,1845.4751225180
1.8500933304,1728.7918676146
1.8500951805,1592.3405153898
1.8500970306,1445.8529557431
1.8500988807,1314.9172321062
1.8501007308,1237.9337545939
1.8501025809,1219.4942373319
1.8501044310,1224.8852689359
1.8501062811,1229.4453287763
1.8501081312,1229.3560743215
1.8501099814,1233.9323894124
1.8501118315,1256.7988025708
1.8501136816,1301.7269033214
1.8501155317,1357.1732424679
1.8501173818,1407.6911771152
1.8501192319,1443.0196186499
1.8501210820,1458.1537463823
1.8501229322,1451.0280000130
1.8501247823,1421.1508979467
1.8501266324,1369.2832604570
1.8501284825,1298.6899610552
1.8501303327,1220.3693967073
1.8501321828,1164.0345056572
1.8501340329,1169.9551425538
1.8501358831,1234.6578194660
1.8501377332,1317.4863937061
1.8501395833,1392.0670861861
1.8501414335,1449.0537046226
1.8501432836,1485.4460354481
1.8501451338,1500.2379564288
1.8501469839,1493.2334411200
1.8501488341,1464.9709413547
1.8501506842,1417.1614024944
1.8501525344,1353.6611066319
1.8501543845,1282.8301863758
1.8501562347,1220.7993864474
1.8501580848,1189.7633988179
1.8501599350,1201.5382525507
1.8501617852,1244.9324135823
1.8501636353,1299.7097190391
1.8501654855,1351.0445857448
1.8501673357,1390.4360072102
1.8501691858,1413.0393609589
1.8501710360,1415.9836724431
1.8501728862,1397.5982445224
1.8501747363,1357.1254856448
1.8501765865,1294.5804217222
1.8501784367,1211.1807067702
1.8501802869,1110.9747198842
1.8501821370,1005.6794592456
1.8501839872,921.1229394383
1.8501858374,885.1843093776
1.8501876876,897.0829085109
1.8501895378,934.2543555485
1.8501913880,979.0521170546
1.8501932382,1023.9550396746
1.8501950884,1066.4202752605
1.8501969386,1105.0084228749
1.8501987888,1138.1315374616
1.8502006390,1164.2904882898
1.8502024892,1182.7355960166
1.8502043394,1194.7339043753
1.8502061896,1205.9254893476
1.8502080398,1229.8514058717
1.8502098900,1285.1398345397
1.8502117402,1377.0421994812
1.8502135904,1488.2746546511
1.8502154406,1597.4378935452
1.8502172908,1691.5484784678
1.8502191411,1764.4442791597
1.8502209913,1813.2159545677
1.8502228415,1836.5097052016
1.8502246917,1833.7168594587
1.8502265420,1804.8031496157
1.8502283922,1750.2358990021
1.8502302424,1671.0343698515
1.8502320926,1569.3022020848
1.8502339429,1449.5580906796
1.8502357931,1323.2546967634
1.8502376433,1216.3588703775
1.8502394936,1161.1430836495
1.8502413438,1157.6355997535
1.8502431941,1175.9511608315
1.8502450443,1193.7949237880
1.8502468946,1203.2396479957
1.8502487448,1203.0572671539
1.8502505951,1193.5423089219
1.8502524453,1174.7063563292
1.8502542956,1147.2922932108
1.8502561458,1117.7313588219
1.8502579961,1106.5986559232
1.8502598463,1144.3973609913
1.8502616966,1234.1520242587
1.8502635469,1343.8915990700
1.8502653971,1446.4520246509
1.8502672474,1530.2634937815
1.8502690977,1591.2190720134
1.8502709479,1627.7673572643
1.8502727982,1639.2784394030
1.8502746485,1625.5682231033
1.8502764987,1586.8594018547
1.8502783490,1523.7231084991
1.8502801993,1437.2853028703
1.8502820496,1329.7887814109
1.8502838999,1206.6035677979
1.8502857501,1081.8860175441
1.8502876004,983.6692030478
1.8502894507,939.8668261893
1.8502913010,965.4440816250
1.8502931513,1074.6623470056
1.8502950016,1255.1956498912
1.8502968519,1460.0976911811
1.8502987022,1659.7575086848
1.8503005525,1844.6298852429
1.8503024028,2010.9397050124
1.8503042531,2156.2042198790
1.8503061034,2278.3470273326
1.8503079537,2375.5729653528
1.8503098040,2446.3890646108
1.8503116543,2489.6764488877
1.8503135046,2504.7629012389
1.8503153550,2491.3781844306
1.8503172053,2449.7657558765
1.8503190556,2380.6881283425
1.8503209059,2285.7333204882
1.8503227562,2168.0490540203
1.8503246066,2034.2017007969
1.8503264569,1897.5377175079
1.8503283072,1778.3932406919
1.8503301575,1690.0813024904
1.8503320079,1623.5819148833
1.8503338582,1560.2578547939
1.8503357085,1489.5372860549
1.8503375589,1411.3806003908
1.8503394092,1332.9524031280
1.8503412596,1263.5653714073
1.8503431099,1207.2333261344
1.8503449602,1159.5084499084
1.8503468106,1113.3781057279
1.8503486609,1066.9210594727
1.8503505113,1026.2317043037
1.8503523616,1001.5079123900
1.8503542120,996.8263695292
1.8503560623,1004.8059447599
1.8503579127,1013.2899597008
1.8503597631,1013.5316081152
1.8503616134,1002.7738300560
1.8503634638,984.1088624557
1.8503653141,966.2045878145
1.8503671645,961.9002538597
1.8503690149,983.5936080596
1.8503708653,1037.7839874012
1.8503727156,1123.2878908459
1.8503745660,1233.9748769153
1.8503764164,1362.8778297745
1.8503782668,1504.0214445827
1.8503801171,1651.4822695261
1.8503819675,1798.1380091121
1.8503838179,1936.4248917487
1.8503856683,2059.7495116369
1.8503875187,2163.1515196109
1.8503893691,2243.2176811457
1.8503912194,2297.6675375585
1.8503930698,2325.1802111890
1.8503949202,2325.0894197602
1.8503967706,2297.3396952075
1.8503986210,2242.4505265379
1.8504004714,2161.4861594447
1.8504023218,2056.3059557675
1.8504041722,1929.9215345061
1.8504060226,1788.3067468911
1.8504078730,1646.0075217756
1.8504097234,1536.1935048910
1.8504115739,1496.1350498729
1.8504134243,1515.1516165821
1.8504152747,1554.4987141829
1.8504171251,1593.4521526923
1.8504189755,1626.7974669228
1.8504208259,1653.5105964403
1.8504226764,1671.5747020286
1.8504245268,1677.4488957660
1.8504263772,1667.2157597886
1.8504282276,1637.7872807626
1.8504300781,1587.4621929819
1.8504319285,1516.1499275304
1.8504337789,1426.4483690703
1.8504356294,1326.9566363298
1.8504374798,1239.6109414915
1.8504393302,1199.1905893741
1.8504411807,1219.4659710796
1.8504430311,1275.8540180907
1.8504448816,1340.5162531864
1.8504467320,1398.6471014391
1.8504485825,1443.5602789380
1.8504504329,1472.8334688137
1.8504522834,1487.0506219506
1.8504541338,1489.4378595310
1.8504559843,1484.9974694184
1.8504578347,1478.5890519894
1.8504596852,1473.0907290147
1.8504615356,1469.8764434226
1.8504633861,1471.9189584852
1.8504652366,1485.5954781435
1.8504670870,1516.2965120850
1.8504689375,1560.9894774619
1.8504707880,1608.6849492492
1.8504726384,1647.7805197350
1.8504744889,1670.5973785891
1.8504763394,1673.4311938100
1.8504781899,1655.8319646055
1.8504800404,1620.7792452025
1.8504818908,1575.7857124605
1.8504837413,1533.2754382313
1.8504855918,1505.0565588551
1.8504874423,1492.0573718256
1.8504892928,1483.5756871453
1.8504911433,1467.3189947831
1.8504929938,1435.8445561938
1.8504948443,1387.8914541180
1.8504966947,1333.6185403447
1.8504985452,1312.9820070227
1.8505003957,1385.3383135434
1.8505022462,1533.3712779478
1.8505040968,1695.6427143734
1.8505059473,1843.7356367897
1.8505077978,1969.3145949360
1.8505096483,2069.2902925289
1.8505114988,2141.9167604909
1.8505133493,2186.0399479946
1.8505151998,2201.0171963586
1.8505170503,2186.6307248078
1.8505189008,2143.2015484340
1.8505207514,2071.6130714781
1.8505226019,1973.7617047342
1.8505244524,1853.9132032742
1.8505263029,1723.5187932425
1.8505281535,1612.0836615029
1.8505300040,1561.7153324098
1.8505318545,1571.4114815734
1.8505337051,1598.4586393167
1.8505355556,1614.2519101741
1.8505374061,1608.7281481610
1.8505392567,1579.4868132560
1.8505411072,1527.1588103906
1.8505429577,1454.6068726881
1.8505448083,1368.2902261717
1.8505466588,1282.2363322012
1.8505485094,1224.9139014637
1.8505503599,1231.2826475914
1.8505522105,1303.4467966106
1.8505540610,1407.9117138844
1.8505559116,1517.1989719946
1.8505577621,1620.5109281248
1.8505596127,1715.0385644958
1.8505614633,1799.6307229468
1.8505633138,1872.0827888357
1.8505651644,1928.9272576529
1.8505670150,1966.3096224688
1.8505688655,1981.0143544167
1.8505707161,1970.8584062193
1.8505725667,1934.8850025111
1.8505744172,1873.5140172960
1.8505762678,1789.3151321808
1.8505781184,1689.5654354038
1.8505799690,1591.1281743048
1.8505818196,1520.6930562682
1.8505836701,1491.6992310520
1.8505855207,1486.0296458939
1.8505873713,1478.5165920872
1.8505892219,1455.3058660492
1.8505910725,1411.2471587213
1.8505929231,1345.0108745514
1.8505947737,1257.2068892767
1.8505966243,1150.8952106820
1.8505984749,1036.4688958558
1.8506003255,943.7894060864
1.8506021761,921.6149427415
1.8506040267,991.2134803529
1.8506058773,1119.1513267670
1.8506077279,1261.6230083828
