wl_micron,value
1.4500000000,150.9830000000
1.4500004830,153.2170000000
1.4500009670,156.1090000000
1.4500014500,159.7390000000
1.4500019330,164.1640000000
1.4500024170,169.4010000000
1.4500029000,175.4160000000
1.4500033830,182.1170000000
1.4500038670,189.3520000000
1.4500043500,196.9130000000
1.4500048330,204.5470000000
1.4500053170,211.9760000000
1.4500058000,218.9210000000
1.4500062830,225.1210000000
1.4500067670,230.3620000000
1.4500072500,234.4850000000
1.4500077330,237.4050000000
1.4500082170,239.1050000000
1.4500087000,239.6390000000
1.4500091830,239.1150000000
1.4500096670,237.6870000000
1.4500101500,235.5340000000
1.4500106330,232.8500000000
1.4500111170,229.8290000000
1.4500116000,226.6610000000
1.4500120830,223.5190000000
1.4500125670,220.5580000000
1.4500130500,217.9060000000
1.4500135330,215.6550000000
1.4500140170,213.8520000000
1.4500145000,212.4910000000
1.4500149830,211.5060000000
1.4500154670,210.7760000000
1.4500159500,210.1380000000
1.4500164330,209.4040000000
1.4500169170,208.3890000000
1.4500174000,206.9450000000
1.4500178830,204.9770000000
1.4500183670,202.4710000000
1.4500188500,199.5000000000
1.4500193330,196.2150000000
1.4500198170,192.8330000000
1.4500203000,189.6120000000
1.4500207830,186.8120000000
1.4500212670,184.6620000000
1.4500217500,183.3310000000
1.4500222340,182.9000000000
1.4500227170,183.3500000000
1.4500232000,184.5680000000
1.4500236840,186.3540000000
1.4500241670,188.4530000000
1.4500246500,190.5880000000
1.4500251340,192.4930000000
1.4500256170,193.9440000000
1.4500261000,194.7880000000
1.4500265840,194.9530000000
1.4500270670,194.4540000000
1.4500275500,193.3760000000
1.4500280340,191.8600000000
1.4500285170,190.0720000000
1.4500290000,188.1730000000
1.4500294840,186.2960000000
1.4500299670,184.5200000000
1.4500304500,182.8680000000
1.4500309340,181.3080000000
1.4500314170,179.7670000000
1.4500319000,178.1530000000
1.4500323840,176.3810000000
1.4500328670,174.3980000000
1.4500333500,172.1960000000
1.4500338340,169.8230000000
1.4500343170,167.3840000000
1.4500348000,165.0260000000
1.4500352840,162.9290000000
1.4500357670,161.2790000000
1.4500362500,160.2540000000
1.4500367340,160.0040000000
1.4500372170,160.6350000000
1.4500377000,162.1950000000
1.4500381840,164.6750000000
1.4500386670,168.0060000000
1.4500391510,172.0660000000
1.4500396340,176.6930000000
1.4500401170,181.7030000000
1.4500406010,186.9120000000
1.4500410840,192.1530000000
1.4500415670,197.2950000000
1.4500420510,202.2490000000
1.4500425340,206.9750000000
1.4500430170,211.4690000000
1.4500435010,215.7460000000
1.4500439840,219.8220000000
1.4500444670,223.6890000000
1.4500449510,227.3050000000
1.4500454340,230.5800000000
1.4500459170,233.3830000000
1.4500464010,235.5520000000
1.4500468840,236.9190000000
1.4500473670,237.3340000000
1.4500478510,236.6870000000
1.4500483340,234.9300000000
1.4500488170,232.0870000000
1.4500493010,228.2600000000
1.4500497840,223.6130000000
1.4500502680,218.3590000000
1.4500507510,212.7350000000
1.4500512340,206.9720000000
1.4500517180,201.2750000000
1.4500522010,195.8020000000
1.4500526840,190.6580000000
1.4500531680,185.8960000000
1.4500536510,181.5280000000
1.4500541340,177.5400000000
1.4500546180,173.9070000000
1.4500551010,170.6100000000
1.4500555840,167.6380000000
1.4500560680,164.9930000000
1.4500565510,162.6860000000
1.4500570340,160.7350000000
1.4500575180,159.1560000000
1.4500580010,157.9690000000
1.4500584850,157.1950000000
1.4500589680,156.8650000000
1.4500594510,157.0210000000
1.4500599350,157.7190000000
1.4500604180,159.0220000000
1.4500609010,160.9880000000
1.4500613850,163.6590000000
1.4500618680,167.0360000000
1.4500623510,171.0690000000
1.4500628350,175.6430000000
1.4500633180,180.5780000000
1.4500638010,185.6360000000
1.4500642850,190.5410000000
1.4500647680,195.0030000000
1.4500652510,198.7430000000
1.4500657350,201.5220000000
1.4500662180,203.1630000000
1.4500667020,203.5690000000
1.4500671850,202.7310000000
1.4500676680,200.7300000000
1.4500681520,197.7310000000
1.4500686350,193.9720000000
1.4500691180,189.7440000000
1.4500696020,185.3700000000
1.4500700850,181.1740000000
1.4500705680,177.4630000000
1.4500710520,174.4900000000
1.4500715350,172.4460000000
1.4500720180,171.4360000000
1.4500725020,171.4800000000
1.4500729850,172.5190000000
1.4500734690,174.4230000000
1.4500739520,177.0150000000
1.4500744350,180.0930000000
1.4500749190,183.4490000000
1.4500754020,186.8950000000
1.4500758850,190.2660000000
1.4500763690,193.4300000000
1.4500768520,196.2860000000
1.4500773350,198.7480000000
1.4500778190,200.7470000000
1.4500783020,202.2100000000
1.4500787850,203.0660000000
1.4500792690,203.2390000000
1.4500797520,202.6610000000
1.4500802360,201.2810000000
1.4500807190,199.0790000000
1.4500812020,196.0750000000
1.4500816860,192.3400000000
1.4500821690,187.9950000000
1.4500826520,183.2060000000
1.4500831360,178.1720000000
1.4500836190,173.1090000000
1.4500841020,168.2320000000
1.4500845860,163.7440000000
1.4500850690,159.8180000000
1.4500855530,156.5940000000
1.4500860360,154.1740000000
1.4500865190,152.6250000000
1.4500870030,151.9800000000
1.4500874860,152.2430000000
1.4500879690,153.3900000000
1.4500884530,155.3700000000
1.4500889360,158.1050000000
1.4500894190,161.4930000000
1.4500899030,165.4070000000
1.4500903860,169.7040000000
1.4500908690,174.2300000000
1.4500913530,178.8290000000
1.4500918360,183.3530000000
1.4500923200,187.6690000000
1.4500928030,191.6630000000
1.4500932860,195.2380000000
1.4500937700,198.3170000000
1.4500942530,200.8390000000
1.4500947360,202.7620000000
1.4500952200,204.0630000000
1.4500957030,204.7470000000
1.4500961870,204.8550000000
1.4500966700,204.4720000000
1.4500971530,203.7310000000
1.4500976370,202.8080000000
1.4500981200,201.9110000000
1.4500986030,201.2540000000
1.4500990870,201.0300000000
1.4500995700,201.3790000000
1.4501000530,202.3670000000
1.4501005370,203.9650000000
1.4501010200,206.0540000000
1.4501015040,208.4360000000
1.4501019870,210.8660000000
1.4501024700,213.0870000000
1.4501029540,214.8750000000
1.4501034370,216.0680000000
1.4501039200,216.6020000000
1.4501044040,216.5180000000
1.4501048870,215.9690000000
1.4501053700,215.1960000000
1.4501058540,214.5040000000
1.4501063370,214.2160000000
1.4501068210,214.6250000000
1.4501073040,215.9570000000
1.4501077870,218.3260000000
1.4501082710,221.7210000000
1.4501087540,225.9960000000
1.4501092370,230.8920000000
1.4501097210,236.0620000000
1.4501102040,241.1120000000
1.4501106880,245.6400000000
1.4501111710,249.2780000000
1.4501116540,251.7150000000
1.4501121380,252.7250000000
1.4501126210,252.1780000000
1.4501131040,250.0410000000
1.4501135880,246.3810000000
1.4501140710,241.3530000000
1.4501145550,235.1900000000
1.4501150380,228.1820000000
1.4501155210,220.6520000000
1.4501160050,212.9260000000
1.4501164880,205.3080000000
1.4501169710,198.0480000000
1.4501174550,191.3290000000
1.4501179380,185.2530000000
1.4501184210,179.8500000000
1.4501189050,175.0860000000
1.4501193880,170.8860000000
1.4501198720,167.1530000000
1.4501203550,163.7920000000
1.4501208380,160.7190000000
1.4501213220,157.8790000000
1.4501218050,155.2380000000
1.4501222880,152.7870000000
1.4501227720,150.5330000000
1.4501232550,148.4930000000
1.4501237390,146.6890000000
1.4501242220,145.1420000000
1.4501247050,143.8750000000
1.4501251890,142.9100000000
1.4501256720,142.2730000000
1.4501261550,141.9980000000
1.4501266390,142.1260000000
1.4501271220,142.7070000000
1.4501276060,143.7970000000
1.4501280890,145.4540000000
1.4501285720,147.7240000000
1.4501290560,150.6380000000
1.4501295390,154.1900000000
1.4501300220,158.3320000000
1.4501305060,162.9610000000
1.4501309890,167.9210000000
1.4501314730,173.0030000000
1.4501319560,177.9560000000
1.4501324390,182.5090000000
1.4501329230,186.3900000000
1.4501334060,189.3550000000
1.4501338890,191.2060000000
1.4501343730,191.8150000000
1.4501348560,191.1340000000
1.4501353400,189.2020000000
1.4501358230,186.1410000000
1.4501363060,182.1430000000
1.4501367900,177.4530000000
1.4501372730,172.3440000000
1.4501377570,167.0950000000
1.4501382400,161.9670000000
1.4501387230,157.1890000000
1.4501392070,152.9450000000
1.4501396900,149.3720000000
1.4501401730,146.5630000000
1.4501406570,144.5730000000
1.4501411400,143.4300000000
1.4501416240,143.1390000000
1.4501421070,143.6880000000
1.4501425900,145.0480000000
1.4501430740,147.1680000000
1.4501435570,149.9690000000
1.4501440400,153.3400000000
1.4501445240,157.1320000000
1.4501450070,161.1600000000
1.4501454910,165.2070000000
1.4501459740,169.0400000000
1.4501464570,172.4220000000
1.4501469410,175.1350000000
1.4501474240,176.9950000000
1.4501479080,177.8730000000
1.4501483910,177.7080000000
1.4501488740,176.5060000000
1.4501493580,174.3460000000
1.4501498410,171.3670000000
1.4501503240,167.7600000000
1.4501508080,163.7430000000
1.4501512910,159.5500000000
1.4501517750,155.4050000000
1.4501522580,151.5120000000
1.4501527410,148.0390000000
1.4501532250,145.1120000000
1.4501537080,142.8100000000
1.4501541920,141.1680000000
1.4501546750,140.1770000000
1.4501551580,139.7910000000
1.4501556420,139.9340000000
1.4501561250,140.5070000000
1.4501566080,141.4010000000
1.4501570920,142.5000000000
1.4501575750,143.6970000000
1.4501580590,144.9030000000
1.4501585420,146.0500000000
1.4501590250,147.1010000000
1.4501595090,148.0410000000
1.4501599920,148.8790000000
1.4501604760,149.6350000000
1.4501609590,150.3280000000
1.4501614420,150.9670000000
1.4501619260,151.5410000000
1.4501624090,152.0170000000
1.4501628920,152.3440000000
1.4501633760,152.4610000000
1.4501638590,152.3110000000
1.4501643430,151.8500000000
1.4501648260,151.0640000000
1.4501653090,149.9760000000
1.4501657930,148.6460000000
1.4501662760,147.1720000000
1.4501667600,145.6800000000
1.4501672430,144.3130000000
1.4501677260,143.2230000000
1.4501682100,142.5500000000
1.4501686930,142.4210000000
1.4501691770,142.9310000000
1.4501696600,144.1390000000
1.4501701430,146.0620000000
1.4501706270,148.6640000000
1.4501711100,151.8640000000
1.4501715930,155.5290000000
1.4501720770,159.4820000000
1.4501725600,163.5180000000
1.4501730440,167.4150000000
1.4501735270,170.9560000000
1.4501740100,173.9520000000
1.4501744940,176.2650000000
1.4501749770,177.8230000000
1.4501754610,178.6350000000
1.4501759440,178.7980000000
1.4501764270,178.4880000000
1.4501769110,177.9510000000
1.4501773940,177.4790000000
1.4501778780,177.3770000000
1.4501783610,177.9330000000
1.4501788440,179.3830000000
1.4501793280,181.8800000000
1.4501798110,185.4740000000
1.4501802950,190.1020000000
1.4501807780,195.5910000000
1.4501812610,201.6720000000
1.4501817450,208.0060000000
1.4501822280,214.2170000000
1.4501827110,219.9230000000
1.4501831950,224.7670000000
1.4501836780,228.4450000000
1.4501841620,230.7230000000
1.4501846450,231.4500000000
1.4501851280,230.5620000000
1.4501856120,228.0860000000
1.4501860950,224.1300000000
1.4501865790,218.8780000000
1.4501870620,212.5740000000
1.4501875450,205.5030000000
1.4501880290,197.9720000000
1.4501885120,190.2840000000
1.4501889960,182.7180000000
1.4501894790,175.5070000000
1.4501899620,168.8300000000
1.4501904460,162.8010000000
1.4501909290,157.4730000000
1.4501914130,152.8490000000
1.4501918960,148.8890000000
1.4501923790,145.5310000000
1.4501928630,142.6960000000
1.4501933460,140.3060000000
1.4501938300,138.2890000000
1.4501943130,136.5840000000
1.4501947960,135.1440000000
1.4501952800,133.9370000000
1.4501957630,132.9450000000
1.4501962470,132.1600000000
1.4501967300,131.5850000000
1.4501972130,131.2280000000
1.4501976970,131.1010000000
1.4501981800,131.2130000000
1.4501986640,131.5650000000
1.4501991470,132.1510000000
1.4501996300,132.9440000000
1.4502001140,133.9030000000
1.4502005970,134.9670000000
1.4502010810,136.0570000000
1.4502015640,137.0890000000
1.4502020470,137.9750000000
1.4502025310,138.6330000000
1.4502030140,139.0040000000
1.4502034980,139.0530000000
1.4502039810,138.7770000000
1.4502044640,138.2090000000
1.4502049480,137.4130000000
1.4502054310,136.4770000000
1.4502059150,135.5070000000
1.4502063980,134.6130000000
1.4502068810,133.8990000000
1.4502073650,133.4560000000
1.4502078480,133.3500000000
1.4502083320,133.6210000000
1.4502088150,134.2800000000
1.4502092980,135.3100000000
1.4502097820,136.6740000000
1.4502102650,138.3250000000
1.4502107490,140.2080000000
1.4502112320,142.2800000000
1.4502117150,144.5130000000
1.4502121990,146.8980000000
1.4502126820,149.4490000000
1.4502131660,152.1930000000
1.4502136490,155.1590000000
1.4502141320,158.3660000000
1.4502146160,161.8060000000
1.4502150990,165.4310000000
1.4502155830,169.1520000000
1.4502160660,172.8400000000
1.4502165490,176.3390000000
1.4502170330,179.4860000000
1.4502175160,182.1320000000
1.4502180000,184.1650000000
1.4502184830,185.5260000000
1.4502189660,186.2170000000
1.4502194500,186.3030000000
1.4502199330,185.8930000000
1.4502204170,185.1320000000
1.4502209000,184.1710000000
1.4502213840,183.1470000000
1.4502218670,182.1630000000
1.4502223500,181.2740000000
1.4502228340,180.4860000000
1.4502233170,179.7530000000
1.4502238010,178.9910000000
1.4502242840,178.0900000000
