wl_micron,value
1.0500000000,84.2069000000
1.0500003500,84.2093000000
1.0500007000,84.2120000000
1.0500010500,84.2152000000
1.0500014000,84.2187000000
1.0500017500,84.2226000000
1.0500021000,84.2267000000
1.0500024500,84.2311000000
1.0500028000,84.2357000000
1.0500031500,84.2404000000
1.0500035000,84.2453000000
1.0500038500,84.2503000000
1.0500042000,84.2554000000
1.0500045500,84.2607000000
1.0500049000,84.2661000000
1.0500052500,84.2716000000
1.0500056000,84.2773000000
1.0500059500,84.2831000000
1.0500063000,84.2890000000
1.0500066500,84.2951000000
1.0500070000,84.3013000000
1.0500073500,84.3077000000
1.0500077000,84.3142000000
1.0500080500,84.3209000000
1.0500084000,84.3278000000
1.0500087500,84.3349000000
1.0500091000,84.3421000000
1.0500094500,84.3495000000
1.0500098000,84.3571000000
1.0500101500,84.3649000000
1.0500105000,84.3729000000
1.0500108500,84.3811000000
1.0500112000,84.3895000000
1.0500115500,84.3981000000
1.0500119000,84.4070000000
1.0500122500,84.4161000000
1.0500126000,84.4255000000
1.0500129500,84.4351000000
1.0500133000,84.4450000000
1.0500136500,84.4552000000
1.0500140000,84.4656000000
1.0500143500,84.4764000000
1.0500147000,84.4875000000
1.0500150500,84.4989000000
1.0500154000,84.5106000000
1.0500157500,84.5227000000
1.0500161000,84.5351000000
1.0500164500,84.5479000000
1.0500168000,84.5611000000
1.0500171500,84.5747000000
1.0500175000,84.5888000000
1.0500178500,84.6033000000
1.0500182000,84.6182000000
1.0500185500,84.6336000000
1.0500189000,84.6495000000
1.0500192500,84.6660000000
1.0500196000,84.6830000000
1.0500199500,84.7006000000
1.0500203000,84.7187000000
1.0500206500,84.7375000000
1.0500210000,84.7570000000
1.0500213500,84.7771000000
1.0500217000,84.7979000000
1.0500220500,84.8195000000
1.0500224000,84.8419000000
1.0500227500,84.8651000000
1.0500231000,84.8892000000
1.0500234500,84.9141000000
1.0500238000,84.9400000000
1.0500241500,84.9670000000
1.0500245000,84.9949000000
1.0500248500,85.0240000000
1.0500252000,85.0543000000
1.0500255500,85.0857000000
1.0500259000,85.1185000000
1.0500262500,85.1527000000
1.0500266000,85.1883000000
1.0500269500,85.2254000000
1.0500273000,85.2642000000
1.0500276500,85.3047000000
1.0500280000,85.3470000000
1.0500283500,85.3912000000
1.0500287000,85.4375000000
