wl_micron,value
1.4500000000,79.8140000000
1.4500004830,79.6884000000
1.4500009670,79.5466000000
1.4500014500,79.3922000000
1.4500019330,79.2298000000
1.4500024170,79.0639000000
1.4500029000,78.8990000000
1.4500033830,78.7385000000
1.4500038670,78.5852000000
1.4500043500,78.4406000000
1.4500048330,78.3053000000
1.4500053170,78.1796000000
1.4500058000,78.0628000000
1.4500062830,77.9543000000
1.4500067670,77.8533000000
1.4500072500,77.7589000000
1.4500077330,77.6706000000
1.4500082170,77.5876000000
1.4500087000,77.5094000000
1.4500091830,77.4356000000
1.4500096670,77.3658000000
1.4500101500,77.2998000000
1.4500106330,77.2372000000
1.4500111170,77.1779000000
1.4500116000,77.1217000000
1.4500120830,77.0683000000
1.4500125670,77.0176000000
1.4500130500,76.9695000000
1.4500135330,76.9238000000
1.4500140170,76.8805000000
1.4500145000,76.8393000000
1.4500149830,76.8003000000
1.4500154670,76.7632000000
1.4500159500,76.7280000000
1.4500164330,76.6947000000
1.4500169170,76.6630000000
1.4500174000,76.6330000000
1.4500178830,76.6045000000
1.4500183670,76.5775000000
1.4500188500,76.5519000000
1.4500193330,76.5277000000
1.4500198170,76.5048000000
1.4500203000,76.4832000000
1.4500207830,76.4628000000
1.4500212670,76.4435000000
1.4500217500,76.4254000000
1.4500222340,76.4085000000
1.4500227170,76.3926000000
1.4500232000,76.3777000000
1.4500236840,76.3639000000
1.4500241670,76.3511000000
1.4500246500,76.3394000000
1.4500251340,76.3286000000
1.4500256170,76.3188000000
1.4500261000,76.3100000000
1.4500265840,76.3021000000
1.4500270670,76.2952000000
1.4500275500,76.2893000000
1.4500280340,76.2843000000
1.4500285170,76.2803000000
1.4500290000,76.2773000000
1.4500294840,76.2753000000
1.4500299670,76.2743000000
1.4500304500,76.2743000000
1.4500309340,76.2754000000
1.4500314170,76.2775000000
1.4500319000,76.2807000000
1.4500323840,76.2851000000
1.4500328670,76.2906000000
1.4500333500,76.2973000000
1.4500338340,76.3053000000
1.4500343170,76.3146000000
1.4500348000,76.3254000000
1.4500352840,76.3377000000
1.4500357670,76.3516000000
1.4500362500,76.3673000000
1.4500367340,76.3849000000
1.4500372170,76.4047000000
1.4500377000,76.4268000000
1.4500381840,76.4516000000
1.4500386670,76.4794000000
1.4500391510,76.5108000000
1.4500396340,76.5463000000
1.4500401170,76.5864000000
1.4500406010,76.6318000000
1.4500410840,76.6830000000
1.4500415670,76.7400000000
1.4500420510,76.8028000000
1.4500425340,76.8706000000
1.4500430170,76.9422000000
1.4500435010,77.0154000000
1.4500439840,77.0878000000
1.4500444670,77.1567000000
1.4500449510,77.2195000000
1.4500454340,77.2743000000
1.4500459170,77.3198000000
1.4500464010,77.3563000000
1.4500468840,77.3847000000
1.4500473670,77.4076000000
1.4500478510,77.4278000000
1.4500483340,77.4487000000
1.4500488170,77.4739000000
1.4500493010,77.5064000000
1.4500497840,77.5489000000
1.4500502680,77.6038000000
1.4500507510,77.6730000000
1.4500512340,77.7580000000
1.4500517180,77.8603000000
1.4500522010,77.9806000000
1.4500526840,78.1192000000
1.4500531680,78.2754000000
1.4500536510,78.4472000000
1.4500541340,78.6312000000
1.4500546180,78.8223000000
1.4500551010,79.0147000000
1.4500555840,79.2017000000
1.4500560680,79.3772000000
1.4500565510,79.5368000000
1.4500570340,79.6783000000
1.4500575180,79.8025000000
1.4500580010,79.9134000000
1.4500584850,80.0180000000
1.4500589680,80.1255000000
1.4500594510,80.2463000000
1.4500599350,80.3918000000
1.4500604180,80.5736000000
1.4500609010,80.8037000000
1.4500613850,81.0943000000
1.4500618680,81.4585000000
1.4500623510,81.9103000000
1.4500628350,82.4636000000
1.4500633180,83.1309000000
1.4500638010,83.9205000000
1.4500642850,84.8326000000
1.4500647680,85.8555000000
1.4500652510,86.9614000000
1.4500657350,88.1050000000
1.4500662180,89.2247000000
1.4500667020,90.2470000000
1.4500671850,91.0949000000
1.4500676680,91.6982000000
1.4500681520,92.0044000000
1.4500686350,91.9868000000
1.4500691180,91.6489000000
1.4500696020,91.0236000000
1.4500700850,90.1672000000
1.4500705680,89.1504000000
1.4500710520,88.0472000000
1.4500715350,86.9259000000
1.4500720180,85.8418000000
1.4500725020,84.8337000000
1.4500729850,83.9240000000
1.4500734690,83.1210000000
1.4500739520,82.4223000000
1.4500744350,81.8187000000
1.4500749190,81.2980000000
1.4500754020,80.8474000000
1.4500758850,80.4546000000
1.4500763690,80.1095000000
1.4500768520,79.8035000000
1.4500773350,79.5298000000
1.4500778190,79.2833000000
1.4500783020,79.0599000000
