wl_micron,value
1.4500000000,174.2650000000
1.4500004830,177.5960000000
1.4500009670,181.6750000000
1.4500014500,186.4790000000
1.4500019330,191.9150000000
1.4500024170,197.8210000000
1.4500029000,203.9720000000
1.4500033830,210.0900000000
1.4500038670,215.8650000000
1.4500043500,220.9830000000
1.4500048330,225.1540000000
1.4500053170,228.1370000000
1.4500058000,229.7670000000
1.4500062830,229.9700000000
1.4500067670,228.7800000000
1.4500072500,226.3410000000
1.4500077330,222.9000000000
1.4500082170,218.7930000000
1.4500087000,214.4230000000
1.4500091830,210.2210000000
1.4500096670,206.6090000000
1.4500101500,203.9560000000
1.4500106330,202.5420000000
1.4500111170,202.5200000000
1.4500116000,203.9050000000
1.4500120830,206.5670000000
1.4500125670,210.2470000000
1.4500130500,214.5860000000
1.4500135330,219.1610000000
1.4500140170,223.5300000000
1.4500145000,227.2750000000
1.4500149830,230.0360000000
1.4500154670,231.5440000000
1.4500159500,231.6320000000
1.4500164330,230.2490000000
1.4500169170,227.4530000000
1.4500174000,223.3990000000
1.4500178830,218.3200000000
1.4500183670,212.5050000000
1.4500188500,206.2660000000
1.4500193330,199.9150000000
1.4500198170,193.7310000000
1.4500203000,187.9470000000
1.4500207830,182.7320000000
1.4500212670,178.1900000000
1.4500217500,174.3600000000
1.4500222340,171.2320000000
1.4500227170,168.7520000000
1.4500232000,166.8470000000
1.4500236840,165.4280000000
1.4500241670,164.4070000000
1.4500246500,163.6990000000
1.4500251340,163.2280000000
1.4500256170,162.9300000000
1.4500261000,162.7460000000
1.4500265840,162.6300000000
1.4500270670,162.5420000000
1.4500275500,162.4510000000
1.4500280340,162.3330000000
1.4500285170,162.1760000000
1.4500290000,161.9720000000
1.4500294840,161.7240000000
1.4500299670,161.4410000000
1.4500304500,161.1360000000
1.4500309340,160.8210000000
1.4500314170,160.5120000000
1.4500319000,160.2210000000
1.4500323840,159.9580000000
1.4500328670,159.7280000000
1.4500333500,159.5340000000
1.4500338340,159.3740000000
1.4500343170,159.2480000000
1.4500348000,159.1500000000
1.4500352840,159.0770000000
1.4500357670,159.0240000000
1.4500362500,158.9870000000
1.4500367340,158.9630000000
1.4500372170,158.9490000000
1.4500377000,158.9430000000
1.4500381840,158.9430000000
1.4500386670,158.9480000000
1.4500391510,158.9570000000
1.4500396340,158.9690000000
1.4500401170,158.9840000000
1.4500406010,159.0020000000
1.4500410840,159.0230000000
1.4500415670,159.0450000000
1.4500420510,159.0700000000
1.4500425340,159.0970000000
1.4500430170,159.1260000000
1.4500435010,159.1570000000
1.4500439840,159.1900000000
1.4500444670,159.2250000000
1.4500449510,159.2620000000
1.4500454340,159.3010000000
1.4500459170,159.3410000000
1.4500464010,159.3840000000
1.4500468840,159.4290000000
1.4500473670,159.4760000000
1.4500478510,159.5250000000
1.4500483340,159.5760000000
1.4500488170,159.6300000000
1.4500493010,159.6860000000
1.4500497840,159.7440000000
1.4500502680,159.8040000000
1.4500507510,159.8660000000
1.4500512340,159.9300000000
1.4500517180,159.9950000000
1.4500522010,160.0600000000
1.4500526840,160.1250000000
1.4500531680,160.1900000000
1.4500536510,160.2550000000
1.4500541340,160.3180000000
1.4500546180,160.3810000000
1.4500551010,160.4440000000
1.4500555840,160.5070000000
1.4500560680,160.5710000000
1.4500565510,160.6370000000
1.4500570340,160.7060000000
1.4500575180,160.7780000000
1.4500580010,160.8550000000
1.4500584850,160.9380000000
1.4500589680,161.0290000000
1.4500594510,161.1270000000
1.4500599350,161.2330000000
1.4500604180,161.3470000000
1.4500609010,161.4700000000
1.4500613850,161.5980000000
1.4500618680,161.7310000000
1.4500623510,161.8640000000
1.4500628350,161.9950000000
1.4500633180,162.1200000000
1.4500638010,162.2350000000
1.4500642850,162.3390000000
1.4500647680,162.4300000000
1.4500652510,162.5070000000
1.4500657350,162.5730000000
1.4500662180,162.6290000000
1.4500667020,162.6800000000
1.4500671850,162.7280000000
1.4500676680,162.7770000000
1.4500681520,162.8310000000
1.4500686350,162.8900000000
1.4500691180,162.9560000000
1.4500696020,163.0310000000
1.4500700850,163.1130000000
1.4500705680,163.2020000000
1.4500710520,163.2970000000
1.4500715350,163.3980000000
1.4500720180,163.5030000000
1.4500725020,163.6120000000
1.4500729850,163.7230000000
1.4500734690,163.8370000000
1.4500739520,163.9530000000
1.4500744350,164.0700000000
1.4500749190,164.1890000000
1.4500754020,164.3090000000
1.4500758850,164.4320000000
1.4500763690,164.5550000000
1.4500768520,164.6810000000
1.4500773350,164.8090000000
1.4500778190,164.9380000000
1.4500783020,165.0700000000
1.4500787850,165.2030000000
1.4500792690,165.3390000000
1.4500797520,165.4770000000
1.4500802360,165.6170000000
1.4500807190,165.7590000000
1.4500812020,165.9040000000
1.4500816860,166.0510000000
1.4500821690,166.2010000000
1.4500826520,166.3530000000
1.4500831360,166.5080000000
1.4500836190,166.6660000000
1.4500841020,166.8260000000
1.4500845860,166.9900000000
1.4500850690,167.1550000000
1.4500855530,167.3240000000
1.4500860360,167.4960000000
1.4500865190,167.6700000000
1.4500870030,167.8470000000
1.4500874860,168.0270000000
1.4500879690,168.2110000000
1.4500884530,168.3970000000
1.4500889360,168.5860000000
1.4500894190,168.7790000000
1.4500899030,168.9740000000
1.4500903860,169.1730000000
1.4500908690,169.3760000000
1.4500913530,169.5820000000
1.4500918360,169.7920000000
1.4500923200,170.0050000000
1.4500928030,170.2220000000
1.4500932860,170.4430000000
1.4500937700,170.6680000000
1.4500942530,170.8970000000
1.4500947360,171.1300000000
1.4500952200,171.3670000000
1.4500957030,171.6080000000
1.4500961870,171.8540000000
1.4500966700,172.1030000000
1.4500971530,172.3570000000
1.4500976370,172.6140000000
1.4500981200,172.8760000000
1.4500986030,173.1410000000
1.4500990870,173.4100000000
1.4500995700,173.6840000000
1.4501000530,173.9610000000
1.4501005370,174.2440000000
1.4501010200,174.5310000000
1.4501015040,174.8230000000
1.4501019870,175.1210000000
1.4501024700,175.4240000000
1.4501029540,175.7330000000
1.4501034370,176.0490000000
1.4501039200,176.3710000000
1.4501044040,176.7000000000
1.4501048870,177.0350000000
1.4501053700,177.3770000000
1.4501058540,177.7270000000
1.4501063370,178.0840000000
1.4501068210,178.4490000000
1.4501073040,178.8210000000
1.4501077870,179.2020000000
1.4501082710,179.5910000000
1.4501087540,179.9880000000
1.4501092370,180.3950000000
1.4501097210,180.8120000000
1.4501102040,181.2390000000
1.4501106880,181.6760000000
1.4501111710,182.1250000000
1.4501116540,182.5850000000
1.4501121380,183.0580000000
1.4501126210,183.5430000000
1.4501131040,184.0430000000
1.4501135880,184.5590000000
1.4501140710,185.0900000000
1.4501145550,185.6380000000
1.4501150380,186.2060000000
1.4501155210,186.7930000000
1.4501160050,187.4020000000
1.4501164880,188.0330000000
1.4501169710,188.6870000000
1.4501174550,189.3650000000
1.4501179380,190.0660000000
1.4501184210,190.7900000000
1.4501189050,191.5360000000
1.4501193880,192.3030000000
1.4501198720,193.0900000000
1.4501203550,193.8970000000
1.4501208380,194.7250000000
1.4501213220,195.5750000000
1.4501218050,196.4500000000
1.4501222880,197.3530000000
1.4501227720,198.2900000000
1.4501232550,199.2660000000
1.4501237390,200.2890000000
1.4501242220,201.3660000000
1.4501247050,202.5060000000
1.4501251890,203.7220000000
1.4501256720,205.0260000000
1.4501261550,206.4390000000
1.4501266390,207.9870000000
1.4501271220,209.7120000000
1.4501276060,211.6700000000
1.4501280890,213.9450000000
1.4501285720,216.6500000000
1.4501290560,219.9330000000
1.4501295390,223.9750000000
1.4501300220,228.9820000000
1.4501305060,235.1700000000
1.4501309890,242.7360000000
1.4501314730,251.8230000000
1.4501319560,262.4920000000
1.4501324390,274.6880000000
1.4501329230,288.2250000000
1.4501334060,302.7880000000
1.4501338890,317.9490000000
