wl_micron,value
1.4500000000,74.2294000000
1.4500004830,74.2293000000
1.4500009670,74.2292000000
1.4500014500,74.2290000000
1.4500019330,74.2288000000
1.4500024170,74.2287000000
1.4500029000,74.2285000000
1.4500033830,74.2283000000
1.4500038670,74.2281000000
1.4500043500,74.2279000000
1.4500048330,74.2277000000
1.4500053170,74.2275000000
1.4500058000,74.2273000000
1.4500062830,74.2271000000
1.4500067670,74.2269000000
1.4500072500,74.2267000000
1.4500077330,74.2265000000
1.4500082170,74.2264000000
1.4500087000,74.2262000000
1.4500091830,74.2260000000
1.4500096670,74.2258000000
1.4500101500,74.2256000000
1.4500106330,74.2254000000
1.4500111170,74.2252000000
1.4500116000,74.2251000000
1.4500120830,74.2249000000
1.4500125670,74.2247000000
1.4500130500,74.2245000000
1.4500135330,74.2244000000
1.4500140170,74.2242000000
1.4500145000,74.2240000000
1.4500149830,74.2238000000
1.4500154670,74.2237000000
1.4500159500,74.2235000000
1.4500164330,74.2233000000
1.4500169170,74.2232000000
1.4500174000,74.2230000000
1.4500178830,74.2229000000
1.4500183670,74.2227000000
1.4500188500,74.2225000000
1.4500193330,74.2224000000
1.4500198170,74.2222000000
1.4500203000,74.2221000000
1.4500207830,74.2219000000
1.4500212670,74.2218000000
1.4500217500,74.2216000000
1.4500222340,74.2215000000
1.4500227170,74.2213000000
1.4500232000,74.2212000000
1.4500236840,74.2210000000
1.4500241670,74.2209000000
1.4500246500,74.2208000000
1.4500251340,74.2206000000
1.4500256170,74.2205000000
1.4500261000,74.2203000000
1.4500265840,74.2202000000
1.4500270670,74.2201000000
1.4500275500,74.2199000000
1.4500280340,74.2198000000
1.4500285170,74.2196000000
1.4500290000,74.2195000000
1.4500294840,74.2194000000
1.4500299670,74.2192000000
1.4500304500,74.2191000000
1.4500309340,74.2190000000
1.4500314170,74.2188000000
1.4500319000,74.2187000000
1.4500323840,74.2186000000
1.4500328670,74.2184000000
1.4500333500,74.2183000000
1.4500338340,74.2182000000
1.4500343170,74.2181000000
1.4500348000,74.2179000000
1.4500352840,74.2178000000
1.4500357670,74.2177000000
1.4500362500,74.2176000000
1.4500367340,74.2174000000
1.4500372170,74.2173000000
1.4500377000,74.2172000000
1.4500381840,74.2171000000
1.4500386670,74.2170000000
1.4500391510,74.2169000000
1.4500396340,74.2167000000
1.4500401170,74.2166000000
1.4500406010,74.2165000000
1.4500410840,74.2164000000
1.4500415670,74.2163000000
1.4500420510,74.2162000000
1.4500425340,74.2161000000
1.4500430170,74.2159000000
1.4500435010,74.2158000000
1.4500439840,74.2157000000
1.4500444670,74.2156000000
1.4500449510,74.2155000000
1.4500454340,74.2154000000
1.4500459170,74.2153000000
1.4500464010,74.2152000000
1.4500468840,74.2151000000
1.4500473670,74.2150000000
1.4500478510,74.2149000000
1.4500483340,74.2148000000
1.4500488170,74.2147000000
1.4500493010,74.2146000000
1.4500497840,74.2145000000
1.4500502680,74.2144000000
1.4500507510,74.2143000000
1.4500512340,74.2142000000
1.4500517180,74.2141000000
1.4500522010,74.2140000000
1.4500526840,74.2139000000
1.4500531680,74.2138000000
1.4500536510,74.2137000000
1.4500541340,74.2136000000
1.4500546180,74.2135000000
1.4500551010,74.2134000000
1.4500555840,74.2133000000
1.4500560680,74.2132000000
1.4500565510,74.2131000000
1.4500570340,74.2130000000
1.4500575180,74.2129000000
1.4500580010,74.2128000000
1.4500584850,74.2128000000
1.4500589680,74.2127000000
1.4500594510,74.2126000000
1.4500599350,74.2125000000
1.4500604180,74.2124000000
1.4500609010,74.2123000000
1.4500613850,74.2122000000
1.4500618680,74.2122000000
1.4500623510,74.2121000000
1.4500628350,74.2120000000
1.4500633180,74.2119000000
1.4500638010,74.2118000000
1.4500642850,74.2117000000
1.4500647680,74.2117000000
1.4500652510,74.2116000000
1.4500657350,74.2115000000
1.4500662180,74.2114000000
1.4500667020,74.2113000000
1.4500671850,74.2113000000
1.4500676680,74.2112000000
1.4500681520,74.2111000000
1.4500686350,74.2110000000
1.4500691180,74.2110000000
1.4500696020,74.2109000000
1.4500700850,74.2108000000
1.4500705680,74.2108000000
1.4500710520,74.2107000000
1.4500715350,74.2106000000
1.4500720180,74.2106000000
1.4500725020,74.2105000000
1.4500729850,74.2104000000
1.4500734690,74.2104000000
1.4500739520,74.2103000000
1.4500744350,74.2102000000
1.4500749190,74.2102000000
1.4500754020,74.2101000000
1.4500758850,74.2100000000
1.4500763690,74.2100000000
1.4500768520,74.2099000000
1.4500773350,74.2098000000
1.4500778190,74.2098000000
1.4500783020,74.2097000000
1.4500787850,74.2096000000
1.4500792690,74.2096000000
1.4500797520,74.2095000000
1.4500802360,74.2095000000
1.4500807190,74.2094000000
1.4500812020,74.2093000000
1.4500816860,74.2093000000
1.4500821690,74.2092000000
1.4500826520,74.2092000000
1.4500831360,74.2091000000
1.4500836190,74.2091000000
1.4500841020,74.2090000000
1.4500845860,74.2089000000
1.4500850690,74.2089000000
1.4500855530,74.2088000000
1.4500860360,74.2088000000
1.4500865190,74.2087000000
1.4500870030,74.2087000000
1.4500874860,74.2086000000
1.4500879690,74.2086000000
1.4500884530,74.2085000000
1.4500889360,74.2085000000
1.4500894190,74.2084000000
1.4500899030,74.2084000000
1.4500903860,74.2083000000
1.4500908690,74.2083000000
1.4500913530,74.2082000000
1.4500918360,74.2082000000
1.4500923200,74.2081000000
1.4500928030,74.2081000000
1.4500932860,74.2080000000
1.4500937700,74.2080000000
1.4500942530,74.2080000000
1.4500947360,74.2079000000
1.4500952200,74.2079000000
1.4500957030,74.2078000000
1.4500961870,74.2078000000
1.4500966700,74.2077000000
1.4500971530,74.2077000000
1.4500976370,74.2077000000
1.4500981200,74.2076000000
1.4500986030,74.2076000000
1.4500990870,74.2075000000
1.4500995700,74.2075000000
1.4501000530,74.2075000000
1.4501005370,74.2074000000
1.4501010200,74.2074000000
1.4501015040,74.2073000000
1.4501019870,74.2073000000
1.4501024700,74.2073000000
1.4501029540,74.2072000000
1.4501034370,74.2072000000
1.4501039200,74.2072000000
1.4501044040,74.2071000000
1.4501048870,74.2071000000
1.4501053700,74.2071000000
1.4501058540,74.2070000000
1.4501063370,74.2070000000
1.4501068210,74.2070000000
1.4501073040,74.2069000000
1.4501077870,74.2069000000
1.4501082710,74.2069000000
1.4501087540,74.2068000000
1.4501092370,74.2068000000
1.4501097210,74.2068000000
1.4501102040,74.2068000000
1.4501106880,74.2067000000
1.4501111710,74.2067000000
1.4501116540,74.2067000000
1.4501121380,74.2066000000
1.4501126210,74.2066000000
1.4501131040,74.2066000000
1.4501135880,74.2066000000
1.4501140710,74.2065000000
1.4501145550,74.2065000000
1.4501150380,74.2065000000
1.4501155210,74.2065000000
1.4501160050,74.2064000000
1.4501164880,74.2064000000
1.4501169710,74.2064000000
1.4501174550,74.2064000000
1.4501179380,74.2063000000
1.4501184210,74.2063000000
1.4501189050,74.2063000000
1.4501193880,74.2063000000
1.4501198720,74.2063000000
