wl_micron,value
1.0500000000,84.3967000000
1.0500003500,84.3968000000
1.0500007000,84.3971000000
1.0500010500,84.3974000000
1.0500014000,84.3978000000
1.0500017500,84.3983000000
1.0500021000,84.3990000000
1.0500024500,84.3998000000
1.0500028000,84.4008000000
1.0500031500,84.4020000000
1.0500035000,84.4034000000
1.0500038500,84.4051000000
1.0500042000,84.4069000000
1.0500045500,84.4091000000
1.0500049000,84.4116000000
1.0500052500,84.4143000000
1.0500056000,84.4175000000
1.0500059500,84.4211000000
1.0500063000,84.4252000000
1.0500066500,84.4300000000
1.0500070000,84.4354000000
1.0500073500,84.4417000000
1.0500077000,84.4490000000
1.0500080500,84.4576000000
1.0500084000,84.4677000000
1.0500087500,84.4797000000
1.0500091000,84.4939000000
1.0500094500,84.5107000000
1.0500098000,84.5302000000
1.0500101500,84.5529000000
1.0500105000,84.5786000000
1.0500108500,84.6071000000
1.0500112000,84.6381000000
1.0500115500,84.6705000000
1.0500119000,84.7033000000
1.0500122500,84.7350000000
1.0500126000,84.7638000000
1.0500129500,84.7882000000
1.0500133000,84.8066000000
1.0500136500,84.8178000000
1.0500140000,84.8211000000
1.0500143500,84.8165000000
1.0500147000,84.8044000000
1.0500150500,84.7858000000
1.0500154000,84.7623000000
1.0500157500,84.7354000000
1.0500161000,84.7068000000
1.0500164500,84.6783000000
1.0500168000,84.6511000000
1.0500171500,84.6262000000
1.0500175000,84.6043000000
1.0500178500,84.5859000000
1.0500182000,84.5710000000
1.0500185500,84.5595000000
1.0500189000,84.5514000000
1.0500192500,84.5464000000
1.0500196000,84.5443000000
1.0500199500,84.5450000000
1.0500203000,84.5486000000
1.0500206500,84.5551000000
1.0500210000,84.5648000000
1.0500213500,84.5779000000
1.0500217000,84.5949000000
1.0500220500,84.6161000000
1.0500224000,84.6420000000
1.0500227500,84.6728000000
1.0500231000,84.7084000000
1.0500234500,84.7486000000
1.0500238000,84.7926000000
1.0500241500,84.8389000000
1.0500245000,84.8859000000
1.0500248500,84.9312000000
1.0500252000,84.9723000000
1.0500255500,85.0067000000
1.0500259000,85.0321000000
1.0500262500,85.0467000000
1.0500266000,85.0494000000
1.0500269500,85.0402000000
1.0500273000,85.0197000000
1.0500276500,84.9895000000
1.0500280000,84.9518000000
1.0500283500,84.9092000000
1.0500287000,84.8641000000
1.0500290500,84.8191000000
1.0500294000,84.7762000000
1.0500297500,84.7369000000
1.0500301000,84.7022000000
1.0500304500,84.6726000000
1.0500308000,84.6482000000
1.0500311500,84.6288000000
1.0500315000,84.6139000000
1.0500318500,84.6029000000
1.0500322000,84.5951000000
1.0500325500,84.5899000000
1.0500329010,84.5866000000
1.0500332510,84.5846000000
1.0500336010,84.5835000000
1.0500339510,84.5830000000
1.0500343010,84.5827000000
1.0500346510,84.5826000000
1.0500350010,84.5827000000
1.0500353510,84.5829000000
1.0500357010,84.5835000000
1.0500360510,84.5846000000
1.0500364010,84.5863000000
1.0500367510,84.5889000000
1.0500371010,84.5925000000
1.0500374510,84.5973000000
1.0500378010,84.6035000000
1.0500381510,84.6115000000
1.0500385010,84.6216000000
1.0500388510,84.6340000000
1.0500392010,84.6491000000
1.0500395510,84.6671000000
1.0500399010,84.6881000000
1.0500402510,84.7120000000
1.0500406010,84.7383000000
1.0500409510,84.7664000000
1.0500413010,84.7951000000
1.0500416510,84.8233000000
1.0500420010,84.8497000000
1.0500423510,84.8729000000
1.0500427010,84.8920000000
1.0500430510,84.9063000000
1.0500434010,84.9157000000
1.0500437510,84.9206000000
1.0500441010,84.9222000000
1.0500444510,84.9220000000
1.0500448010,84.9220000000
1.0500451510,84.9242000000
1.0500455010,84.9308000000
1.0500458510,84.9436000000
1.0500462010,84.9636000000
1.0500465510,84.9917000000
1.0500469010,85.0276000000
1.0500472510,85.0701000000
1.0500476010,85.1173000000
1.0500479510,85.1664000000
1.0500483010,85.2142000000
1.0500486510,85.2572000000
1.0500490010,85.2917000000
1.0500493510,85.3149000000
1.0500497010,85.3247000000
1.0500500510,85.3199000000
1.0500504010,85.3007000000
1.0500507510,85.2683000000
1.0500511010,85.2249000000
1.0500514510,85.1733000000
1.0500518010,85.1167000000
1.0500521510,85.0581000000
1.0500525010,85.0004000000
1.0500528510,84.9459000000
1.0500532010,84.8962000000
1.0500535510,84.8525000000
1.0500539010,84.8152000000
1.0500542510,84.7848000000
1.0500546010,84.7611000000
1.0500549510,84.7441000000
1.0500553010,84.7335000000
1.0500556510,84.7292000000
1.0500560010,84.7311000000
1.0500563520,84.7391000000
1.0500567020,84.7530000000
1.0500570520,84.7726000000
1.0500574020,84.7973000000
1.0500577520,84.8263000000
1.0500581020,84.8583000000
1.0500584520,84.8918000000
1.0500588020,84.9246000000
1.0500591520,84.9547000000
1.0500595020,84.9799000000
1.0500598520,84.9980000000
1.0500602020,85.0077000000
1.0500605520,85.0078000000
1.0500609020,84.9981000000
1.0500612520,84.9791000000
1.0500616020,84.9522000000
1.0500619520,84.9189000000
1.0500623020,84.8813000000
1.0500626520,84.8416000000
1.0500630020,84.8017000000
1.0500633520,84.7633000000
1.0500637020,84.7277000000
1.0500640520,84.6956000000
1.0500644020,84.6676000000
1.0500647520,84.6436000000
1.0500651020,84.6236000000
1.0500654520,84.6072000000
1.0500658020,84.5940000000
1.0500661520,84.5837000000
1.0500665020,84.5757000000
1.0500668520,84.5697000000
1.0500672020,84.5656000000
1.0500675520,84.5630000000
1.0500679020,84.5618000000
1.0500682520,84.5618000000
1.0500686020,84.5630000000
1.0500689520,84.5653000000
1.0500693020,84.5688000000
1.0500696520,84.5734000000
1.0500700020,84.5791000000
1.0500703520,84.5860000000
1.0500707020,84.5942000000
1.0500710520,84.6037000000
1.0500714020,84.6148000000
1.0500717520,84.6275000000
1.0500721020,84.6421000000
1.0500724520,84.6587000000
1.0500728030,84.6777000000
1.0500731530,84.6995000000
1.0500735030,84.7245000000
1.0500738530,84.7532000000
1.0500742030,84.7866000000
1.0500745530,84.8255000000
1.0500749030,84.8713000000
1.0500752530,84.9255000000
1.0500756030,84.9903000000
1.0500759530,85.0682000000
1.0500763030,85.1624000000
1.0500766530,85.2763000000
1.0500770030,85.4138000000
1.0500773530,85.5787000000
1.0500777030,85.7741000000
1.0500780530,86.0021000000
1.0500784030,86.2625000000
1.0500787530,86.5527000000
1.0500791030,86.8665000000
1.0500794530,87.1940000000
1.0500798030,87.5216000000
1.0500801530,87.8331000000
1.0500805030,88.1104000000
1.0500808530,88.3360000000
1.0500812030,88.4942000000
1.0500815530,88.5737000000
1.0500819030,88.5686000000
1.0500822530,88.4794000000
1.0500826030,88.3129000000
1.0500829530,88.0812000000
1.0500833030,87.8003000000
1.0500836530,87.4882000000
1.0500840030,87.1626000000
1.0500843530,86.8395000000
1.0500847030,86.5318000000
1.0500850530,86.2488000000
1.0500854030,85.9961000000
1.0500857530,85.7757000000
1.0500861040,85.5873000000
1.0500864540,85.4283000000
1.0500868040,85.2953000000
1.0500871540,85.1844000000
1.0500875040,85.0916000000
1.0500878540,85.0136000000
1.0500882040,84.9474000000
1.0500885540,84.8905000000
1.0500889040,84.8412000000
1.0500892540,84.7981000000
1.0500896040,84.7602000000
1.0500899540,84.7266000000
1.0500903040,84.6968000000
1.0500906540,84.6703000000
1.0500910040,84.6468000000
1.0500913540,84.6258000000
1.0500917040,84.6071000000
1.0500920540,84.5904000000
1.0500924040,84.5756000000
1.0500927540,84.5623000000
1.0500931040,84.5504000000
1.0500934540,84.5398000000
1.0500938040,84.5303000000
1.0500941540,84.5219000000
1.0500945040,84.5144000000
1.0500948540,84.5079000000
1.0500952040,84.5022000000
1.0500955540,84.4974000000
1.0500959040,84.4934000000
1.0500962540,84.4903000000
1.0500966040,84.4879000000
1.0500969540,84.4863000000
1.0500973040,84.4853000000
1.0500976550,84.4849000000
1.0500980050,84.4848000000
1.0500983550,84.4849000000
1.0500987050,84.4850000000
1.0500990550,84.4849000000
1.0500994050,84.4842000000
