wl_micron,value
1.0500000000,0.8653980000
1.0500003500,0.8653980000
1.0500007000,0.8653980000
1.0500010500,0.8653980000
1.0500014000,0.8653990000
1.0500017500,0.8653990000
1.0500021000,0.8653990000
1.0500024500,0.8653990000
1.0500028000,0.8653990000
1.0500031500,0.8653990000
1.0500035000,0.8653990000
1.0500038500,0.8654000000
1.0500042000,0.8654000000
1.0500045500,0.8654000000
1.0500049000,0.8654000000
1.0500052500,0.8654000000
1.0500056000,0.8654010000
1.0500059500,0.8654010000
1.0500063000,0.8654010000
1.0500066500,0.8654010000
1.0500070000,0.8654010000
1.0500073500,0.8654020000
1.0500077000,0.8654020000
1.0500080500,0.8654020000
1.0500084000,0.8654020000
1.0500087500,0.8654030000
1.0500091000,0.8654030000
1.0500094500,0.8654030000
1.0500098000,0.8654030000
1.0500101500,0.8654040000
1.0500105000,0.8654040000
1.0500108500,0.8654040000
1.0500112000,0.8654040000
1.0500115500,0.8654050000
1.0500119000,0.8654050000
1.0500122500,0.8654050000
1.0500126000,0.8654060000
1.0500129500,0.8654060000
1.0500133000,0.8654060000
1.0500136500,0.8654070000
1.0500140000,0.8654070000
1.0500143500,0.8654070000
1.0500147000,0.8654080000
1.0500150500,0.8654080000
1.0500154000,0.8654090000
1.0500157500,0.8654090000
1.0500161000,0.8654090000
1.0500164500,0.8654100000
1.0500168000,0.8654100000
1.0500171500,0.8654110000
1.0500175000,0.8654110000
1.0500178500,0.8654120000
1.0500182000,0.8654120000
1.0500185500,0.8654130000
1.0500189000,0.8654130000
1.0500192500,0.8654140000
1.0500196000,0.8654140000
1.0500199500,0.8654150000
1.0500203000,0.8654160000
1.0500206500,0.8654160000
1.0500210000,0.8654170000
1.0500213500,0.8654180000
1.0500217000,0.8654180000
1.0500220500,0.8654190000
1.0500224000,0.8654200000
1.0500227500,0.8654210000
1.0500231000,0.8654210000
1.0500234500,0.8654220000
1.0500238000,0.8654230000
1.0500241500,0.8654240000
1.0500245000,0.8654250000
1.0500248500,0.8654260000
1.0500252000,0.8654270000
1.0500255500,0.8654280000
1.0500259000,0.8654290000
1.0500262500,0.8654300000
1.0500266000,0.8654320000
1.0500269500,0.8654330000
1.0500273000,0.8654340000
1.0500276500,0.8654350000
1.0500280000,0.8654370000
1.0500283500,0.8654380000
1.0500287000,0.8654400000
1.0500290500,0.8654410000
1.0500294000,0.8654430000
1.0500297500,0.8654450000
1.0500301000,0.8654470000
1.0500304500,0.8654490000
1.0500308000,0.8654510000
1.0500311500,0.8654530000
1.0500315000,0.8654550000
1.0500318500,0.8654580000
1.0500322000,0.8654600000
1.0500325500,0.8654630000
1.0500329010,0.8654660000
1.0500332510,0.8654690000
1.0500336010,0.8654720000
1.0500339510,0.8654760000
1.0500343010,0.8654790000
1.0500346510,0.8654830000
1.0500350010,0.8654870000
1.0500353510,0.8654910000
1.0500357010,0.8654960000
1.0500360510,0.8655010000
1.0500364010,0.8655060000
1.0500367510,0.8655120000
1.0500371010,0.8655180000
1.0500374510,0.8655240000
1.0500378010,0.8655310000
1.0500381510,0.8655380000
1.0500385010,0.8655460000
1.0500388510,0.8655550000
1.0500392010,0.8655640000
1.0500395510,0.8655740000
1.0500399010,0.8655850000
1.0500402510,0.8655970000
1.0500406010,0.8656100000
1.0500409510,0.8656250000
1.0500413010,0.8656410000
1.0500416510,0.8656580000
1.0500420010,0.8656770000
1.0500423510,0.8656990000
1.0500427010,0.8657230000
1.0500430510,0.8657500000
1.0500434010,0.8657810000
1.0500437510,0.8658170000
1.0500441010,0.8658580000
1.0500444510,0.8659060000
1.0500448010,0.8659620000
1.0500451510,0.8660270000
1.0500455010,0.8661030000
1.0500458510,0.8661920000
1.0500462010,0.8662940000
1.0500465510,0.8664100000
1.0500469010,0.8665380000
1.0500472510,0.8666780000
1.0500476010,0.8668240000
1.0500479510,0.8669720000
1.0500483010,0.8671170000
1.0500486510,0.8672510000
1.0500490010,0.8673660000
1.0500493510,0.8674570000
1.0500497010,0.8675180000
1.0500500510,0.8675450000
1.0500504010,0.8675390000
1.0500507510,0.8674990000
1.0500511010,0.8674300000
1.0500514510,0.8673360000
1.0500518010,0.8672240000
1.0500521510,0.8671010000
1.0500525010,0.8669730000
1.0500528510,0.8668440000
1.0500532010,0.8667190000
1.0500535510,0.8666020000
1.0500539010,0.8664930000
1.0500542510,0.8663940000
1.0500546010,0.8663050000
1.0500549510,0.8662250000
1.0500553010,0.8661530000
1.0500556510,0.8660900000
1.0500560010,0.8660330000
1.0500563520,0.8659820000
1.0500567020,0.8659360000
1.0500570520,0.8658940000
1.0500574020,0.8658570000
1.0500577520,0.8658230000
1.0500581020,0.8657930000
1.0500584520,0.8657650000
1.0500588020,0.8657390000
1.0500591520,0.8657160000
1.0500595020,0.8656950000
1.0500598520,0.8656750000
1.0500602020,0.8656570000
1.0500605520,0.8656410000
1.0500609020,0.8656260000
1.0500612520,0.8656120000
1.0500616020,0.8656000000
1.0500619520,0.8655880000
1.0500623020,0.8655770000
1.0500626520,0.8655670000
1.0500630020,0.8655580000
1.0500633520,0.8655490000
1.0500637020,0.8655410000
1.0500640520,0.8655330000
1.0500644020,0.8655260000
1.0500647520,0.8655200000
1.0500651020,0.8655140000
1.0500654520,0.8655080000
1.0500658020,0.8655030000
1.0500661520,0.8654980000
1.0500665020,0.8654930000
1.0500668520,0.8654890000
1.0500672020,0.8654850000
1.0500675520,0.8654810000
1.0500679020,0.8654770000
1.0500682520,0.8654740000
1.0500686020,0.8654700000
1.0500689520,0.8654670000
1.0500693020,0.8654640000
1.0500696520,0.8654620000
1.0500700020,0.8654590000
1.0500703520,0.8654570000
1.0500707020,0.8654540000
1.0500710520,0.8654520000
1.0500714020,0.8654500000
1.0500717520,0.8654480000
1.0500721020,0.8654460000
1.0500724520,0.8654440000
1.0500728030,0.8654420000
1.0500731530,0.8654410000
1.0500735030,0.8654390000
1.0500738530,0.8654370000
1.0500742030,0.8654360000
1.0500745530,0.8654340000
1.0500749030,0.8654330000
1.0500752530,0.8654320000
1.0500756030,0.8654310000
1.0500759530,0.8654290000
1.0500763030,0.8654280000
1.0500766530,0.8654270000
1.0500770030,0.8654260000
1.0500773530,0.8654250000
1.0500777030,0.8654240000
1.0500780530,0.8654230000
1.0500784030,0.8654220000
1.0500787530,0.8654210000
1.0500791030,0.8654210000
1.0500794530,0.8654200000
1.0500798030,0.8654190000
1.0500801530,0.8654180000
1.0500805030,0.8654180000
1.0500808530,0.8654170000
1.0500812030,0.8654160000
1.0500815530,0.8654160000
1.0500819030,0.8654150000
1.0500822530,0.8654140000
1.0500826030,0.8654140000
1.0500829530,0.8654130000
1.0500833030,0.8654130000
1.0500836530,0.8654120000
1.0500840030,0.8654120000
1.0500843530,0.8654110000
1.0500847030,0.8654110000
1.0500850530,0.8654100000
1.0500854030,0.8654100000
1.0500857530,0.8654090000
1.0500861040,0.8654090000
1.0500864540,0.8654080000
1.0500868040,0.8654080000
1.0500871540,0.8654080000
1.0500875040,0.8654070000
1.0500878540,0.8654070000
1.0500882040,0.8654060000
1.0500885540,0.8654060000
1.0500889040,0.8654060000
1.0500892540,0.8654050000
1.0500896040,0.8654050000
1.0500899540,0.8654050000
1.0500903040,0.8654040000
1.0500906540,0.8654040000
1.0500910040,0.8654040000
1.0500913540,0.8654040000
1.0500917040,0.8654030000
1.0500920540,0.8654030000
1.0500924040,0.8654030000
1.0500927540,0.8654020000
1.0500931040,0.8654020000
1.0500934540,0.8654020000
1.0500938040,0.8654020000
1.0500941540,0.8654010000
1.0500945040,0.8654010000
1.0500948540,0.8654010000
1.0500952040,0.8654010000
1.0500955540,0.8654010000
1.0500959040,0.8654000000
1.0500962540,0.8654000000
1.0500966040,0.8654000000
1.0500969540,0.8654000000
1.0500973040,0.8654000000
1.0500976550,0.8653990000
1.0500980050,0.8653990000
1.0500983550,0.8653990000
1.0500987050,0.8653990000
1.0500990550,0.8653990000
1.0500994050,0.8653990000
1.0500997550,0.8653980000
1.0501001050,0.8653980000
1.0501004550,0.8653980000
1.0501008050,0.8653980000
1.0501011550,0.8653980000
1.0501015050,0.8653980000
1.0501018550,0.8653980000
1.0501022050,0.8653970000
1.0501025550,0.8653970000
1.0501029050,0.8653970000
1.0501032550,0.8653970000
1.0501036050,0.8653970000
1.0501039550,0.8653970000
1.0501043050,0.8653970000
1.0501046550,0.8653960000
1.0501050050,0.8653960000
1.0501053550,0.8653960000
1.0501057050,0.8653960000
1.0501060550,0.8653960000
1.0501064050,0.8653960000
1.0501067550,0.8653960000
1.0501071050,0.8653960000
1.0501074550,0.8653960000
1.0501078060,0.8653950000
1.0501081560,0.8653950000
1.0501085060,0.8653950000
1.0501088560,0.8653950000
1.0501092060,0.8653950000
1.0501095560,0.8653950000
1.0501099060,0.8653950000
1.0501102560,0.8653950000
1.0501106060,0.8653950000
1.0501109560,0.8653950000
1.0501113060,0.8653950000
1.0501116560,0.8653940000
1.0501120060,0.8653940000
1.0501123560,0.8653940000
1.0501127060,0.8653940000
1.0501130560,0.8653940000
1.0501134060,0.8653940000
1.0501137560,0.8653940000
1.0501141060,0.8653940000
1.0501144560,0.8653940000
1.0501148060,0.8653940000
1.0501151560,0.8653940000
1.0501155060,0.8653940000
1.0501158560,0.8653940000
1.0501162060,0.8653930000
1.0501165560,0.8653930000
1.0501169060,0.8653930000
1.0501172570,0.8653930000
1.0501176070,0.8653930000
1.0501179570,0.8653930000
1.0501183070,0.8653930000
1.0501186570,0.8653930000
1.0501190070,0.8653930000
1.0501193570,0.8653930000
1.0501197070,0.8653930000
1.0501200570,0.8653930000
1.0501204070,0.8653930000
1.0501207570,0.8653930000
1.0501211070,0.8653930000
1.0501214570,0.8653930000
1.0501218070,0.8653920000
1.0501221570,0.8653920000
1.0501225070,0.8653920000
1.0501228570,0.8653920000
1.0501232070,0.8653920000
1.0501235570,0.8653920000
1.0501239070,0.8653920000
1.0501242570,0.8653920000
1.0501246070,0.8653920000
1.0501249570,0.8653920000
1.0501253070,0.8653920000
1.0501256570,0.8653920000
1.0501260080,0.8653920000
1.0501263580,0.8653920000
1.0501267080,0.8653920000
1.0501270580,0.8653920000
1.0501274080,0.8653920000
1.0501277580,0.8653920000
1.0501281080,0.8653920000
1.0501284580,0.8653920000
1.0501288080,0.8653920000
1.0501291580,0.8653920000
1.0501295080,0.8653910000
1.0501298580,0.8653910000
1.0501302080,0.8653910000
1.0501305580,0.8653910000
1.0501309080,0.8653910000
