wl_micron,value
1.4500000000,0.8653830000
1.4500004830,0.8653830000
1.4500009670,0.8653830000
1.4500014500,0.8653830000
1.4500019330,0.8653830000
1.4500024170,0.8653830000
1.4500029000,0.8653830000
1.4500033830,0.8653830000
1.4500038670,0.8653830000
1.4500043500,0.8653830000
1.4500048330,0.8653830000
1.4500053170,0.8653830000
1.4500058000,0.8653830000
1.4500062830,0.8653830000
1.4500067670,0.8653830000
1.4500072500,0.8653830000
1.4500077330,0.8653830000
1.4500082170,0.8653830000
1.4500087000,0.8653830000
1.4500091830,0.8653830000
1.4500096670,0.8653830000
1.4500101500,0.8653830000
1.4500106330,0.8653830000
1.4500111170,0.8653830000
1.4500116000,0.8653830000
1.4500120830,0.8653830000
1.4500125670,0.8653830000
1.4500130500,0.8653830000
1.4500135330,0.8653830000
1.4500140170,0.8653830000
1.4500145000,0.8653830000
1.4500149830,0.8653830000
1.4500154670,0.8653830000
1.4500159500,0.8653830000
1.4500164330,0.8653830000
1.4500169170,0.8653830000
1.4500174000,0.8653830000
1.4500178830,0.8653830000
1.4500183670,0.8653830000
1.4500188500,0.8653830000
1.4500193330,0.8653830000
1.4500198170,0.8653830000
1.4500203000,0.8653830000
1.4500207830,0.8653830000
1.4500212670,0.8653830000
1.4500217500,0.8653830000
1.4500222340,0.8653830000
1.4500227170,0.8653830000
1.4500232000,0.8653830000
1.4500236840,0.8653830000
1.4500241670,0.8653830000
1.4500246500,0.8653830000
1.4500251340,0.8653830000
1.4500256170,0.8653830000
1.4500261000,0.8653830000
1.4500265840,0.8653830000
1.4500270670,0.8653830000
1.4500275500,0.8653830000
1.4500280340,0.8653830000
1.4500285170,0.8653830000
1.4500290000,0.8653830000
1.4500294840,0.8653830000
1.4500299670,0.8653830000
1.4500304500,0.8653830000
1.4500309340,0.8653830000
1.4500314170,0.8653830000
1.4500319000,0.8653830000
1.4500323840,0.8653830000
1.4500328670,0.8653830000
1.4500333500,0.8653830000
1.4500338340,0.8653830000
1.4500343170,0.8653830000
1.4500348000,0.8653830000
1.4500352840,0.8653830000
1.4500357670,0.8653830000
1.4500362500,0.8653830000
1.4500367340,0.8653830000
1.4500372170,0.8653830000
1.4500377000,0.8653830000
1.4500381840,0.8653830000
1.4500386670,0.8653830000
1.4500391510,0.8653830000
1.4500396340,0.8653830000
1.4500401170,0.8653830000
1.4500406010,0.8653830000
1.4500410840,0.8653830000
1.4500415670,0.8653830000
