wl_micron,value
1.4500000000,3.1222100000
1.4500004830,3.1763600000
1.4500009670,3.2447400000
1.4500014500,3.3278400000
1.4500019330,3.4249900000
1.4500024170,3.5340500000
1.4500029000,3.6512800000
1.4500033830,3.7714600000
1.4500038670,3.8881200000
1.4500043500,3.9941100000
1.4500048330,4.0823300000
1.4500053170,4.1464600000
1.4500058000,4.1818300000
1.4500062830,4.1860000000
1.4500067670,4.1591800000
1.4500072500,4.1042800000
1.4500077330,4.0266700000
1.4500082170,3.9336000000
1.4500087000,3.8334600000
1.4500091830,3.7349400000
1.4500096670,3.6461700000
1.4500101500,3.5740400000
1.4500106330,3.5236000000
1.4500111170,3.4978000000
1.4500116000,3.4972500000
1.4500120830,3.5202900000
1.4500125670,3.5631300000
1.4500130500,3.6202500000
1.4500135330,3.6847900000
1.4500140170,3.7492400000
1.4500145000,3.8061400000
1.4500149830,3.8487900000
1.4500154670,3.8719500000
1.4500159500,3.8723900000
1.4500164330,3.8491100000
1.4500169170,3.8034000000
1.4500174000,3.7384900000
1.4500178830,3.6590300000
1.4500183670,3.5704900000
1.4500188500,3.4783800000
1.4500193330,3.3877600000
1.4500198170,3.3027200000
1.4500203000,3.2261700000
1.4500207830,3.1597900000
1.4500212670,3.1041800000
1.4500217500,3.0590300000
1.4500222340,3.0234600000
1.4500227170,2.9962300000
1.4500232000,2.9759700000
1.4500236840,2.9613500000
1.4500241670,2.9511800000
1.4500246500,2.9444100000
1.4500251340,2.9401500000
1.4500256170,2.9376700000
1.4500261000,2.9363500000
1.4500265840,2.9356500000
1.4500270670,2.9351600000
1.4500275500,2.9345300000
1.4500280340,2.9335000000
1.4500285170,2.9319300000
1.4500290000,2.9297600000
1.4500294840,2.9270200000
1.4500299670,2.9238300000
1.4500304500,2.9203500000
1.4500309340,2.9167600000
1.4500314170,2.9132200000
1.4500319000,2.9099000000
1.4500323840,2.9069100000
1.4500328670,2.9043100000
1.4500333500,2.9021400000
1.4500338340,2.9003900000
1.4500343170,2.8990300000
1.4500348000,2.8980100000
1.4500352840,2.8972800000
1.4500357670,2.8968000000
1.4500362500,2.8965100000
1.4500367340,2.8963900000
1.4500372170,2.8963800000
1.4500377000,2.8964800000
1.4500381840,2.8966500000
1.4500386670,2.8968900000
1.4500391510,2.8971900000
1.4500396340,2.8975400000
1.4500401170,2.8979200000
1.4500406010,2.8983500000
1.4500410840,2.8988000000
1.4500415670,2.8992900000
1.4500420510,2.8998100000
1.4500425340,2.9003600000
1.4500430170,2.9009400000
1.4500435010,2.9015400000
1.4500439840,2.9021700000
1.4500444670,2.9028300000
1.4500449510,2.9035100000
1.4500454340,2.9042200000
1.4500459170,2.9049500000
1.4500464010,2.9057200000
1.4500468840,2.9065000000
1.4500473670,2.9073200000
1.4500478510,2.9081700000
1.4500483340,2.9090400000
1.4500488170,2.9099500000
1.4500493010,2.9108900000
1.4500497840,2.9118500000
1.4500502680,2.9128500000
1.4500507510,2.9138700000
1.4500512340,2.9149200000
1.4500517180,2.9159900000
1.4500522010,2.9170700000
1.4500526840,2.9181700000
1.4500531680,2.9192700000
1.4500536510,2.9203700000
1.4500541340,2.9214800000
1.4500546180,2.9225900000
1.4500551010,2.9237100000
1.4500555840,2.9248500000
1.4500560680,2.9260000000
1.4500565510,2.9271800000
1.4500570340,2.9284000000
1.4500575180,2.9296700000
1.4500580010,2.9310000000
1.4500584850,2.9323900000
1.4500589680,2.9338500000
1.4500594510,2.9354100000
1.4500599350,2.9370500000
1.4500604180,2.9387800000
1.4500609010,2.9406000000
1.4500613850,2.9424900000
1.4500618680,2.9444300000
1.4500623510,2.9464000000
1.4500628350,2.9483700000
1.4500633180,2.9502900000
1.4500638010,2.9521500000
1.4500642850,2.9539100000
1.4500647680,2.9555700000
1.4500652510,2.9571100000
1.4500657350,2.9585600000
1.4500662180,2.9599400000
1.4500667020,2.9612700000
1.4500671850,2.9626000000
1.4500676680,2.9639400000
1.4500681520,2.9653300000
1.4500686350,2.9667900000
1.4500691180,2.9683400000
1.4500696020,2.9699700000
1.4500700850,2.9717000000
1.4500705680,2.9735100000
1.4500710520,2.9754000000
1.4500715350,2.9773600000
1.4500720180,2.9793800000
1.4500725020,2.9814700000
1.4500729850,2.9836100000
1.4500734690,2.9858000000
1.4500739520,2.9880300000
1.4500744350,2.9903100000
1.4500749190,2.9926400000
1.4500754020,2.9950100000
1.4500758850,2.9974300000
1.4500763690,2.9998900000
1.4500768520,3.0024000000
1.4500773350,3.0049600000
1.4500778190,3.0075700000
1.4500783020,3.0102400000
1.4500787850,3.0129500000
1.4500792690,3.0157200000
1.4500797520,3.0185400000
1.4500802360,3.0214300000
1.4500807190,3.0243700000
1.4500812020,3.0273700000
1.4500816860,3.0304400000
1.4500821690,3.0335800000
1.4500826520,3.0367800000
1.4500831360,3.0400500000
1.4500836190,3.0433900000
1.4500841020,3.0468100000
1.4500845860,3.0503000000
1.4500850690,3.0538700000
1.4500855530,3.0575100000
1.4500860360,3.0612500000
1.4500865190,3.0650600000
1.4500870030,3.0689600000
1.4500874860,3.0729500000
1.4500879690,3.0770300000
1.4500884530,3.0812000000
1.4500889360,3.0854600000
1.4500894190,3.0898300000
1.4500899030,3.0943000000
1.4500903860,3.0988700000
1.4500908690,3.1035500000
1.4500913530,3.1083400000
1.4500918360,3.1132400000
1.4500923200,3.1182600000
1.4500928030,3.1234100000
1.4500932860,3.1286800000
1.4500937700,3.1340900000
1.4500942530,3.1396300000
1.4500947360,3.1453100000
1.4500952200,3.1511300000
1.4500957030,3.1571100000
1.4500961870,3.1632300000
1.4500966700,3.1695200000
1.4500971530,3.1759600000
1.4500976370,3.1825700000
1.4500981200,3.1893500000
1.4500986030,3.1963100000
1.4500990870,3.2034400000
1.4500995700,3.2107700000
1.4501000530,3.2182800000
1.4501005370,3.2260000000
1.4501010200,3.2339300000
1.4501015040,3.2420800000
1.4501019870,3.2504700000
1.4501024700,3.2590900000
1.4501029540,3.2679700000
1.4501034370,3.2771100000
1.4501039200,3.2865300000
1.4501044040,3.2962300000
1.4501048870,3.3062400000
1.4501053700,3.3165500000
1.4501058540,3.3271800000
1.4501063370,3.3381500000
1.4501068210,3.3494700000
1.4501073040,3.3611500000
1.4501077870,3.3732200000
1.4501082710,3.3856700000
1.4501087540,3.3985500000
1.4501092370,3.4118500000
1.4501097210,3.4256100000
1.4501102040,3.4398300000
1.4501106880,3.4545500000
1.4501111710,3.4697800000
1.4501116540,3.4855300000
1.4501121380,3.5018500000
1.4501126210,3.5187400000
1.4501131040,3.5362300000
1.4501135880,3.5543500000
1.4501140710,3.5731200000
1.4501145550,3.5925800000
1.4501150380,3.6127400000
1.4501155210,3.6336400000
1.4501160050,3.6553000000
1.4501164880,3.6777400000
1.4501169710,3.7009800000
1.4501174550,3.7250400000
1.4501179380,3.7499200000
1.4501184210,3.7756300000
1.4501189050,3.8021600000
1.4501193880,3.8295100000
1.4501198720,3.8577000000
1.4501203550,3.8867300000
1.4501208380,3.9166500000
1.4501213220,3.9475000000
1.4501218050,3.9793700000
1.4501222880,4.0123500000
1.4501227720,4.0465700000
1.4501232550,4.0821900000
1.4501237390,4.1193800000
1.4501242220,4.1583400000
1.4501247050,4.1993100000
1.4501251890,4.2425600000
1.4501256720,4.2884400000
1.4501261550,4.3373800000
1.4501266390,4.3899700000
1.4501271220,4.4470400000
