wl_micron,value
1.0500000000,0.8679750000
1.0500003500,0.8679390000
1.0500007000,0.8678980000
1.0500010500,0.8678530000
1.0500014000,0.8678050000
1.0500017500,0.8677550000
1.0500021000,0.8677040000
1.0500024500,0.8676540000
1.0500028000,0.8676050000
1.0500031500,0.8675580000
1.0500035000,0.8675130000
1.0500038500,0.8674700000
1.0500042000,0.8674290000
1.0500045500,0.8673900000
1.0500049000,0.8673530000
1.0500052500,0.8673180000
1.0500056000,0.8672850000
1.0500059500,0.8672540000
1.0500063000,0.8672250000
1.0500066500,0.8671960000
1.0500070000,0.8671700000
1.0500073500,0.8671440000
1.0500077000,0.8671200000
1.0500080500,0.8670970000
1.0500084000,0.8670750000
1.0500087500,0.8670550000
1.0500091000,0.8670350000
1.0500094500,0.8670160000
1.0500098000,0.8669980000
1.0500101500,0.8669800000
1.0500105000,0.8669640000
1.0500108500,0.8669480000
1.0500112000,0.8669330000
1.0500115500,0.8669180000
1.0500119000,0.8669050000
1.0500122500,0.8668910000
1.0500126000,0.8668790000
1.0500129500,0.8668670000
1.0500133000,0.8668550000
1.0500136500,0.8668440000
1.0500140000,0.8668330000
1.0500143500,0.8668230000
1.0500147000,0.8668130000
1.0500150500,0.8668040000
1.0500154000,0.8667950000
1.0500157500,0.8667870000
1.0500161000,0.8667780000
1.0500164500,0.8667700000
1.0500168000,0.8667630000
1.0500171500,0.8667550000
1.0500175000,0.8667480000
1.0500178500,0.8667410000
1.0500182000,0.8667340000
1.0500185500,0.8667270000
1.0500189000,0.8667210000
1.0500192500,0.8667140000
1.0500196000,0.8667070000
1.0500199500,0.8667010000
1.0500203000,0.8666950000
1.0500206500,0.8666880000
1.0500210000,0.8666820000
1.0500213500,0.8666760000
1.0500217000,0.8666710000
1.0500220500,0.8666650000
1.0500224000,0.8666590000
1.0500227500,0.8666540000
1.0500231000,0.8666490000
1.0500234500,0.8666440000
1.0500238000,0.8666390000
1.0500241500,0.8666340000
1.0500245000,0.8666300000
1.0500248500,0.8666260000
1.0500252000,0.8666210000
1.0500255500,0.8666170000
1.0500259000,0.8666140000
1.0500262500,0.8666100000
1.0500266000,0.8666060000
1.0500269500,0.8666030000
1.0500273000,0.8665990000
1.0500276500,0.8665960000
1.0500280000,0.8665930000
1.0500283500,0.8665900000
1.0500287000,0.8665870000
1.0500290500,0.8665850000
1.0500294000,0.8665820000
1.0500297500,0.8665800000
1.0500301000,0.8665770000
1.0500304500,0.8665750000
1.0500308000,0.8665730000
1.0500311500,0.8665710000
1.0500315000,0.8665690000
1.0500318500,0.8665670000
1.0500322000,0.8665660000
1.0500325500,0.8665640000
1.0500329010,0.8665630000
1.0500332510,0.8665620000
1.0500336010,0.8665610000
1.0500339510,0.8665600000
1.0500343010,0.8665590000
1.0500346510,0.8665590000
1.0500350010,0.8665590000
1.0500353510,0.8665590000
1.0500357010,0.8665590000
1.0500360510,0.8665590000
1.0500364010,0.8665600000
1.0500367510,0.8665610000
1.0500371010,0.8665620000
1.0500374510,0.8665630000
1.0500378010,0.8665650000
1.0500381510,0.8665670000
1.0500385010,0.8665680000
1.0500388510,0.8665700000
1.0500392010,0.8665710000
1.0500395510,0.8665720000
1.0500399010,0.8665730000
1.0500402510,0.8665730000
1.0500406010,0.8665720000
1.0500409510,0.8665710000
1.0500413010,0.8665690000
1.0500416510,0.8665670000
1.0500420010,0.8665640000
1.0500423510,0.8665610000
1.0500427010,0.8665580000
1.0500430510,0.8665540000
1.0500434010,0.8665510000
1.0500437510,0.8665470000
1.0500441010,0.8665430000
1.0500444510,0.8665400000
1.0500448010,0.8665370000
1.0500451510,0.8665340000
1.0500455010,0.8665310000
1.0500458510,0.8665280000
1.0500462010,0.8665260000
1.0500465510,0.8665240000
1.0500469010,0.8665220000
1.0500472510,0.8665200000
1.0500476010,0.8665180000
1.0500479510,0.8665170000
1.0500483010,0.8665150000
1.0500486510,0.8665140000
1.0500490010,0.8665130000
1.0500493510,0.8665120000
1.0500497010,0.8665110000
1.0500500510,0.8665100000
1.0500504010,0.8665090000
1.0500507510,0.8665090000
1.0500511010,0.8665080000
1.0500514510,0.8665080000
1.0500518010,0.8665070000
1.0500521510,0.8665070000
1.0500525010,0.8665070000
1.0500528510,0.8665070000
1.0500532010,0.8665070000
1.0500535510,0.8665070000
1.0500539010,0.8665080000
1.0500542510,0.8665080000
1.0500546010,0.8665080000
1.0500549510,0.8665090000
1.0500553010,0.8665100000
1.0500556510,0.8665110000
1.0500560010,0.8665110000
1.0500563520,0.8665120000
1.0500567020,0.8665140000
1.0500570520,0.8665150000
1.0500574020,0.8665160000
1.0500577520,0.8665180000
1.0500581020,0.8665200000
1.0500584520,0.8665210000
1.0500588020,0.8665230000
1.0500591520,0.8665260000
