wl_micron,value
1.4499993189,328.1031464098
1.4500007689,327.9530504684
1.4500022189,327.8471337799
1.4500036689,327.7652872184
1.4500051189,327.7064190773
1.4500065689,327.6680430170
1.4500080189,327.6435244300
1.4500094689,327.6269034598
1.4500109189,327.6156656374
1.4500123690,327.6094649237
1.4500138190,327.6081914822
1.4500152690,327.6112311248
1.4500167190,327.6174666252
1.4500181690,327.6253940006
1.4500196190,327.6333296204
1.4500210691,327.6398336759
1.4500225191,327.6441138382
1.4500239691,327.6464907311
1.4500254191,327.6491233573
1.4500268692,327.6572644015
1.4500283192,327.6821659316
1.4500297692,327.7472816520
1.4500312192,327.8949727409
1.4500326693,328.1796381470
1.4500341193,328.6283103783
1.4500355693,329.1777624080
1.4500370194,329.6520502119
1.4500384694,329.8484013106
1.4500399195,329.6855657081
1.4500413695,329.2698694739
1.4500428195,328.8013256228
1.4500442696,328.4250366280
1.4500457196,328.1712104807
1.4500471697,328.0031193920
1.4500486197,327.8834612628
1.4500500698,327.7974637795
1.4500515198,327.7421104603
1.4500529699,327.7128614183
1.4500544199,327.7011841388
1.4500558700,327.6988569898
1.4500573200,327.7019085059
1.4500587701,327.7108229467
1.4500602202,327.7287033367
1.4500616702,327.7626529147
1.4500631203,327.8337061617
1.4500645703,327.9965441487
1.4500660204,328.3566377526
1.4500674705,329.0475814665
1.4500689205,330.1249985460
1.4500703706,331.4109461701
1.4500718207,332.4559763273
1.4500732708,332.7729937249
1.4500747208,332.1989994348
1.4500761709,331.0307175292
1.4500776210,329.7810759066
1.4500790711,328.8247129113
1.4500805211,328.2536165463
1.4500819712,327.9756901019
1.4500834213,327.8640191344
1.4500848714,327.8322620808
1.4500863215,327.8428739644
1.4500877716,327.8983256381
1.4500892217,328.0399933033
1.4500906717,328.3463550826
1.4500921218,328.9004932867
1.4500935719,329.7049569086
1.4500950220,330.5867237657
1.4500964721,331.2118356409
1.4500979222,331.2775368459
1.4500993723,330.7428505074
1.4501008224,329.8652683244
1.4501022725,328.9990603442
1.4501037226,328.3681783982
1.4501051727,328.0040708772
1.4501066228,327.8301082618
1.4501080729,327.7586571947
1.4501095230,327.7323900076
1.4501109732,327.7227744282
1.4501124233,327.7177707774
1.4501138734,327.7133314442
1.4501153235,327.7091286169
1.4501167736,327.7062848379
1.4501182237,327.7058408461
1.4501196738,327.7077789450
1.4501211240,327.7108542480
1.4501225741,327.7134518453
1.4501240242,327.7147675794
1.4501254743,327.7150029930
1.4501269245,327.7143769243
1.4501283746,327.7124768979
1.4501298247,327.7089186894
1.4501312748,327.7043550581
1.4501327250,327.7003043337
1.4501341751,327.6979733978
