wl_micron,value
1.0499999187,172.7969918329
1.0500009687,172.7966872943
1.0500020187,172.7975190309
1.0500030687,172.8002943098
1.0500041187,172.8045414927
1.0500051687,172.8085033352
1.0500062187,172.8101965842
1.0500072687,172.8088978354
1.0500083187,172.8057205890
1.0500093687,172.8026594002
1.0500104187,172.8011145760
1.0500114687,172.8012555014
1.0500125188,172.8024663392
1.0500135688,172.8040091650
1.0500146188,172.8052487341
1.0500156688,172.8056615454
1.0500167188,172.8051554167
1.0500177688,172.8045718677
1.0500188189,172.8056686914
1.0500198689,172.8102023401
1.0500209189,172.8184500027
1.0500219689,172.8281456210
1.0500230189,172.8351715601
1.0500240690,172.8362704186
1.0500251190,172.8316238561
1.0500261690,172.8245019200
1.0500272190,172.8182467786
1.0500282691,172.8138677021
1.0500293191,172.8103948066
1.0500303691,172.8067868917
1.0500314192,172.8030317649
1.0500324692,172.7997833300
1.0500335192,172.7975364990
1.0500345693,172.7962986450
1.0500356193,172.7957841490
1.0500366693,172.7956989019
1.0500377194,172.7958819403
1.0500387694,172.7963230036
1.0500398194,172.7971479594
1.0500408695,172.7985863581
1.0500419195,172.8008723051
1.0500429696,172.8040531936
1.0500440196,172.8078059860
1.0500450697,172.8114855759
1.0500461197,172.8145026931
1.0500471697,172.8167344503
1.0500482198,172.8184750558
1.0500492698,172.8198770403
1.0500503199,172.8205101073
1.0500513699,172.8196689635
1.0500524200,172.8171919506
1.0500534700,172.8139320861
1.0500545201,172.8113995519
1.0500555702,172.8109485623
1.0500566202,172.8130641444
1.0500576703,172.8170375946
1.0500587203,172.8212003439
1.0500597704,172.8237745879
1.0500608204,172.8239565358
1.0500618705,172.8224176135
1.0500629206,172.8207966362
1.0500639706,172.8205543060
1.0500650207,172.8220655983
1.0500660708,172.8244834439
1.0500671208,172.8263121186
1.0500681709,172.8262400442
1.0500692210,172.8238403868
1.0500702710,172.8198411330
1.0500713211,172.8158707791
1.0500723712,172.8138156512
1.0500734212,172.8151334828
1.0500744713,172.8202303320
1.0500755214,172.8279314898
1.0500765715,172.8354722057
1.0500776216,172.8396392853
1.0500786716,172.8386694689
1.0500797217,172.8333671841
1.0500807718,172.8264233429
1.0500818219,172.8206354029
1.0500828720,172.8174576746
1.0500839220,172.8166216089
1.0500849721,172.8167099963
1.0500860222,172.8162604461
1.0500870723,172.8147206163
1.0500881224,172.8125850376
1.0500891725,172.8107090186
1.0500902226,172.8095781821
1.0500912726,172.8091715325
1.0500923227,172.8092824605
1.0500933728,172.8097645129
1.0500944229,172.8105187044
1.0500954730,172.8114579730
1.0500965231,172.8125927216
1.0500975732,172.8140224067
1.0500986233,172.8156501402
1.0500996734,172.8169502355
1.0501007235,172.8172552679
1.0501017736,172.8163711488
1.0501028237,172.8148084081
1.0501038738,172.8133519096
1.0501049239,172.8125267291
1.0501059740,172.8124864381
1.0501070241,172.8131881738
1.0501080742,172.8144185434
1.0501091244,172.8156890074
1.0501101745,172.8163857279
1.0501112246,172.8162298748
1.0501122747,172.8155705782
1.0501133248,172.8150910922
1.0501143749,172.8151871831
1.0501154250,172.8156443957
1.0501164751,172.8159248221
1.0501175253,172.8157151047
1.0501185754,172.8151720947
1.0501196255,172.8146829744
1.0501206756,172.8145196020
1.0501217257,172.8147868497
1.0501227759,172.8156062589
1.0501238260,172.8171787127
1.0501248761,172.8196188791
1.0501259262,172.8228252684
1.0501269764,172.8265680752
1.0501280265,172.8305223047
1.0501290766,172.8339978728
1.0501301267,172.8358045105
1.0501311769,172.8348930690
1.0501322270,172.8313660560
1.0501332771,172.8266979598
1.0501343273,172.8228481269
1.0501353774,172.8212422830
1.0501364275,172.8224238216
1.0501374777,172.8261307407
1.0501385278,172.8312802260
1.0501395780,172.8360542624
1.0501406281,172.8386063757
1.0501416782,172.8381966097
1.0501427284,172.8358108101
1.0501437785,172.8336326038
1.0501448287,172.8338030184
1.0501458788,172.8373913544
1.0501469290,172.8440970149
1.0501479791,172.8524980390
1.0501490293,172.8605089298
1.0501500794,172.8661404835
1.0501511296,172.8687446870
1.0501521797,172.8698814736
1.0501532299,172.8722765153
1.0501542800,172.8770756931
1.0501553302,172.8822066948
1.0501563803,172.8840635246
1.0501574305,172.8807500001
1.0501584806,172.8732425303
1.0501595308,172.8637333714
1.0501605810,172.8538356167
1.0501616311,172.8444247078
1.0501626813,172.8362370223
1.0501637314,172.8299039247
1.0501647816,172.8256178130
1.0501658318,172.8230816063
1.0501668819,172.8217816902
1.0501679321,172.8212427171
1.0501689823,172.8211205988
1.0501700324,172.8211959467
1.0501710826,172.8213584899
1.0501721328,172.8216099938
1.0501731830,172.8220779350
1.0501742331,172.8230287220
1.0501752833,172.8248481222
1.0501763335,172.8279113132
1.0501773837,172.8323118643
1.0501784338,172.8376346124
1.0501794840,172.8430823316
1.0501805342,172.8479409744
1.0501815844,172.8519124538
1.0501826346,172.8549288197
1.0501836847,172.8568088154
1.0501847349,172.8572429607
1.0501857851,172.8560792275
1.0501868353,172.8534420233
1.0501878855,172.8496678244
1.0501889357,172.8452894204
1.0501899859,172.8411049814
1.0501910361,172.8380625617
1.0501920863,172.8368840235
1.0501931364,172.8376773629
1.0501941866,172.8398668458
1.0501952368,172.8424634417
1.0501962870,172.8444511149
1.0501973372,172.8451149418
1.0501983874,172.8442505893
1.0501994376,172.8421921751
1.0502004878,172.8396762313
1.0502015380,172.8375976418
1.0502025882,172.8367564046
1.0502036384,172.8374968173
1.0502046886,172.8394679550
1.0502057388,172.8417801050
1.0502067890,172.8435343856
1.0502078393,172.8443736208
1.0502088895,172.8446978255
1.0502099397,172.8453667794
1.0502109899,172.8470179803
1.0502120401,172.8495017087
1.0502130903,172.8520544096
1.0502141405,172.8541032273
1.0502151907,172.8558086202
1.0502162409,172.8576465874
1.0502172912,172.8594705757
1.0502183414,172.8601410309
1.0502193916,172.8583173707
1.0502204418,172.8537373064
1.0502214920,172.8476998760
1.0502225423,172.8422581721
1.0502235925,172.8389865805
1.0502246427,172.8383373742
