wl_micron,value
1.8499989781,645.6502841396
1.8500008281,645.7635759141
1.8500026781,645.7318905545
1.8500045281,645.5468292973
1.8500063781,645.3136940088
1.8500082281,645.1244260039
1.8500100781,644.9885145591
1.8500119281,644.8806407525
1.8500137781,644.8183621533
1.8500156281,644.8627749860
1.8500174782,645.0414601795
1.8500193282,645.2816634805
1.8500211782,645.4331429814
1.8500230282,645.3718253873
1.8500248783,645.0948411556
1.8500267283,644.7264801680
1.8500285783,644.4434651974
1.8500304283,644.3924210228
1.8500322784,644.6478826352
1.8500341284,645.1968427171
1.8500359784,645.9241621168
1.8500378285,646.6234772374
1.8500396785,647.0871794926
1.8500415285,647.2459593969
1.8500433786,647.2132465322
1.8500452286,647.1441564247
1.8500470787,647.0507738484
1.8500489287,646.8023447228
1.8500507788,646.3133141903
1.8500526288,645.6843566992
1.8500544789,645.1413436984
1.8500563289,644.8585152565
1.8500581790,644.8402902538
1.8500600291,644.9397840060
1.8500618791,644.9806722738
1.8500637292,644.8896561149
1.8500655792,644.7448198269
1.8500674293,644.7098766347
1.8500692794,644.9194645179
1.8500711295,645.4011069363
1.8500729795,646.0632741324
1.8500748296,646.7309807691
1.8500766797,647.2157441115
1.8500785298,647.3918165536
1.8500803798,647.2322952793
1.8500822299,646.7892050218
1.8500840800,646.1635927815
1.8500859301,645.4900665803
1.8500877802,644.9091273553
1.8500896303,644.5205908379
1.8500914803,644.3644625346
1.8500933304,644.4545162800
1.8500951805,644.8170766194
1.8500970306,645.4664019209
1.8500988807,646.3174738811
1.8501007308,647.1405357605
1.8501025809,647.6666293460
1.8501044310,647.7808159896
1.8501062811,647.6036166783
1.8501081312,647.3577091149
1.8501099814,647.1648553283
1.8501118315,646.9743781375
1.8501136816,646.6630490976
1.8501155317,646.1714649612
1.8501173818,645.5552769108
1.8501192319,644.9397851161
1.8501210820,644.4444811162
1.8501229322,644.1378407362
1.8501247823,644.0413843793
1.8501266324,644.1591274289
1.8501284825,644.4908983399
1.8501303327,645.0093241315
1.8501321828,645.6280718838
1.8501340329,646.2038262220
1.8501358831,646.5790723376
1.8501377332,646.6413242758
1.8501395833,646.3706536025
1.8501414335,645.8533437394
1.8501432836,645.2433635905
1.8501451338,644.6908287712
1.8501469839,644.2874541431
1.8501488341,644.0593264916
1.8501506842,643.9889911383
1.8501525344,644.0382554647
1.8501543845,644.1605748413
1.8501562347,644.3043563989
1.8501580848,644.4154438954
1.8501599350,644.4503161638
1.8501617852,644.3960223458
1.8501636353,644.2766214106
1.8501654855,644.1373096093
1.8501673357,644.0214436072
1.8501691858,643.9557218465
1.8501710360,643.9498798081
1.8501728862,644.0114940139
1.8501747363,644.1663035790
1.8501765865,644.4626078101
1.8501784367,644.9506154865
1.8501802869,645.6540384150
1.8501821370,646.5473454753
1.8501839872,647.5228512414
1.8501858374,648.3537664411
1.8501876876,648.7351440164
1.8501895378,648.4585146789
1.8501913880,647.5967433693
1.8501932382,646.4907083731
1.8501950884,645.5194169771
1.8501969386,644.8730768722
1.8501987888,644.5210073621
1.8502006390,644.3452826914
1.8502024892,644.2785422908
1.8502043394,644.3346189670
1.8502061896,644.5370953417
1.8502080398,644.8300056199
1.8502098900,645.0674151876
1.8502117402,645.1106718935
1.8502135904,644.9489329225
1.8502154406,644.7218891367
1.8502172908,644.6191738773
1.8502191411,644.7491095211
1.8502209913,645.0763561610
1.8502228415,645.4648448809
1.8502246917,645.7976088672
1.8502265420,646.0731189825
1.8502283922,646.3669964017
1.8502302424,646.6805950453
1.8502320926,646.8667826242
1.8502339429,646.7475409440
1.8502357931,646.2933495019
1.8502376433,645.6550298881
1.8502394936,645.0413308847
1.8502413438,644.5972045860
1.8502431941,644.3743417258
1.8502450443,644.3578219631
1.8502468946,644.5011832158
1.8502487448,644.7618049166
1.8502505951,645.1195510728
1.8502524453,645.5529061779
1.8502542956,645.9940086618
1.8502561458,646.3293522125
1.8502579961,646.4640473893
1.8502598463,646.3920859936
1.8502616966,646.2131979232
1.8502635469,646.0899682144
1.8502653971,646.1612569909
1.8502672474,646.4474871767
1.8502690977,646.8221607785
1.8502709479,647.0921854124
1.8502727982,647.1251857406
1.8502746485,646.9110698094
1.8502764987,646.5261966376
1.8502783490,646.0619395004
1.8502801993,645.5912626885
1.8502820496,645.1781867494
1.8502838999,644.8871557348
1.8502857501,644.7603900582
1.8502876004,644.7836662194
1.8502894507,644.8801108850
1.8502913010,644.9463848928
1.8502931513,644.9082302426
1.8502950016,644.7579369715
1.8502968519,644.5542136443
1.8502987022,644.3912781811
1.8503005525,644.3626970715
1.8503024028,644.5369479622
1.8503042531,644.9431850428
1.8503061034,645.5554618408
1.8503079537,646.2723898141
1.8503098040,646.9128304012
1.8503116543,647.2626920830
1.8503135046,647.1835083603
1.8503153550,646.7117990131
1.8503172053,646.0514465144
1.8503190556,645.4466692432
1.8503209059,645.0479782181
1.8503227562,644.8739183456
1.8503246066,644.8669820179
1.8503264569,644.9676066102
1.8503283072,645.1455765597
1.8503301575,645.3759629191
1.8503320079,645.5977272107
1.8503338582,645.7158434347
1.8503357085,645.6682794367
1.8503375589,645.4990108131
1.8503394092,645.3578728083
1.8503412596,645.4149302474
1.8503431099,645.7524482378
1.8503449602,646.3066148409
1.8503468106,646.8980151469
1.8503486609,647.3311690036
1.8503505113,647.4863954982
1.8503523616,647.3337180493
1.8503542120,646.9008252509
1.8503560623,646.2695891661
1.8503579127,645.6004640255
1.8503597631,645.1100419886
1.8503616134,644.9897348273
1.8503634638,645.3115261394
1.8503653141,645.9618897564
