wl_micron,value
1.4499993189,327.5353433993
1.4500007689,327.5367883154
1.4500022189,327.5382332197
1.4500036689,327.5396781122
1.4500051189,327.5411229929
1.4500065689,327.5425678618
1.4500080189,327.5440127188
1.4500094689,327.5454575641
1.4500109189,327.5469023975
1.4500123690,327.5483472192
1.4500138190,327.5497920290
1.4500152690,327.5512368271
1.4500167190,327.5526816133
1.4500181690,327.5541263878
1.4500196190,327.5555711504
1.4500210691,327.5570159013
1.4500225191,327.5584606403
1.4500239691,327.5599053675
1.4500254191,327.5613500830
1.4500268692,327.5627947866
1.4500283192,327.5642394784
1.4500297692,327.5656841584
1.4500312192,327.5671288266
1.4500326693,327.5685734831
1.4500341193,327.5700181277
1.4500355693,327.5714627605
1.4500370194,327.5729073815
1.4500384694,327.5743519907
1.4500399195,327.5757965882
1.4500413695,327.5772411738
1.4500428195,327.5786857476
1.4500442696,327.5801303096
1.4500457196,327.5815748598
1.4500471697,327.5830193983
1.4500486197,327.5844639249
1.4500500698,327.5859084397
1.4500515198,327.5873529427
1.4500529699,327.5887974339
1.4500544199,327.5902419134
1.4500558700,327.5916863810
1.4500573200,327.5931308368
1.4500587701,327.5945752809
1.4500602202,327.5960197131
1.4500616702,327.5974641335
1.4500631203,327.5989085422
1.4500645703,327.6003529390
1.4500660204,327.6017973241
1.4500674705,327.6032416973
1.4500689205,327.6046860588
1.4500703706,327.6061304084
1.4500718207,327.6075747463
1.4500732708,327.6090190724
1.4500747208,327.6104633866
1.4500761709,327.6119076891
1.4500776210,327.6133519798
1.4500790711,327.6147962587
1.4500805211,327.6162405258
1.4500819712,327.6176847810
1.4500834213,327.6191290245
1.4500848714,327.6205732563
1.4500863215,327.6220174762
1.4500877716,327.6234616843
1.4500892217,327.6249058806
1.4500906717,327.6263500651
1.4500921218,327.6277942379
1.4500935719,327.6292383988
1.4500950220,327.6306825480
1.4500964721,327.6321266853
1.4500979222,327.6335708109
1.4500993723,327.6350149246
1.4501008224,327.6364590266
1.4501022725,327.6379031168
1.4501037226,327.6393471952
1.4501051727,327.6407912618
1.4501066228,327.6422353166
1.4501080729,327.6436793596
1.4501095230,327.6451233909
1.4501109732,327.6465674103
1.4501124233,327.6480114180
1.4501138734,327.6494554138
1.4501153235,327.6508993979
1.4501167736,327.6523415766
1.4501182237,327.6537821342
1.4501196738,327.6552226802
1.4501211240,327.6566632143
1.4501225741,327.6581037368
1.4501240242,327.6595442475
1.4501254743,327.6609847465
1.4501269245,327.6624252338
1.4501283746,327.6638657093
1.4501298247,327.6653061731
1.4501312748,327.6667466252
1.4501327250,327.6681870655
1.4501341751,327.6696274942
1.4501356252,327.6710679111
1.4501370754,327.6725083162
1.4501385255,327.6739487097
1.4501399757,327.6753890914
1.4501414258,327.6768294613
1.4501428759,327.6782698196
1.4501443261,327.6797101661
1.4501457762,327.6811505009
1.4501472264,327.6825908240
1.4501486765,327.6840311353
1.4501501267,327.6854714350
1.4501515768,327.6869117229
1.4501530270,327.6883519990
1.4501544771,327.6897922635
1.4501559273,327.6912325162
1.4501573774,327.6926727572
1.4501588276,327.6941129865
1.4501602778,327.6955532040
1.4501617279,327.6969934098
1.4501631781,327.6984336039
1.4501646283,327.6998737863
1.4501660784,327.7013139569
1.4501675286,327.7027541159
1.4501689788,327.7041942631
1.4501704289,327.7056343985
1.4501718791,327.7070745223
1.4501733293,327.7085146343
1.4501747794,327.7099547346
1.4501762296,327.7113948232
1.4501776798,327.7128349001
1.4501791300,327.7142749652
1.4501805801,327.7157150186
1.4501820303,327.7171550603
1.4501834805,327.7185950903
1.4501849307,327.7200351085
1.4501863809,327.7214751151
1.4501878311,327.7229151099
1.4501892813,327.7243550929
1.4501907314,327.7257950643
1.4501921816,327.7272350240
1.4501936318,327.7286749719
1.4501950820,327.7301149081
1.4501965322,327.7315548326
1.4501979824,327.7329947453
1.4501994326,327.7344346464
1.4502008828,327.7358745357
1.4502023330,327.7373144133
1.4502037832,327.7387542792
1.4502052334,327.7401941334
1.4502066836,327.7416339758
1.4502081338,327.7430738066
1.4502095841,327.7445136256
1.4502110343,327.7459534329
1.4502124845,327.7473932284
1.4502139347,327.7488330123
1.4502153849,327.7502727844
1.4502168351,327.7517125449
1.4502182853,327.7531522936
1.4502197356,327.7545920306
1.4502211858,327.7560317558
1.4502226360,327.7574714694
1.4502240862,327.7589111712
1.4502255364,327.7603508614
1.4502269867,327.7617905398
1.4502284369,327.7632302065
1.4502298871,327.7646698615
1.4502313374,327.7661095047
1.4502327876,327.7675491363
1.4502342378,327.7689887561
1.4502356881,327.7704283642
1.4502371383,327.7718679606
1.4502385885,327.7733075453
1.4502400388,327.7747471183
1.4502414890,327.7761866795
1.4502429393,327.7776262291
1.4502443895,327.7790657669
1.4502458397,327.7805052930
1.4502472900,327.7819448075
1.4502487402,327.7833843101
1.4502501905,327.7848238011
1.4502516407,327.7862632804
1.4502530910,327.7877027480
1.4502545412,327.7891422038
1.4502559915,327.7905816479
1.4502574418,327.7920210804
1.4502588920,327.7934605011
1.4502603423,327.7948999101
1.4502617925,327.7963393073
1.4502632428,327.7977786929
1.4502646931,327.7992180668
1.4502661433,327.8006574289
1.4502675936,327.8020967794
1.4502690439,327.8035361181
1.4502704941,327.8049754451
1.4502719444,327.8064147605
1.4502733947,327.8078540641
1.4502748450,327.8092933560
1.4502762952,327.8107326361
1.4502777455,327.8121719046
1.4502791958,327.8136111614
1.4502806461,327.8150504064
1.4502820963,327.8164896398
1.4502835466,327.8179288614
1.4502849969,327.8193680714
1.4502864472,327.8208072696
1.4502878975,327.8222464561
1.4502893478,327.8236856309
1.4502907981,327.8251247940
1.4502922484,327.8265639454
1.4502936986,327.8280030851
1.4502951489,327.8294422131
1.4502965992,327.8308813294
1.4502980495,327.8323204339
1.4502994998,327.8337595268
1.4503009501,327.8351986079
1.4503024004,327.8366376774
1.4503038507,327.8380767351
1.4503053010,327.8395157812
1.4503067513,327.8409548155
1.4503082017,327.8423938381
1.4503096520,327.8438328491
1.4503111023,327.8452718483
1.4503125526,327.8467108358
1.4503140029,327.8481498116
1.4503154532,327.8495887757
1.4503169035,327.8510277281
1.4503183538,327.8524666688
1.4503198042,327.8539055978
1.4503212545,327.8553445151
1.4503227048,327.8567834207
1.4503241551,327.8582223146
1.4503256055,327.8596611968
1.4503270558,327.8611000673
1.4503285061,327.8625389260
1.4503299564,327.8639777731
1.4503314068,327.8654166085
1.4503328571,327.8668554322
1.4503343074,327.8682942442
1.4503357578,327.8697330444
1.4503372081,327.8711718330
1.4503386584,327.8726106099
1.4503401088,327.8740493750
1.4503415591,327.8754881285
1.4503430095,327.8769268703
1.4503444598,327.8783656003
1.4503459102,327.8798043187
1.4503473605,327.8812430254
1.4503488109,327.8826817203
1.4503502612,327.8841204036
1.4503517116,327.8855590752
1.4503531619,327.8869977350
1.4503546123,327.8884363832
1.4503560626,327.8898750197
1.4503575130,327.8913136445
1.4503589633,327.8927522575
1.4503604137,327.8941908589
1.4503618641,327.8956294486
1.4503633144,327.8970680266
1.4503647648,327.8985065929
1.4503662151,327.8999451475
1.4503676655,327.9013836904
1.4503691159,327.9028222215
1.4503705662,327.9042607410
1.4503720166,327.9056992488
1.4503734670,327.9071377449
1.4503749174,327.9085762294
1.4503763677,327.9100147021
1.4503778181,327.9114531631
1.4503792685,327.9128916124
1.4503807189,327.9143300500
1.4503821693,327.9157684760
1.4503836196,327.9172068902
1.4503850700,327.9186452927
1.4503865204,327.9200836836
1.4503879708,327.9215220628
1.4503894212,327.9229604302
1.4503908716,327.9243987860
1.4503923220,327.9258371300
1.4503937724,327.9272754624
