wl_micron,value
1.0499999187,172.7874156351
1.0500009687,172.7876120773
1.0500020187,172.7878085205
1.0500030687,172.7880049647
1.0500041187,172.7882014101
1.0500051687,172.7883978565
1.0500062187,172.7885943039
1.0500072687,172.7887907524
1.0500083187,172.7889872019
1.0500093687,172.7891836525
1.0500104187,172.7893801042
1.0500114687,172.7895765569
1.0500125188,172.7897730106
1.0500135688,172.7899694654
1.0500146188,172.7901659213
1.0500156688,172.7903623782
1.0500167188,172.7905588362
1.0500177688,172.7907552952
1.0500188189,172.7909517553
1.0500198689,172.7911482164
1.0500209189,172.7913446786
1.0500219689,172.7915411419
1.0500230189,172.7917376062
1.0500240690,172.7919340715
1.0500251190,172.7921305379
1.0500261690,172.7923270054
1.0500272190,172.7925234739
1.0500282691,172.7927199435
1.0500293191,172.7929164141
1.0500303691,172.7931128858
1.0500314192,172.7933093585
1.0500324692,172.7935058323
1.0500335192,172.7937023071
1.0500345693,172.7938987830
1.0500356193,172.7940952600
1.0500366693,172.7942917380
1.0500377194,172.7944882170
1.0500387694,172.7946846971
1.0500398194,172.7948811783
1.0500408695,172.7950776605
1.0500419195,172.7952741438
1.0500429696,172.7954706281
1.0500440196,172.7956671135
1.0500450697,172.7958635999
1.0500461197,172.7960600874
1.0500471697,172.7962565760
1.0500482198,172.7964530655
1.0500492698,172.7966495562
1.0500503199,172.7968460479
1.0500513699,172.7970425406
1.0500524200,172.7972390345
1.0500534700,172.7974355293
1.0500545201,172.7976320252
1.0500555702,172.7978285222
1.0500566202,172.7980250202
1.0500576703,172.7982215193
1.0500587203,172.7984180194
1.0500597704,172.7986145206
1.0500608204,172.7988110229
1.0500618705,172.7990075262
1.0500629206,172.7992040305
1.0500639706,172.7994005359
1.0500650207,172.7995970424
1.0500660708,172.7997935499
1.0500671208,172.7999900584
1.0500681709,172.8001865680
1.0500692210,172.8003830787
1.0500702710,172.8005795904
1.0500713211,172.8007761032
1.0500723712,172.8009726170
1.0500734212,172.8011691319
1.0500744713,172.8013656478
1.0500755214,172.8015621648
1.0500765715,172.8017586829
1.0500776216,172.8019552020
1.0500786716,172.8021517221
1.0500797217,172.8023482433
1.0500807718,172.8025447656
1.0500818219,172.8027412889
1.0500828720,172.8029378133
1.0500839220,172.8031343387
1.0500849721,172.8033308652
1.0500860222,172.8035273927
1.0500870723,172.8037239213
1.0500881224,172.8039204509
1.0500891725,172.8041169816
1.0500902226,172.8043135133
1.0500912726,172.8045100461
1.0500923227,172.8047065799
1.0500933728,172.8049031148
1.0500944229,172.8050996508
1.0500954730,172.8052961878
1.0500965231,172.8054927259
1.0500975732,172.8056892650
1.0500986233,172.8058858051
1.0500996734,172.8060823464
1.0501007235,172.8062788886
1.0501017736,172.8064754320
