wl_micron,value
1.8499989781,643.4086768001
1.8500008281,643.4096317741
1.8500026781,643.4105881874
1.8500045281,643.4115460876
1.8500063781,643.4125055235
1.8500082281,643.4134665461
1.8500100781,643.4144292089
1.8500119281,643.4153935676
1.8500137781,643.4163596823
1.8500156281,643.4173276152
1.8500174782,643.4182974310
1.8500193282,643.4192691985
1.8500211782,643.4202429911
1.8500230282,643.4212188860
1.8500248783,643.4221969644
1.8500267283,643.4231773121
1.8500285783,643.4241600227
1.8500304283,643.4251451918
1.8500322784,643.4261329271
1.8500341284,643.4271233378
1.8500359784,643.4281165443
1.8500378285,643.4291126765
1.8500396785,643.4301118739
1.8500415285,643.4311142895
1.8500433786,643.4321200895
1.8500452286,643.4331294550
1.8500470787,643.4341425862
1.8500489287,643.4351597090
1.8500507788,643.4361810711
1.8500526288,643.4372069589
1.8500544789,643.4382376933
1.8500563289,643.4392736507
1.8500581790,643.4403152697
1.8500600291,643.4413630727
1.8500618791,643.4424176917
1.8500637292,643.4434799094
1.8500655792,643.4445507197
1.8500674293,643.4456314353
1.8500692794,643.4467239007
1.8500711295,643.4478310318
1.8500729795,643.4489584502
1.8500748296,643.4501194604
1.8500766797,643.4513498158
1.8500785298,643.4527468233
1.8500803798,643.4545598427
1.8500822299,643.4573683315
1.8500840800,643.4623627622
1.8500859301,643.4716586849
1.8500877802,643.4884087854
1.8500896303,643.5163159651
1.8500914803,643.5582028880
1.8500933304,643.6137733467
1.8500951805,643.6775984426
1.8500970306,643.7387329440
1.8500988807,643.7834751982
1.8501007308,643.8002866853
1.8501025809,643.7847319529
1.8501044310,643.7415679538
1.8501062811,643.6825081446
1.8501081312,643.6212333807
1.8501099814,643.5685199187
1.8501118315,643.5295890341
1.8501136816,643.5045844871
1.8501155317,643.4906174661
1.8501173818,643.4839881264
1.8501192319,643.4815798988
1.8501210820,643.4813171665
1.8501229322,643.4820396791
1.8501247823,643.4831872295
1.8501266324,643.4845201794
1.8501284825,643.4859477543
1.8501303327,643.4874387267
1.8501321828,643.4889837031
1.8501340329,643.4905810556
1.8501358831,643.4922321830
1.8501377332,643.4939400672
1.8501395833,643.4957088038
1.8501414335,643.4975436034
1.8501432836,643.4994505758
1.8501451338,643.5014371889
1.8501469839,643.5035122359
1.8501488341,643.5056861321
1.8501506842,643.5079713087
1.8501525344,643.5103826160
1.8501543845,643.5129379534
1.8501562347,643.5156594054
1.8501580848,643.5185736134
1.8501599350,643.5217140558
1.8501617852,643.5251232965
1.8501636353,643.5288561515
1.8501654855,643.5329854564
1.8501673357,643.5376116936
1.8501691858,643.5428853981
1.8501710360,643.5490670787
1.8501728862,643.5567107231
1.8501747363,643.5672255556
1.8501765865,643.5844672676
1.8501784367,643.6187587830
1.8501802869,643.6956519790
1.8501821370,643.8718451538
1.8501839872,644.2576252425
1.8501858374,645.0363924431
1.8501876876,646.4583377889
1.8501895378,648.7775428387
1.8501913880,652.1182901085
1.8501932382,656.3105732179
1.8501950884,660.7884751071
1.8501969386,664.6657328430
1.8501987888,667.0119359325
1.8502006390,667.2042187040
1.8502024892,665.1918512157
1.8502043394,661.5189806318
1.8502061896,657.0905118326
1.8502080398,652.8226154727
1.8502098900,649.3443512069
1.8502117402,646.8864473431
1.8502135904,645.3620643118
1.8502154406,644.5284357088
1.8502172908,644.1304593557
1.8502191411,643.9759546330
1.8502209913,643.9521214404
1.8502228415,644.0173261649
1.8502246917,644.2024080754
1.8502265420,644.6504209465
1.8502283922,645.7201219500
1.8502302424,648.1621477143
1.8502320926,653.3143918854
1.8502339429,663.1344932478
1.8502357931,679.7628041582
1.8502376433,704.4231153865
1.8502394936,736.0349976041
1.8502413438,770.5923030671
1.8502431941,801.9937264549
1.8502450443,824.0692306468
1.8502468946,832.3871680020
1.8502487448,825.2765594442
1.8502505951,804.1658829073
1.8502524453,773.2946377275
1.8502542956,738.7503347835
1.8502561458,706.7207447480
1.8502579961,681.4290653555
