wl_micron,value
1.4499993189,2229.5667085555
1.4500007689,2280.5832653878
1.4500022189,2315.0034400585
1.4500036689,2333.2965623112
1.4500051189,2338.5725103847
1.4500065689,2336.7777001730
1.4500080189,2335.7450670241
1.4500094689,2342.2187217921
1.4500109189,2357.9450764407
1.4500123690,2378.2874486183
1.4500138190,2395.0281345778
1.4500152690,2400.1832876855
1.4500167190,2388.0057205888
1.4500181690,2355.3107744156
1.4500196190,2301.1076420866
1.4500210691,2226.3458394203
1.4500225191,2134.3335774800
1.4500239691,2031.9421433172
1.4500254191,1931.4893804516
1.4500268692,1851.1176838362
1.4500283192,1808.0369519226
1.4500297692,1805.7844220584
1.4500312192,1831.9165539198
1.4500326693,1870.2004760987
1.4500341193,1910.2728159906
1.4500355693,1948.5629094628
1.4500370194,1985.6255198067
1.4500384694,2023.1731538626
1.4500399195,2061.8064981291
1.4500413695,2100.1219342909
1.4500428195,2135.3939766495
1.4500442696,2164.8506680159
1.4500457196,2186.9505815060
1.4500471697,2202.2260565924
1.4500486197,2213.7997092472
1.4500500698,2227.5926054434
1.4500515198,2251.3370430871
1.4500529699,2291.4045340053
1.4500544199,2348.7092369487
1.4500558700,2417.4487758254
1.4500573200,2488.1655924680
1.4500587701,2551.7105072469
1.4500602202,2601.2082512479
1.4500616702,2632.2014223915
1.4500631203,2642.0802995150
1.4500645703,2629.5383951936
1.4500660204,2594.2654205826
1.4500674705,2536.7977753526
1.4500689205,2458.5308412287
1.4500703706,2361.9029108928
1.4500718207,2250.5603765726
1.4500732708,2129.5590636768
1.4500747208,2005.2194854494
1.4500761709,1884.5118005321
1.4500776210,1773.8791637301
1.4500790711,1678.2070268724
1.4500805211,1600.5737219844
1.4500819712,1542.6279787817
1.4500834213,1504.6034212224
1.4500848714,1484.9206688855
1.4500863215,1480.1500886883
1.4500877716,1485.7661933997
1.4500892217,1497.1937880548
1.4500906717,1510.5278610890
1.4500921218,1522.8029404879
1.4500935719,1532.0754506320
1.4500950220,1537.4782004721
1.4500964721,1539.2466593270
1.4500979222,1538.6082047413
1.4500993723,1537.3805952440
1.4501008224,1537.1904352105
1.4501022725,1538.6112253199
1.4501037226,1540.6999395102
1.4501051727,1541.3249223212
1.4501066228,1538.0697287318
1.4501080729,1529.1920283889
1.4501095230,1514.2908131928
1.4501109732,1494.5604090171
1.4501124233,1472.7790441603
1.4501138734,1453.1935748582
1.4501153235,1441.2999459195
1.4501167736,1443.3989211268
1.4501182237,1465.4885913269
1.4501196738,1511.2477723195
1.4501211240,1580.1423338826
1.4501225741,1667.4904807536
1.4501240242,1766.7185599384
1.4501254743,1871.8398858631
1.4501269245,1978.3765011886
1.4501283746,2082.9857260314
1.4501298247,2182.6007072168
1.4501312748,2273.8658772075
1.4501327250,2353.1652878432
1.4501341751,2416.9393058456
1.4501356252,2462.1440508525
1.4501370754,2486.6147728665
1.4501385255,2489.1913745124
1.4501399757,2469.9099708219
1.4501414258,2430.2011969035
1.4501428759,2373.0319844451
1.4501443261,2303.0106176567
1.4501457762,2226.2050164295
1.4501472264,2148.9846740112
1.4501486765,2076.6735705727
1.4501501267,2012.6742621763
1.4501515768,1959.2983124509
1.4501530270,1919.4519575750
1.4501544771,1896.7994979079
1.4501559273,1893.0432982044
1.4501573774,1904.8449573824
1.4501588276,1924.2445300161
1.4501602778,1942.2214985897
1.4501617279,1951.7038291407
1.4501631781,1948.5532357511
1.4501646283,1931.2985949912
1.4501660784,1900.5456977868
1.4501675286,1858.5423244294
1.4501689788,1808.9386259990
1.4501704289,1756.5635259772
1.4501718791,1707.2944623449
1.4501733293,1668.0732270196
1.4501747794,1646.7142424396
1.4501762296,1650.7875778552
1.4501776798,1684.6946769986
1.4501791300,1746.3579479211
1.4501805801,1827.0477192150
1.4501820303,1914.9871967580
1.4501834805,1999.2982587058
1.4501849307,2071.8089561130
1.4501863809,2126.9417862486
1.4501878311,2161.2273622186
1.4501892813,2172.6903874677
1.4501907314,2160.5510707813
1.4501921816,2125.2659792032
1.4501936318,2068.8881942335
1.4501950820,1995.9943166347
1.4501965322,1915.3587356280
1.4501979824,1841.0786889799
1.4501994326,1789.7116558487
1.4502008828,1770.6426502699
1.4502023330,1778.4828852461
1.4502037832,1798.5171708245
1.4502052334,1817.0791240900
1.4502066836,1825.8931633480
1.4502081338,1821.4406637667
1.4502095841,1803.5402956982
1.4502110343,1774.8232609526
1.4502124845,1741.0478069592
1.4502139347,1711.5040544637
1.4502153849,1697.8351591511
1.4502168351,1709.1441141887
1.4502182853,1745.8153780461
1.4502197356,1798.9809999922
1.4502211858,1856.3387300105
