wl_micron,value
1.0499999187,962.0278781845
1.0500009687,959.0941315634
1.0500020187,956.0942750053
1.0500030687,952.5759312693
1.0500041187,947.4468101600
1.0500051687,939.7553044782
1.0500062187,929.2162599509
1.0500072687,916.2127467197
1.0500083187,901.4194188687
1.0500093687,885.3293286573
1.0500104187,867.9644777859
1.0500114687,849.0369050714
1.0500125188,828.3580048723
1.0500135688,806.2788974070
1.0500146188,783.9520290686
1.0500156688,763.2732986670
1.0500167188,746.5699175443
1.0500177688,736.1325281249
1.0500188189,733.6666442913
1.0500198689,739.8398935067
1.0500209189,754.0225306830
1.0500219689,774.3281139177
1.0500230189,798.0305920026
1.0500240690,822.1780669672
1.0500251190,844.2290590065
1.0500261690,862.4540459844
1.0500272190,876.0708821005
1.0500282691,885.1771077020
1.0500293191,890.5367663937
1.0500303691,893.2926284707
1.0500314192,894.7196459263
1.0500324692,896.0431541600
1.0500335192,898.2760681525
1.0500345693,902.0327430463
1.0500356193,907.2755583193
1.0500366693,913.0768602916
1.0500377194,917.5821377591
1.0500387694,918.3705986925
1.0500398194,913.0381264326
1.0500408695,899.8094674204
1.0500419195,878.0779603803
1.0500429696,848.7674595551
1.0500440196,814.4580571905
1.0500450697,779.1357700500
1.0500461197,747.2877181763
1.0500471697,722.4411105021
1.0500482198,705.9379681711
1.0500492698,696.8508939687
1.0500503199,693.0615283987
1.0500513699,692.5597063497
1.0500524200,694.1037290073
1.0500534700,697.1105519945
1.0500545201,701.1558239822
1.0500555702,705.5436277909
1.0500566202,709.2544105839
1.0500576703,711.2750834614
1.0500587203,711.1049817809
1.0500597704,709.1801039633
1.0500608204,707.0670088812
1.0500618705,707.3162860011
1.0500629206,712.9062176291
1.0500639706,726.3089240530
1.0500650207,748.4918032950
1.0500660708,778.3319319404
1.0500671208,812.8304010280
1.0500681709,848.0024275160
1.0500692210,879.9313958848
1.0500702710,905.6515398956
1.0500713211,923.6611198647
1.0500723712,934.1293445074
1.0500734212,938.8612846785
1.0500744713,940.8109520845
1.0500755214,943.0275714467
1.0500765715,947.3642742353
1.0500776216,953.6327989242
1.0500786716,959.8725228490
1.0500797217,963.5472248142
1.0500807718,962.7796220750
1.0500818219,957.0370399518
1.0500828720,947.1410225425
1.0500839220,934.7380269826
