wl_micron,value
1.8499989781,2003.7622948088
1.8500008281,2087.9947529438
1.8500026781,2173.8861785156
1.8500045281,2252.7396162109
1.8500063781,2318.3521385358
1.8500082281,2366.8919411644
1.8500100781,2396.3298003300
1.8500119281,2405.9319881658
1.8500137781,2396.0472064011
1.8500156281,2368.0520545649
1.8500174782,2324.4023923452
1.8500193282,2268.9297141000
1.8500211782,2207.5115600775
1.8500230282,2148.8477752510
1.8500248783,2104.6946901578
1.8500267283,2087.0276021342
1.8500285783,2101.4157576452
1.8500304283,2142.4706034362
1.8500322784,2197.4281239046
1.8500341284,2253.3730022533
1.8500359784,2301.0459009218
1.8500378285,2335.0488989047
1.8500396785,2352.8149383427
1.8500415285,2353.7606253604
1.8500433786,2338.7455243469
1.8500452286,2309.7270728137
1.8500470787,2269.4787398745
1.8500489287,2221.3202523241
1.8500507788,2168.6607509234
1.8500526288,2114.4888112818
1.8500544789,2060.7993459515
1.8500563289,2008.3849443134
1.8500581790,1957.2664134258
1.8500600291,1908.3351334458
1.8500618791,1866.6260563976
1.8500637292,1845.6963075266
1.8500655792,1867.7810469605
1.8500674293,1948.9386950519
1.8500692794,2079.8357054156
1.8500711295,2233.7293307917
1.8500729795,2387.3516613567
1.8500748296,2527.1410350771
1.8500766797,2646.1552773518
1.8500785298,2740.7323560882
1.8500803798,2808.8172648094
1.8500822299,2849.2872843519
1.8500840800,2861.5539856637
1.8500859301,2845.5005111324
1.8500877802,2801.5386134988
1.8500896303,2730.6835709836
1.8500914803,2634.8927119933
1.8500933304,2518.0186033818
1.8500951805,2387.4394472840
1.8500970306,2256.9612419238
1.8500988807,2148.1368192553
1.8501007308,2082.1985876707
1.8501025809,2063.1676362125
1.8501044310,2075.9623749448
1.8501062811,2103.4172784202
1.8501081312,2137.0445946247
1.8501099814,2175.7567543850
1.8501118315,2220.5054258319
1.8501136816,2269.9148453822
1.8501155317,2319.1416426194
1.8501173818,2361.5033999988
1.8501192319,2390.7731342507
1.8501210820,2402.3813250993
1.8501229322,2393.6405800334
1.8501247823,2363.6614965835
1.8501266324,2313.3649912061
1.8501284825,2245.9656931933
1.8501303327,2168.2421444128
1.8501321828,2092.1155719776
1.8501340329,2033.9857292967
1.8501358831,2007.6226863902
1.8501377332,2013.5194369916
1.8501395833,2038.6918850442
1.8501414335,2067.3087732742
1.8501432836,2088.3054596207
1.8501451338,2096.3543643089
1.8501469839,2090.5132281263
1.8501488341,2073.3200020513
1.8501506842,2050.6858377084
1.8501525344,2031.8122694034
1.8501543845,2027.6604128505
1.8501562347,2046.8358502876
1.8501580848,2090.6838208122
1.8501599350,2152.6194525421
1.8501617852,2222.2195347095
1.8501636353,2289.5479528558
1.8501654855,2346.9063349784
1.8501673357,2388.9155455440
1.8501691858,2412.0279213992
1.8501710360,2414.0173454845
1.8501728862,2393.7456959402
1.8501747363,2351.1135440382
1.8501765865,2287.1523072228
1.8501784367,2204.4615542070
1.8501802869,2108.2466023426
1.8501821370,2007.7203100950
1.8501839872,1917.1584791142
1.8501858374,1853.2467777160
1.8501876876,1826.4580120879
1.8501895378,1834.1423468940
1.8501913880,1864.9984110659
1.8501932382,1908.0822234290
1.8501950884,1956.3849958251
1.8501969386,2005.7544753506
1.8501987888,2053.1848084440
1.8502006390,2096.0293159448
1.8502024892,2132.1838548268
1.8502043394,2160.6950453927
1.8502061896,2182.4634501866
1.8502080398,2200.8935120262
1.8502098900,2221.8374823211
1.8502117402,2251.8579611264
1.8502135904,2294.6455572080
1.8502154406,2347.9684560807
1.8502172908,2404.3197849847
1.8502191411,2454.5051018235
1.8502209913,2490.7859594653
1.8502228415,2507.9072040014
1.8502246917,2502.8906086433
1.8502265420,2474.6338407186
1.8502283922,2423.6184147007
1.8502302424,2351.8677441114
1.8502320926,2263.3432079290
1.8502339429,2164.4942937386
1.8502357931,2064.4748398198
1.8502376433,1974.0769993609
1.8502394936,1902.1196165465
1.8502413438,1851.0929998463
1.8502431941,1816.4819397303
1.8502450443,1790.6015385891
1.8502468946,1766.9139431468
1.8502487448,1742.1573344725
1.8502505951,1716.9571247092
1.8502524453,1696.3211191106
1.8502542956,1690.1099277864
1.8502561458,1711.1228794966
1.8502579961,1768.0986364737
1.8502598463,1857.7244398171
1.8502616966,1965.8114352970
1.8502635469,2076.2172944130
1.8502653971,2176.8782708727
1.8502672474,2260.3278125130
1.8502690977,2322.3069090249
1.8502709479,2360.5472097941
1.8502727982,2373.9501906559
1.8502746485,2362.2693398410
1.8502764987,2326.0324893364
1.8502783490,2266.5296763303
1.8502801993,2185.9893433681
1.8502820496,2088.0900754683
1.8502838999,1978.7750340904
1.8502857501,1868.2561378526
1.8502876004,1775.0975517928
1.8502894507,1730.6318935616
1.8502913010,1770.0946421932
1.8502931513,1899.9140451859
1.8502950016,2087.5901912264
1.8502968519,2296.0981162471
1.8502987022,2503.3169226038
1.8503005525,2698.1328143316
1.8503024028,2874.5368297872
1.8503042531,3028.7680344120
1.8503061034,3158.1900836973
1.8503079537,3260.8583279385
1.8503098040,3335.2870179454
1.8503116543,3380.5118949859
1.8503135046,3395.9370176515
