wl_micron,value
1.4499993189,332.2246536947
1.4500007689,332.0619326136
1.4500022189,331.9098780282
1.4500036689,331.7675435174
1.4500051189,331.6340781171
1.4500065689,331.5087283884
1.4500080189,331.3908224852
1.4500094689,331.2797539975
1.4500109189,331.1749842295
1.4500123690,331.0760250021
1.4500138190,330.9824345494
1.4500152690,330.8938178530
1.4500167190,330.8098122528
1.4500181690,330.7300912519
1.4500196190,330.6543580080
1.4500210691,330.5823378784
1.4500225191,330.5137857207
1.4500239691,330.4484724462
1.4500254191,330.3861918969
1.4500268692,330.3267510109
1.4500283192,330.2699753836
1.4500297692,330.2157023457
1.4500312192,330.1637835052
1.4500326693,330.1140797712
1.4500341193,330.0664642249
1.4500355693,330.0208190730
1.4500370194,329.9770344834
1.4500384694,329.9350086104
1.4500399195,329.8946465408
1.4500413695,329.8558599316
1.4500428195,329.8185677617
1.4500442696,329.7826925180
1.4500457196,329.7481417349
1.4500471697,329.7148797546
1.4500486197,329.6828482702
1.4500500698,329.6519743982
1.4500515198,329.6222029116
1.4500529699,329.5934824194
1.4500544199,329.5657641091
1.4500558700,329.5390031165
1.4500573200,329.5131561941
1.4500587701,329.4881826608
1.4500602202,329.4640448490
1.4500616702,329.4407067667
1.4500631203,329.4181285553
1.4500645703,329.3962869949
1.4500660204,329.3751525790
1.4500674705,329.3546926671
1.4500689205,329.3348808195
1.4500703706,329.3156907280
1.4500718207,329.2970984023
1.4500732708,329.2790803262
1.4500747208,329.2616151923
1.4500761709,329.2446815000
1.4500776210,329.2282599768
1.4500790711,329.2123313464
1.4500805211,329.1968777853
1.4500819712,329.1818825979
1.4500834213,329.1673293387
1.4500848714,329.1532022886
1.4500863215,329.1394871054
1.4500877716,329.1261695462
1.4500892217,329.1132360774
1.4500906717,329.1006741397
1.4500921218,329.0884711072
1.4500935719,329.0766155999
1.4500950220,329.0650962037
1.4500964721,329.0539022971
1.4500979222,329.0430237759
1.4500993723,329.0324508501
1.4501008224,329.0221738888
1.4501022725,329.0121843191
1.4501037226,329.0024734567
1.4501051727,328.9930327191
1.4501066228,328.9838547429
1.4501080729,328.9749315199
1.4501095230,328.9662560887
1.4501109732,328.9578214263
1.4501124233,328.9496207474
1.4501138734,328.9416478742
1.4501153235,328.9338965998
1.4501167736,328.9263591648
1.4501182237,328.9190304359
1.4501196738,328.9119061519
1.4501211240,328.9049812565
1.4501225741,328.8982510450
1.4501240242,328.8917106497
1.4501254743,328.8853555028
1.4501269245,328.8791810318
1.4501283746,328.8731832508
1.4501298247,328.8673580584
1.4501312748,328.8617017553
1.4501327250,328.8562104361
1.4501341751,328.8508809931
1.4501356252,328.8457098401
1.4501370754,328.8406938742
1.4501385255,328.8358300148
1.4501399757,328.8311155754
1.4501414258,328.8265476793
1.4501428759,328.8221238066
1.4501443261,328.8178417334
1.4501457762,328.8136990005
1.4501472264,328.8096936306
1.4501486765,328.8058236072
1.4501501267,328.8020878559
1.4501515768,328.7984830986
1.4501530270,328.7950088965
1.4501544771,328.7916639009
1.4501559273,328.7884470558
1.4501573774,328.7853574253
1.4501588276,328.7823942059
1.4501602778,328.7795568802
1.4501617279,328.7768450984
1.4501631781,328.7742588127
1.4501646283,328.7717980483
1.4501660784,328.7694632122
1.4501675286,328.7672550741
1.4501689788,328.7651743959
1.4501704289,328.7632225111
1.4501718791,328.7614011316
1.4501733293,328.7597122842
1.4501747794,328.7581582692
1.4501762296,328.7567422417
1.4501776798,328.7554676539
1.4501791300,328.7543385618
1.4501805801,328.7533598244
1.4501820303,328.7525369548
1.4501834805,328.7518764789
1.4501849307,328.7513857653
1.4501863809,328.7510736298
1.4501878311,328.7509500035
1.4501892813,328.7510263147
1.4501907314,328.7513162853
1.4501921816,328.7518348284
1.4501936318,328.7526005246
