wl_micron,value
1.0499999187,172.8513672238
1.0500009687,172.8515855637
1.0500020187,172.8518082472
1.0500030687,172.8520352190
1.0500041187,172.8522664038
1.0500051687,172.8525017496
1.0500062187,172.8527412136
1.0500072687,172.8529847572
1.0500083187,172.8532323265
1.0500093687,172.8534839179
1.0500104187,172.8537395017
1.0500114687,172.8539990673
1.0500125188,172.8542626072
1.0500135688,172.8545301284
1.0500146188,172.8548016352
1.0500156688,172.8550771475
1.0500167188,172.8553566939
1.0500177688,172.8556403080
1.0500188189,172.8559280367
1.0500198689,172.8562170115
1.0500209189,172.8565117362
1.0500219689,172.8568107996
1.0500230189,172.8571143253
1.0500240690,172.8574224456
1.0500251190,172.8577353602
1.0500261690,172.8580533183
1.0500272190,172.8583767303
1.0500282691,172.8587062561
1.0500293191,172.8590431426
1.0500303691,172.8593897873
1.0500314192,172.8597508523
1.0500324692,172.8601351990
1.0500335192,172.8605588143
1.0500345693,172.8610487355
1.0500356193,172.8616471079
1.0500366693,172.8624135937
1.0500377194,172.8634229982
1.0500387694,172.8647545073
1.0500398194,172.8664708667
1.0500408695,172.8685874690
1.0500419195,172.8710422979
1.0500429696,172.8736760454
1.0500440196,172.8762367692
1.0500450697,172.8784228248
1.0500461197,172.8799495555
1.0500471697,172.8806238795
1.0500482198,172.8804011298
1.0500492698,172.8793990687
1.0500503199,172.8778619518
1.0500513699,172.8760921541
1.0500524200,172.8743763564
1.0500534700,172.8729284179
1.0500545201,172.8718624769
1.0500555702,172.8712026060
1.0500566202,172.8709083708
1.0500576703,172.8709071963
1.0500587203,172.8711207301
1.0500597704,172.8714811953
1.0500608204,172.8719378954
1.0500618705,172.8724570124
1.0500629206,172.8730180609
1.0500639706,172.8736098595
1.0500650207,172.8742247098
1.0500660708,172.8748633702
1.0500671208,172.8755246606
1.0500681709,172.8762090839
1.0500692210,172.8769176857
1.0500702710,172.8776518393
1.0500713211,172.8784131437
1.0500723712,172.8792034634
1.0500734212,172.8800248401
1.0500744713,172.8808795724
1.0500755214,172.8817702315
1.0500765715,172.8826996294
1.0500776216,172.8836709395
1.0500786716,172.8846876594
1.0500797217,172.8857536974
1.0500807718,172.8868734188
1.0500818219,172.8880517039
1.0500828720,172.8892940443
1.0500839220,172.8906065824
1.0500849721,172.8919962986
1.0500860222,172.8934710303
1.0500870723,172.8950397608
1.0500881224,172.8967126120
1.0500891725,172.8985012870
1.0500902226,172.9004191211
1.0500912726,172.9024815389
1.0500923227,172.9047064215
1.0500933728,172.9071145505
1.0500944229,172.9097302806
1.0500954730,172.9125823154
1.0500965231,172.9157047498
1.0500975732,172.9191391673
1.0500986233,172.9229323960
1.0500996734,172.9271445271
1.0501007235,172.9318476152
1.0501017736,172.9371316182
1.0501028237,172.9431083072
1.0501038738,172.9499209308
1.0501049239,172.9577556843
1.0501059740,172.9668633934
1.0501070241,172.9775996079
1.0501080742,172.9905028740
1.0501091244,173.0064693621
1.0501101745,173.0271273147
1.0501112246,173.0556364492
1.0501122747,173.0982995038
1.0501133248,173.1675869690
1.0501143749,173.2873193895
1.0501154250,173.5006065399
1.0501164751,173.8802916401
1.0501175253,174.5396674433
1.0501185754,175.6381027401
1.0501196255,177.3730765300
1.0501206756,179.9482961415
1.0501217257,183.5140334752
1.0501227759,188.0856393528
1.0501238260,193.4650448635
1.0501248761,199.2043107031
1.0501259262,204.6376579931
1.0501269764,209.0066372830
1.0501280265,211.6285726070
1.0501290766,212.0659000711
1.0501301267,210.2441462560
1.0501311769,206.4728753437
1.0501322270,201.3602511274
1.0501332771,195.6568104921
1.0501343273,190.0806024335
1.0501353774,185.1719795280
1.0501364275,181.2206095149
1.0501374777,178.2841278343
1.0501385278,176.2531472789
1.0501395780,174.9359626360
1.0501406281,174.1280681827
