wl_micron,value
1.8499989781,644.2171782446
1.8500008281,644.6397194735
1.8500026781,645.1756371726
1.8500045281,645.7928950872
1.8500063781,646.4263141673
1.8500082281,646.9859711145
1.8500100781,647.3770983641
1.8500119281,647.5259675164
1.8500137781,647.4030590348
1.8500156281,647.0331526013
1.8500174782,646.4868247010
1.8500193282,645.8580396431
1.8500211782,645.2381112794
1.8500230282,644.6949502760
1.8500248783,644.2636411147
1.8500267283,643.9495895870
1.8500285783,643.7382200321
1.8500304283,643.6058861373
1.8500322784,643.5284243950
1.8500341284,643.4858578023
1.8500359784,643.4638363812
1.8500378285,643.4531106621
1.8500396785,643.4482330670
1.8500415285,643.4462357198
1.8500433786,643.4456088708
1.8500452286,643.4456282960
1.8500470787,643.4459620746
1.8500489287,643.4464617110
1.8500507788,643.4470600338
1.8500526288,643.4477247498
1.8500544789,643.4484384802
1.8500563289,643.4491905738
1.8500581790,643.4499737434
1.8500600291,643.4507826162
1.8500618791,643.4516130830
1.8500637292,643.4524619129
1.8500655792,643.4533265037
1.8500674293,643.4542047496
1.8500692794,643.4550949405
1.8500711295,643.4559956484
1.8500729795,643.4569057218
1.8500748296,643.4578241620
1.8500766797,643.4587501434
1.8500785298,643.4596829718
1.8500803798,643.4606220561
1.8500822299,643.4615669006
1.8500840800,643.4625170755
1.8500859301,643.4634722216
1.8500877802,643.4644320289
1.8500896303,643.4653962384
1.8500914803,643.4663646284
1.8500933304,643.4673370138
1.8500951805,643.4683132434
1.8500970306,643.4692931930
1.8500988807,643.4702767674
1.8501007308,643.4712638974
1.8501025809,643.4722545434
1.8501044310,643.4732486879
1.8501062811,643.4742463468
1.8501081312,643.4752475835
1.8501099814,643.4762525114
1.8501118315,643.4772613578
1.8501136816,643.4782745694
1.8501155317,643.4792931243
1.8501173818,643.4803192165
1.8501192319,643.4813578268
1.8501210820,643.4824199524
1.8501229322,643.4835286931
1.8501247823,643.4847296189
1.8501266324,643.4861063071
1.8501284825,643.4878000318
1.8501303327,643.4900285225
1.8501321828,643.4930929197
1.8501340329,643.4973568838
1.8501358831,643.5031813689
1.8501377332,643.5108086946
1.8501395833,643.5202115393
1.8501414335,643.5309585790
1.8501432836,643.5421480628
1.8501451338,643.5524968556
1.8501469839,643.5605917103
1.8501488341,643.5652311089
1.8501506842,643.5657629607
1.8501525344,643.5622871668
1.8501543845,643.5556236965
1.8501562347,643.5470629154
1.8501580848,643.5380150605
1.8501599350,643.5296844220
1.8501617852,643.5228536392
1.8501636353,643.5178403910
1.8501654855,643.5145886200
1.8501673357,643.5128123173
1.8501691858,643.5121409503
1.8501710360,643.5122228508
1.8501728862,643.5127778527
1.8501747363,643.5136093691
1.8501765865,643.5145930448
1.8501784367,643.5156569791
1.8501802869,643.5167628137
1.8501821370,643.5178915403
1.8501839872,643.5190343297
1.8501858374,643.5201873428
1.8501876876,643.5213490045
1.8501895378,643.5225187175
1.8501913880,643.5236963226
1.8501932382,643.5248818313
1.8501950884,643.5260753576
1.8501969386,643.5272770622
1.8501987888,643.5284871479
1.8502006390,643.5297058463
1.8502024892,643.5309334115
1.8502043394,643.5321701350
1.8502061896,643.5334163105
1.8502080398,643.5346722702
1.8502098900,643.5359383622
1.8502117402,643.5372149580
1.8502135904,643.5385024412
1.8502154406,643.5398012325
1.8502172908,643.5411117762
1.8502191411,643.5424345307
1.8502209913,643.5437699828
1.8502228415,643.5451186586
1.8502246917,643.5464810998
1.8502265420,643.5478578862
1.8502283922,643.5492496250
1.8502302424,643.5506569608
1.8502320926,643.5520805776
1.8502339429,643.5535211954
1.8502357931,643.5549795741
1.8502376433,643.5564565199
1.8502394936,643.5579528866
1.8502413438,643.5594696273
1.8502431941,643.5610080461
1.8502450443,643.5625688290
1.8502468946,643.5641525675
1.8502487448,643.5657609840
1.8502505951,643.5673951473
1.8502524453,643.5690562552
1.8502542956,643.5707458033
1.8502561458,643.5724652616
1.8502579961,643.5742162050
1.8502598463,643.5760003072
1.8502616966,643.5778193596
1.8502635469,643.5796752740
1.8502653971,643.5815702203
1.8502672474,643.5835062831
1.8502690977,643.5854856814
1.8502709479,643.5875110999
1.8502727982,643.5895851605
1.8502746485,643.5917108760
1.8502764987,643.5938912697
1.8502783490,643.5961298153
1.8502801993,643.5984300829
1.8502820496,643.6007960884
1.8502838999,643.6032320746
1.8502857501,643.6057426317
1.8502876004,643.6083327827
1.8502894507,643.6110079664
1.8502913010,643.6137741019
1.8502931513,643.6166376049
1.8502950016,643.6196055032
1.8502968519,643.6226854946
1.8502987022,643.6258859288
1.8503005525,643.6292160592
1.8503024028,643.6326859537
1.8503042531,643.6363067395
1.8503061034,643.6400906816
1.8503079537,643.6440512957
1.8503098040,643.6482036041
1.8503116543,643.6525641853
1.8503135046,643.6571516026
1.8503153550,643.6619864770
1.8503172053,643.6670919911
1.8503190556,643.6724944049
1.8503209059,643.6782237445
1.8503227562,643.6843150373
1.8503246066,643.6908104222
1.8503264569,643.6977623485
1.8503283072,643.7052379999
1.8503301575,643.7133258528
1.8503320079,643.7221416243
1.8503338582,643.7318329247
1.8503357085,643.7425772095
1.8503375589,643.7545689674
1.8503394092,643.7679934446
1.8503412596,643.7829902516
1.8503431099,643.7996211098
1.8503449602,643.8178460896
1.8503468106,643.8375506976
1.8503486609,643.8586228891
1.8503505113,643.8810503539
1.8503523616,643.9050315634
1.8503542120,643.9310704779
1.8503560623,643.9600002022
1.8503579127,643.9929784869
1.8503597631,644.0314696119
1.8503616134,644.0773521631
1.8503634638,644.1331981274
1.8503653141,644.2031270457
1.8503671645,644.2947072202
1.8503690149,644.4231733841
1.8503708653,644.6201615288
1.8503727156,644.9505641072
1.8503745660,645.5423582637
1.8503764164,646.6339447155
1.8503782668,648.6388814643
1.8503801171,652.2155095977
1.8503819675,658.3066425220
1.8503838179,668.0882036843
1.8503856683,682.7566198260
1.8503875187,703.1281047690
1.8503893691,729.1436306111
1.8503912194,759.4977932899
1.8503930698,791.6423788012
1.8503949202,822.2227193366
1.8503967706,847.7704437623
1.8503986210,865.3512753727
1.8504004714,872.9760218311
1.8504023218,869.7955195197
1.8504041722,856.1630596954
1.8504060226,833.6098344685
1.8504078730,804.7141283142
1.8504097234,772.7905085788
1.8504115739,741.3253296845
1.8504134243,713.2809398501
1.8504152747,690.5002647786
1.8504171251,673.5309702526
1.8504189755,661.8614781006
1.8504208259,654.3952800926
1.8504226764,649.9119045483
1.8504245268,647.3594243789
1.8504263772,645.9654156967
1.8504282276,645.2266772509
1.8504300781,644.8464664778
1.8504319285,644.6648625784
1.8504337789,644.6026432435
1.8504356294,644.6225536457
1.8504374798,644.7048901894
1.8504393302,644.8332163027
1.8504411807,644.9869889523
1.8504430311,645.1397785620
1.8504448816,645.2622444748
1.8504467320,645.3277242815
1.8504485825,645.3185867971
1.8504504329,645.2309823746
1.8504522834,645.0757412051
1.8504541338,644.8749194856
1.8504559843,644.6556160223
1.8504578347,644.4433993857
1.8504596852,644.2571597537
1.8504615356,644.1067644906
1.8504633861,643.9938865147
1.8504652366,643.9143677021
1.8504670870,643.8611709429
1.8504689375,643.8268235005
1.8504707880,643.8049135972
1.8504726384,643.7906708769
1.8504744889,643.7809220532
1.8504763394,643.7737494426
1.8504781899,643.7680950024
1.8504800404,643.7634399294
1.8504818908,643.7596035774
1.8504837413,643.7566145931
1.8504855918,643.7546495745
1.8504874423,643.7540421215
1.8504892928,643.7552356100
1.8504911433,643.7587070252
1.8504929938,643.7648285580
1.8504948443,643.7736769255
1.8504966947,643.7848301673
1.8504985452,643.7972521059
1.8505003957,643.8093127744
1.8505022462,643.8190610856
1.8505040968,643.8246574782
1.8505059473,643.8248547836
1.8505077978,643.8193648487
1.8505096483,643.8089532289
1.8505114988,643.7952067623
1.8505133493,643.7800828533
1.8505151998,643.7654221375
1.8505170503,643.7525836770
1.8505189008,643.7422693342
1.8505207514,643.7345954350
1.8505226019,643.7292655273
1.8505244524,643.7257837308
1.8505263029,643.7236274413
1.8505281535,643.7223504408
1.8505300040,643.7216218518
1.8505318545,643.7212216612
1.8505337051,643.7210163262
1.8505355556,643.7209305704
1.8505374061,643.7209249074
1.8505392567,643.7209790796
1.8505411072,643.7210832398
1.8505429577,643.7212320122
1.8505448083,643.7214224350
1.8505466588,643.7216526126
1.8505485094,643.7219212503
1.8505503599,643.7222274511
1.8505522105,643.7225705551
1.8505540610,643.7229505250
1.8505559116,643.7233672707
1.8505577621,643.7238211736
1.8505596127,643.7243138794
1.8505614633,643.7248462469
1.8505633138,643.7254214336
1.8505651644,643.7260423098
1.8505670150,643.7267135659
1.8505688655,643.7274420043
1.8505707161,643.7282381266
1.8505725667,643.7291198588
1.8505744172,643.7301217358
1.8505762678,643.7313171773
1.8505781184,643.7328698101
1.8505799690,643.7351458640
1.8505818196,643.7389415577
1.8505836701,643.7459070950
1.8505855207,643.7592628882
1.8505873713,643.7848702226
1.8505892219,643.8325846679
1.8505910725,643.9175222315
1.8505929231,644.0604276856
1.8505947737,644.2859016601
1.8505966243,644.6172150337
1.8505984749,645.0672779205
1.8506003255,645.6275706778
1.8506021761,646.2588296557
1.8506040267,646.8891246575
1.8506058773,647.4248954967
1.8506077279,647.7728659364
1.8506095785,647.8663763685
1.8506114291,647.6868162289
1.8506132797,647.2700389607
1.8506151303,646.6941793409
1.8506169809,646.0554349925
1.8506188316,645.4423101644
1.8506206822,644.9166946825
1.8506225328,644.5070327595
1.8506243834,644.2137448534
1.8506262341,644.0193436392
1.8506280847,643.8993133974
1.8506299353,643.8299260004
1.8506317859,643.7922060567
1.8506336366,643.7728550161
1.8506354872,643.7634715858
1.8506373378,643.7591921167
1.8506391885,643.7574063815
1.8506410391,643.7568038950
1.8506428898,643.7567627022
1.8506447404,643.7569997351
1.8506465911,643.7573884418
1.8506484417,643.7578710207
1.8506502923,643.7584190920
1.8506521430,643.7590168901
1.8506539937,643.7596544777
1.8506558443,643.7603248712
1.8506576950,643.7610228976
1.8506595456,643.7617444732
1.8506613963,643.7624864139
1.8506632469,643.7632461085
1.8506650976,643.7640214111
1.8506669483,643.7648105855
1.8506687989,643.7656121355
1.8506706496,643.7664248527
1.8506725003,643.7672476769
1.8506743510,643.7680796971
1.8506762016,643.7689201567
1.8506780523,643.7697683872
1.8506799030,643.7706238054
1.8506817537,643.7714859035
1.8506836044,643.7723542366
1.8506854550,643.7732284086
1.8506873057,643.7741080742
1.8506891564,643.7749929266
1.8506910071,643.7758826733
1.8506928578,643.7767770802
1.8506947085,643.7776759130
1.8506965592,643.7785789776
1.8506984099,643.7794860727
1.8507002606,643.7803970466
1.8507021113,643.7813117441
1.8507039620,643.7822300280
1.8507058127,643.7831517586
1.8507076634,643.7840768311
1.8507095141,643.7850051324
1.8507113648,643.7859365659
1.8507132155,643.7868710427
1.8507150662,643.7878084709
1.8507169170,643.7887487728
1.8507187677,643.7896918781
1.8507206184,643.7906377159
1.8507224691,643.7915862320
1.8507243198,643.7925373602
1.8507261706,643.7934910474
1.8507280213,643.7944472404
1.8507298720,643.7954058913
1.8507317228,643.7963669615
1.8507335735,643.7973304033
1.8507354242,643.7982961810
1.8507372750,643.7992642654
1.8507391257,643.8002346012
1.8507409764,643.8012071794
1.8507428272,643.8021819562
1.8507446779,643.8031589054
