wl_micron,value
1.4499993189,617.3658168651
1.4500007689,628.6406256323
1.4500022189,634.6838664803
1.4500036689,637.1069206568
1.4500051189,640.0508405438
1.4500065689,645.8467148095
1.4500080189,651.0287041616
1.4500094689,650.9394739353
1.4500109189,645.1539036119
1.4500123690,636.2149802218
1.4500138190,626.4665281229
1.4500152690,618.1197126735
1.4500167190,613.5551719496
1.4500181690,612.7376059002
1.4500196190,612.9039004234
1.4500210691,612.9869465946
1.4500225191,616.4239617199
1.4500239691,626.4328409565
1.4500254191,639.3522494116
1.4500268692,649.6748138711
1.4500283192,659.0857895592
1.4500297692,672.8288296814
1.4500312192,687.3905228734
1.4500326693,691.9393256570
1.4500341193,679.8921432259
1.4500355693,654.0800626634
1.4500370194,627.3219210070
1.4500384694,616.7111157586
1.4500399195,627.6217233467
1.4500413695,648.6499268082
1.4500428195,666.8325094566
1.4500442696,677.6406003657
1.4500457196,682.2313193999
1.4500471697,680.7884386867
1.4500486197,670.9750175321
1.4500500698,652.7920736299
1.4500515198,632.1203595068
1.4500529699,616.2731912217
1.4500544199,605.6358065401
1.4500558700,595.0828530160
1.4500573200,581.9957566449
1.4500587701,569.8158532154
1.4500602202,565.9596494125
1.4500616702,574.3897947692
1.4500631203,591.2071311207
1.4500645703,609.9721773013
1.4500660204,626.6168536177
1.4500674705,639.0815293969
1.4500689205,645.7427122210
1.4500703706,645.3562862550
1.4500718207,639.0138526044
1.4500732708,632.6142397485
1.4500747208,634.9089952605
1.4500761709,647.8888609285
1.4500776210,663.7595908025
1.4500790711,676.4475861801
1.4500805211,689.3955804419
1.4500819712,709.4038928505
1.4500834213,733.0454875404
1.4500848714,748.1315222743
1.4500863215,746.3498353093
1.4500877716,727.7483129442
1.4500892217,699.2263058059
1.4500906717,670.0321056272
1.4500921218,645.4709834316
1.4500935719,626.3724243430
1.4500950220,614.1218169569
1.4500964721,612.1187967743
1.4500979222,621.2093891623
1.4500993723,635.9929624553
1.4501008224,649.4134728023
1.4501022725,658.2354718687
1.4501037226,662.0998635283
1.4501051727,661.4506753194
1.4501066228,659.4496093034
1.4501080729,663.3388761300
1.4501095230,676.5773640699
1.4501109732,690.5715502701
1.4501124233,693.0956667650
1.4501138734,679.5163344146
1.4501153235,656.4277321222
1.4501167736,639.0987384707
1.4501182237,636.2947122981
1.4501196738,640.3350936239
1.4501211240,640.5830585149
1.4501225741,633.4844401339
1.4501240242,622.3918105653
1.4501254743,614.1452479537
1.4501269245,612.7954554852
1.4501283746,615.8241228056
1.4501298247,617.1970350532
1.4501312748,612.0472612727
1.4501327250,599.9551140923
1.4501341751,586.3885163555
1.4501356252,578.6595392409
1.4501370754,577.5650603787
1.4501385255,577.5669914419
1.4501399757,575.1969195423
1.4501414258,573.1847729037
1.4501428759,578.5236579257
1.4501443261,597.3289381744
1.4501457762,629.8041502500
1.4501472264,668.8936117548
1.4501486765,703.5644764768
1.4501501267,724.1280022123
1.4501515768,726.0905319279
1.4501530270,712.8358682019
1.4501544771,696.9413668129
1.4501559273,690.3232280591
1.4501573774,688.1856918573
1.4501588276,678.1496027746
1.4501602778,656.0704678796
1.4501617279,627.3308017598
1.4501631781,601.6275105587
1.4501646283,585.4451975778
1.4501660784,578.3422392268
1.4501675286,576.4254527171
1.4501689788,577.5147805892
1.4501704289,583.2128697931
1.4501718791,595.5234794301
1.4501733293,610.9693844511
1.4501747794,621.8335244975
1.4501762296,622.9062308997
1.4501776798,615.1224014020
1.4501791300,606.5069216690
1.4501805801,609.2524280070
1.4501820303,626.3100568743
1.4501834805,645.4727040948
1.4501849307,654.4884116700
1.4501863809,650.0359638340
1.4501878311,635.3542936183
1.4501892813,616.6728283464
1.4501907314,602.1279391212
1.4501921816,600.0541295472
1.4501936318,611.5481184459
1.4501950820,627.3978849394
1.4501965322,636.9469705905
1.4501979824,635.6994511413
1.4501994326,626.7443052969
1.4502008828,619.4626751268
1.4502023330,624.9189849299
1.4502037832,646.4290880662
1.4502052334,674.2048102963
1.4502066836,694.0794762384
1.4502081338,697.4766019092
1.4502095841,683.1157665426
1.4502110343,655.6265496715
1.4502124845,623.3291129408
1.4502139347,594.3192294727
1.4502153849,574.1346450239
1.4502168351,567.0163997777
1.4502182853,574.3552287938
1.4502197356,591.5162409323
1.4502211858,611.3642128466
1.4502226360,629.5242889868
1.4502240862,645.0828530741
1.4502255364,658.8711358636
1.4502269867,671.2386465029
1.4502284369,680.1020779470
1.4502298871,681.2453331191
1.4502313374,671.7360452198
1.4502327876,654.5628695649
1.4502342378,640.2975030914
1.4502356881,637.8260650227
1.4502371383,641.8316941824
1.4502385885,640.7052134421
1.4502400388,629.6786601959
1.4502414890,613.4722776923
1.4502429393,603.0809394208
1.4502443895,606.0658408112
1.4502458397,618.5280776983
1.4502472900,631.3653141800
1.4502487402,639.3319053066
1.4502501905,642.3268782611
1.4502516407,642.1702030414
1.4502530910,640.1092557803
1.4502545412,636.5181025665
1.4502559915,629.9226308068
1.4502574418,617.2951147295
1.4502588920,598.4868096056
1.4502603423,580.4363921975
1.4502617925,574.6066458373
1.4502632428,586.0598377093
1.4502646931,607.9491899205
1.4502661433,629.8774866716
1.4502675936,645.8951196234
1.4502690439,654.9201169545
1.4502704941,658.0260721326
1.4502719444,656.4919596428
1.4502733947,651.1501299568
1.4502748450,641.8816602821
1.4502762952,628.1151941914
1.4502777455,610.9835165660
1.4502791958,595.1462891123
1.4502806461,587.9791379125
1.4502820963,594.5202510849
1.4502835466,613.3348467120
1.4502849969,639.1415772824
1.4502864472,664.9142239572
1.4502878975,682.0602184159
1.4502893478,684.2873463720
1.4502907981,672.6977504427
1.4502922484,658.2782223509
1.4502936986,653.5689846384
1.4502951489,655.7959933383
1.4502965992,652.2407913154
1.4502980495,636.9148270270
1.4502994998,616.0344097520
1.4503009501,607.2177748978
1.4503024004,622.6609559863
1.4503038507,649.6682290335
1.4503053010,669.0115298426
1.4503067513,675.2583567101
1.4503082017,677.6803247401
1.4503096520,688.6361608805
1.4503111023,706.0705221775
1.4503125526,721.5758074884
1.4503140029,738.6454931738
1.4503154532,766.9330146560
1.4503169035,801.2639691018
1.4503183538,825.2368257728
1.4503198042,827.8958976007
1.4503212545,806.7032398025
1.4503227048,766.3174622807
1.4503241551,718.5644060041
1.4503256055,677.9047880876
1.4503270558,652.1647497310
1.4503285061,644.5199234167
1.4503299564,655.2777946644
1.4503314068,673.8824268481
1.4503328571,685.8606772950
1.4503343074,684.6954838369
1.4503357578,674.1871631068
1.4503372081,664.1094576631
1.4503386584,659.1821864905
1.4503401088,656.3522328217
1.4503415591,657.5513111205
1.4503430095,671.2699592360
1.4503444598,695.9445043821
1.4503459102,719.6817284248
1.4503473605,734.7760976503
1.4503488109,739.3776890179
1.4503502612,733.1921265264
1.4503517116,716.8973555139
1.4503531619,694.3735929438
1.4503546123,673.3925835706
1.4503560626,661.8023976116
1.4503575130,660.5678082428
1.4503589633,662.5789505686
1.4503604137,659.5449097423
1.4503618641,647.6510136760
1.4503633144,628.7114172094
1.4503647648,608.9658468295
1.4503662151,597.8414195274
1.4503676655,604.8774749542
1.4503691159,629.3809586910
1.4503705662,658.4717683458
1.4503720166,680.8980712224
1.4503734670,693.0531538063
1.4503749174,696.0934046362
1.4503763677,693.6443439866
1.4503778181,689.5225757320
1.4503792685,683.0772955108
1.4503807189,669.9267354528
1.4503821693,650.6922476724
1.4503836196,637.1761930123
1.4503850700,642.9336399596
1.4503865204,663.1979171701
1.4503879708,680.8325748293
1.4503894212,684.1013338352
1.4503908716,670.1594941673
1.4503923220,643.3859369556
1.4503937724,612.9717186560
1.4503952228,587.5832810109
1.4503966732,570.5585803534
1.4503981236,561.3074987836
1.4503995740,558.9575495396
1.4504010244,564.8222904547
1.4504024748,584.0034382919
1.4504039252,621.4333988721
1.4504053756,672.1554950467
1.4504068260,721.6385490880
1.4504082764,756.4378651102
1.4504097268,768.9037379782
1.4504111772,756.7525005773
1.4504126276,723.0040525788
1.4504140780,677.3401566336
1.4504155284,635.4313960614
1.4504169788,609.3763829722
1.4504184293,599.6148320750
1.4504198797,601.3396660545
1.4504213301,609.3135438193
1.4504227805,618.0000704336
1.4504242310,623.3321147546
1.4504256814,623.7150831591
1.4504271318,619.3723968670
