wl_micron,value
1.0499999187,317.2028224553
1.0500009687,313.6634404463
1.0500020187,313.8151255762
1.0500030687,316.1100764162
1.0500041187,318.9495783735
1.0500051687,322.0525057514
1.0500062187,323.8794993009
1.0500072687,321.2090370686
1.0500083187,313.3067913147
1.0500093687,304.2224036134
1.0500104187,298.6030507534
1.0500114687,296.3967510589
1.0500125188,294.4547802799
1.0500135688,291.4646351272
1.0500146188,288.7710021111
1.0500156688,287.5752485775
1.0500167188,287.3047458974
1.0500177688,286.9710965743
1.0500188189,286.7912215379
1.0500198689,288.0633380293
1.0500209189,292.1898791308
1.0500219689,299.3775218933
1.0500230189,307.2688593329
1.0500240690,311.8728137662
1.0500251190,310.9214877783
1.0500261690,305.6628706530
1.0500272190,299.0428370857
1.0500282691,292.8951286946
1.0500293191,287.6412006058
1.0500303691,283.6764861132
1.0500314192,281.4669585042
1.0500324692,280.6934677956
1.0500335192,280.4877017488
1.0500345693,280.3150458948
1.0500356193,280.0827633831
1.0500366693,279.8551273233
1.0500377194,279.8074236375
1.0500387694,280.1306222011
1.0500398194,280.9258072031
1.0500408695,282.2433467408
1.0500419195,283.9077940600
1.0500429696,285.2406049788
1.0500440196,285.3293376797
1.0500450697,283.7474345096
1.0500461197,280.9185071678
1.0500471697,277.7658284913
1.0500482198,275.1749555427
1.0500492698,273.7884146649
1.0500503199,273.8123629103
1.0500513699,274.7799464896
1.0500524200,276.0230342009
1.0500534700,277.3981343689
1.0500545201,278.9591286153
1.0500555702,280.2611797206
1.0500566202,280.6909199151
1.0500576703,280.2389540855
1.0500587203,279.6888843766
1.0500597704,280.2071065036
1.0500608204,282.4638702118
1.0500618705,285.8823624965
1.0500629206,289.1437522930
1.0500639706,291.4449971113
1.0500650207,292.7345462904
1.0500660708,292.8154728991
1.0500671208,291.1816396587
1.0500681709,288.1387681601
1.0500692210,285.2597665168
1.0500702710,284.1700600061
1.0500713211,285.3729267764
1.0500723712,288.2502246636
1.0500734212,291.4459892992
1.0500744713,293.4407683987
1.0500755214,293.5680088171
1.0500765715,292.6257892309
1.0500776216,292.0816339323
1.0500786716,292.4455544016
1.0500797217,292.8590417045
1.0500807718,292.4828791474
1.0500818219,291.3698255551
1.0500828720,289.6186623350
1.0500839220,286.8502345652
1.0500849721,283.0819641263
1.0500860222,279.3590132720
1.0500870723,277.3009728138
1.0500881224,278.3220984684
1.0500891725,282.8286208743
1.0500902226,289.4653410978
1.0500912726,295.4498623457
1.0500923227,298.3130574839
1.0500933728,297.4752282863
1.0500944229,294.3433877114
1.0500954730,291.2282333509
1.0500965231,290.0285732174
1.0500975732,291.3919022343
1.0500986233,294.5466747531
1.0500996734,298.0591023437
1.0501007235,301.0693586390
1.0501017736,303.5897765522
1.0501028237,305.6933773411
1.0501038738,307.1064545678
1.0501049239,307.7941552002
1.0501059740,308.2887837177
1.0501070241,309.1374019026
1.0501080742,310.5286666370
1.0501091244,312.3305232639
1.0501101745,313.5834337004
1.0501112246,312.5760795509
1.0501122747,308.6824784679
1.0501133248,303.6332731476
1.0501143749,300.0776886833
1.0501154250,299.1676916371
1.0501164751,300.0181459319
1.0501175253,300.9870701101
1.0501185754,301.0063888205
1.0501196255,299.9930593045
1.0501206756,298.4479030190
1.0501217257,296.9448791320
1.0501227759,295.8626785790
1.0501238260,295.1950100189
1.0501248761,294.4002298110
1.0501259262,292.8316614136
1.0501269764,290.8049267575
1.0501280265,289.8862719582
1.0501290766,291.4996590624
1.0501301267,295.3232293453
1.0501311769,299.2854439581
1.0501322270,301.1150709807
1.0501332771,300.0382745906
1.0501343273,297.0143345671
1.0501353774,293.3752618422
1.0501364275,289.7920337028
1.0501374777,286.6456384617
1.0501385278,284.5278163548
1.0501395780,283.7303222675
1.0501406281,283.5494189922
1.0501416782,282.8006085812
1.0501427284,281.0583945151
1.0501437785,278.9276155211
1.0501448287,277.1019938609
1.0501458788,275.7541952318
1.0501469290,275.1343617820
1.0501479791,276.2101747765
1.0501490293,280.0525954994
1.0501500794,286.4283176341
1.0501511296,293.2978500000
1.0501521797,298.3183925642
1.0501532299,300.8905056210
1.0501542800,302.1558243758
1.0501553302,303.0349043285
1.0501563803,302.8673518803
1.0501574305,300.0479425670
1.0501584806,293.9173126254
1.0501595308,286.1641110300
1.0501605810,280.0333123480
1.0501616311,277.8341431245
1.0501626813,279.4382671563
1.0501637314,282.9467126774
1.0501647816,286.4315597983
1.0501658318,289.6122111275
1.0501668819,294.2513748194
1.0501679321,302.1606277753
1.0501689823,312.0975084011
1.0501700324,319.5552946613
1.0501710826,320.4992269784
1.0501721328,314.9223061114
1.0501731830,306.8831946332
1.0501742331,301.1945882286
1.0501752833,299.7610379138
1.0501763335,301.1341667996
1.0501773837,302.8943089810
1.0501784338,303.8122678140
1.0501794840,304.3627681678
1.0501805342,305.9068958535
1.0501815844,309.2470999563
1.0501826346,313.6014948150
1.0501836847,316.8255067847
1.0501847349,316.9466689745
1.0501857851,313.8112907978
1.0501868353,309.0801383152
1.0501878855,304.8328945853
1.0501889357,302.7447339481
1.0501899859,303.9332272249
1.0501910361,308.3442627141
1.0501920863,314.1104964227
1.0501931364,318.1526328697
1.0501941866,318.4562961856
1.0501952368,316.1578371771
1.0501962870,314.8225971777
1.0501973372,316.9265013624
1.0501983874,320.9283257833
1.0501994376,322.5534825089
1.0502004878,319.0782537199
1.0502015380,311.9375762255
1.0502025882,305.0546637330
1.0502036384,300.6942592978
1.0502046886,297.9449431143
1.0502057388,295.4179338775
1.0502067890,293.3704519602
1.0502078393,292.5195802547
1.0502088895,292.2782231268
1.0502099397,291.0617005100
1.0502109899,287.9893100176
1.0502120401,283.9125963350
1.0502130903,280.7050233138
1.0502141405,279.7538475177
1.0502151907,281.2564438935
1.0502162409,284.2210630558
1.0502172912,286.7299278834
1.0502183414,287.0300151257
1.0502193916,284.9441270034
1.0502204418,282.0806881054
1.0502214920,280.5326048255
1.0502225423,281.3195050460
1.0502235925,284.2093364424
1.0502246427,289.1731023165
1.0502256929,297.5710234024
1.0502267432,310.4202058129
1.0502277934,324.6421614031
1.0502288436,333.2571141264
1.0502298938,330.8811995061
1.0502309441,318.4439162519
1.0502319943,303.2268657198
1.0502330445,293.1838470810
1.0502340948,290.1266535259
1.0502351450,290.3901398035
1.0502361952,290.3341428579
1.0502372455,288.9133114460
1.0502382957,286.9034845710
1.0502393460,285.5281705643
1.0502403962,285.5409732978
1.0502414464,286.6371455864
1.0502424967,287.5325342473
1.0502435469,286.9986480197
1.0502445972,284.8983306652
1.0502456474,282.1432457621
1.0502466977,279.8020143437
1.0502477479,278.2999704815
1.0502487982,277.3459538689
1.0502498484,276.5217918311
1.0502508987,275.8889230046
1.0502519489,275.8295562643
1.0502529992,276.2573791641
1.0502540494,276.5048053699
1.0502550997,276.3036173981
1.0502561499,276.3435022039
1.0502572002,277.3817241152
1.0502582504,279.2262510704
1.0502593007,281.0826447278
1.0502603510,282.4496822477
1.0502614012,283.3626294397
1.0502624515,284.2281343979
1.0502635017,285.3508765053
1.0502645520,286.1403076572
1.0502656023,285.4019254058
1.0502666525,283.0024580841
1.0502677028,280.4224878879
1.0502687531,279.1378635606
1.0502698033,279.1411119711
1.0502708536,279.4315414287
1.0502719039,279.2579498128
1.0502729542,278.4974305274
1.0502740044,277.4199462308
1.0502750547,276.5774384575
1.0502761050,276.5409747390
1.0502771553,277.4018310405
1.0502782055,278.5888435834
1.0502792558,279.2349552808
1.0502803061,278.8316280380
1.0502813564,277.6398250932
1.0502824067,276.4827168104
1.0502834569,276.1261565378
1.0502845072,276.8998010012
1.0502855575,278.8124165982
1.0502866078,281.7735832937
1.0502876581,285.6030710573
1.0502887084,289.7421637565
1.0502897587,293.0979484256
1.0502908089,295.0544780286
1.0502918592,296.8368704836
1.0502929095,300.2430198965
1.0502939598,304.1763205864
1.0502950101,304.6988932535
1.0502960604,299.6049611444
1.0502971107,291.2984742586
1.0502981610,284.4601031254
1.0502992113,281.6006079133
1.0503002616,281.9057762454
1.0503013119,283.4515557403
1.0503023622,284.9278106652
1.0503034125,285.5929391320
1.0503044628,284.7288348838
1.0503055131,281.9663606244
1.0503065634,278.2164882708
1.0503076137,275.6781332263
1.0503086640,276.3769635114
1.0503097144,280.3723317563
1.0503107647,285.5023307111
1.0503118150,289.3650045692
1.0503128653,291.4108923273
1.0503139156,292.6569899318
1.0503149659,293.7454834643
1.0503160162,294.2272981299
1.0503170665,293.8428073123
1.0503181169,293.4119450673
1.0503191672,293.8917590521
1.0503202175,295.2727898237
1.0503212678,297.0158534922
1.0503223181,299.0376397296
1.0503233685,301.6917716733
1.0503244188,304.8194259415
1.0503254691,307.1900672392
1.0503265194,307.4065173735
1.0503275698,305.4329016919
1.0503286201,302.7111883888
1.0503296704,300.5663668268
1.0503307208,298.9811912483
1.0503317711,297.4645278444
1.0503328214,296.8275937022
1.0503338718,299.2802417840
1.0503349221,306.0375723654
1.0503359724,315.0646748995
1.0503370228,322.1853748526
1.0503380731,324.1640415464
1.0503391234,320.3021992192
1.0503401738,312.2350524806
1.0503412241,303.1190084686
1.0503422745,296.2444376198
1.0503433248,293.2079940203
1.0503443751,292.9428822820
1.0503454255,292.8044700129
1.0503464758,290.9804487877
1.0503475262,287.8036382739
1.0503485765,284.7846531162
1.0503496269,283.0003408922
1.0503506772,282.5880380490
1.0503517276,283.1424817147
1.0503527779,284.4209885543
1.0503538283,286.9325104687
1.0503548786,291.2987444790
1.0503559290,296.5350120982
1.0503569794,299.9094506626
1.0503580297,299.4092837346
1.0503590801,295.8272375114
1.0503601304,292.1789509442
1.0503611808,291.6564351616
1.0503622312,296.0517921959
1.0503632815,304.5639394816
1.0503643319,313.0594239366
1.0503653822,316.1645442467
1.0503664326,311.6631345825
1.0503674830,302.6812095732
1.0503685333,294.8307445420
1.0503695837,290.8795298445
1.0503706341,289.4212962560
1.0503716845,288.3485764587
1.0503727348,287.4631120566
1.0503737852,287.7280460955
1.0503748356,289.3187183515
1.0503758859,291.1847036018
1.0503769363,292.2063907454
1.0503779867,291.9395516466
1.0503790371,290.3106440491
1.0503800875,287.5654669541
1.0503811378,284.6471765870
1.0503821882,282.7597989780
1.0503832386,282.2974455026
1.0503842890,282.8929861786
1.0503853394,284.6509473379
1.0503863898,288.6266586117
1.0503874401,295.9712595674
1.0503884905,307.0406188943
1.0503895409,320.7123464194
1.0503905913,333.6494384705
1.0503916417,341.1692133140
1.0503926921,339.8953196293
1.0503937425,329.8689270355
1.0503947929,314.8739569784
1.0503958433,300.7588834355
1.0503968937,292.2050334338
1.0503979441,290.5629039185
1.0503989945,293.9966884861
1.0504000449,298.8152964376
1.0504010953,301.6745231593
1.0504021457,301.2391599114
1.0504031961,297.9833160491
1.0504042465,293.4764503405
1.0504052969,289.8618363001
1.0504063473,288.3821270213
1.0504073977,288.0745597804
1.0504084481,287.0389005471
1.0504094985,284.7307780588
1.0504105489,282.2879732408
1.0504115993,281.1987829155
1.0504126497,282.2074197975
1.0504137002,284.9168469136
1.0504147506,288.0276836658
1.0504158010,290.3776470668
1.0504168514,291.9944181140
1.0504179018,293.8369385367
1.0504189522,296.2632589449
1.0504200027,298.1484827682
1.0504210531,297.9341477667
1.0504221035,295.2312717912
1.0504231539,291.2155814264
1.0504242043,287.7343438526
1.0504252548,286.1095023452
1.0504263052,286.3996506269
1.0504273556,287.4917253881
1.0504284061,288.1650024049
1.0504294565,288.2180396053
1.0504305069,288.2879776378
1.0504315573,288.8933591445
1.0504326078,290.4505786216
1.0504336582,293.8295865934
1.0504347086,299.2637944177
1.0504357591,304.3752882099
1.0504368095,305.2964815123
1.0504378600,300.5238223469
1.0504389104,292.5824569643
1.0504399608,285.7810674608
1.0504410113,283.0946076244
1.0504420617,285.0045754715
1.0504431122,289.7564233897
1.0504441626,294.3578888330
1.0504452130,296.4952946237
1.0504462635,296.1090862859
1.0504473139,295.0482288996
1.0504483644,294.9923918394
1.0504494148,295.6545286961
1.0504504653,295.2323541004
1.0504515157,292.5636490444
1.0504525662,288.5512921430
1.0504536166,285.2817437750
1.0504546671,283.7673695249
1.0504557175,283.2487131981
1.0504567680,282.8343801888
1.0504578185,282.6878964944
1.0504588689,283.1813335563
1.0504599194,283.8494376399
1.0504609698,283.8391472296
1.0504620203,282.9083401228
1.0504630708,281.7119068264
1.0504641212,281.3742274451
1.0504651717,282.3892115895
1.0504662222,283.6641741731
1.0504672726,283.3234668414
1.0504683231,280.7385766064
1.0504693736,277.4194339125
1.0504704240,275.8473834738
1.0504714745,277.4879983997
1.0504725250,281.7097459195
1.0504735754,286.1449879342
1.0504746259,288.2361129055
1.0504756764,287.1768309299
1.0504767269,284.7411935313
1.0504777774,284.0876754197
1.0504788278,287.1518852268
1.0504798783,292.5735499262
1.0504809288,296.6600353583
1.0504819793,296.9777027581
1.0504830298,294.3276024557
1.0504840802,290.9596354622
1.0504851307,288.0252013332
1.0504861812,285.4233384324
1.0504872317,282.9306455346
1.0504882822,280.7125173577
1.0504893327,279.4007600184
1.0504903832,279.9717162642
1.0504914337,282.9319579860
1.0504924841,287.4438412209
1.0504935346,292.2277389914
1.0504945851,297.4183364513
1.0504956356,304.0109105732
1.0504966861,311.0841161361
1.0504977366,315.5608251213
1.0504987871,315.9268729326
1.0504998376,315.1254183908
1.0505008881,318.6717537134
1.0505019386,329.0753550031
1.0505029891,342.3223414273
1.0505040396,350.9759633828
1.0505050901,350.1413979838
1.0505061406,340.0813868633
1.0505071911,324.8918609010
1.0505082416,309.6057861174
1.0505092922,297.6143109690
1.0505103427,289.5004073146
1.0505113932,283.9551737465
1.0505124437,279.8996546702
1.0505134942,277.3223883439
1.0505145447,276.3157565029
1.0505155952,276.3905564916
1.0505166457,277.0330172872
1.0505176963,278.0726804988
1.0505187468,279.0958103804
1.0505197973,279.2590960768
1.0505208478,278.1812527395
1.0505218983,276.4872395399
1.0505229489,275.1293535021
1.0505239994,274.5287682132
1.0505250499,274.6297147491
1.0505261004,275.5248003642
1.0505271510,277.6163621961
1.0505282015,280.9999825628
1.0505292520,284.9139790571
1.0505303026,288.1189684788
1.0505313531,289.7241301304
1.0505324036,289.5381340192
1.0505334541,288.0340063850
1.0505345047,286.2487505184
1.0505355552,285.4248370102
1.0505366058,286.6257657818
1.0505376563,290.8772337001
1.0505387068,298.8408840205
1.0505397574,309.0656464222
1.0505408079,317.9235444644
1.0505418584,323.7343777228
1.0505429090,330.3651185324
1.0505439595,343.9449226092
1.0505450101,364.2267618090
1.0505460606,382.8191392763
1.0505471112,391.1331101063
1.0505481617,385.6487013887
1.0505492123,367.7964090880
1.0505502628,343.3174050293
1.0505513134,320.7604605362
1.0505523639,306.1776116159
1.0505534145,299.1581495424
1.0505544650,296.1687805431
1.0505555156,294.7751327461
1.0505565661,293.8081766617
1.0505576167,292.4698853966
1.0505586673,290.5496892073
1.0505597178,288.5047558222
1.0505607684,286.6836168517
1.0505618189,285.0533558627
1.0505628695,283.8910970494
1.0505639201,283.7260036391
1.0505649706,284.1286992975
1.0505660212,283.7005784589
1.0505670718,281.9690939761
1.0505681223,280.5285749605
1.0505691729,281.5783524969
1.0505702235,285.5414584234
1.0505712740,290.6837784744
1.0505723246,294.8177254901
1.0505733752,296.6685445706
1.0505744258,295.8742881176
1.0505754763,292.7574416990
1.0505765269,288.5394903756
1.0505775775,285.1041646782
1.0505786281,284.1363173986
1.0505796786,286.9849750388
1.0505807292,295.8514791655
1.0505817798,314.9346997155
1.0505828304,347.8156177090
1.0505838810,389.6226216452
1.0505849315,426.2280418530
1.0505859821,444.8957371215
1.0505870327,440.0764498872
1.0505880833,413.1100906876
1.0505891339,372.8115417408
1.0505901845,334.4194758860
1.0505912351,309.1226445926
1.0505922857,296.0909007320
1.0505933363,289.4868876574
1.0505943869,285.8144527395
1.0505954375,284.6359950123
1.0505964880,286.5196229582
