wl_micron,value
1.8499989781,633.3002108652
1.8500008281,639.1132000733
1.8500026781,646.1149888758
1.8500045281,666.6080044496
1.8500063781,703.6461207688
1.8500082281,744.6175516574
1.8500100781,776.1345441967
1.8500119281,792.2748369243
1.8500137781,793.8092154504
1.8500156281,786.2128924149
1.8500174782,775.5164996040
1.8500193282,767.0088904674
1.8500211782,776.3490353071
1.8500230282,824.3205587304
1.8500248783,894.9699775624
1.8500267283,956.2233112448
1.8500285783,992.0414033012
1.8500304283,997.4841843745
1.8500322784,973.3593257552
1.8500341284,926.1515233044
1.8500359784,869.5021035687
1.8500378285,822.1229242842
1.8500396785,799.7200505758
1.8500415285,803.5940349074
1.8500433786,815.4924286313
1.8500452286,816.1080419427
1.8500470787,799.2648543187
1.8500489287,772.8438273437
1.8500507788,756.6424909286
1.8500526288,762.9922022028
1.8500544789,778.5266406112
1.8500563289,786.0962409253
1.8500581790,782.6988251384
1.8500600291,781.7173902990
1.8500618791,804.8069735315
1.8500637292,851.2623205806
1.8500655792,897.0003119086
1.8500674293,923.5738648197
1.8500692794,923.2346419958
1.8500711295,894.8315113985
1.8500729795,843.7914603442
1.8500748296,788.0972586843
1.8500766797,757.3422577562
1.8500785298,755.1093060351
1.8500803798,755.9143158667
1.8500822299,745.1571063243
1.8500840800,723.9836315688
1.8500859301,705.0886025931
1.8500877802,704.3658786176
1.8500896303,718.7826369455
1.8500914803,728.9839536107
1.8500933304,721.5035496235
1.8500951805,693.3222966654
1.8500970306,651.0603947027
1.8500988807,615.1155161994
1.8501007308,612.8391563357
1.8501025809,645.4785840566
1.8501044310,690.7719393443
1.8501062811,737.6719936039
1.8501081312,790.2218453343
1.8501099814,850.6993946125
1.8501118315,908.5988614779
1.8501136816,949.3375268620
1.8501155317,963.5049662155
1.8501173818,948.3117149416
1.8501192319,909.8515109146
1.8501210820,872.8817119855
1.8501229322,872.4172714796
1.8501247823,897.0171862835
1.8501266324,913.5378352124
1.8501284825,909.3192704089
1.8501303327,883.5959377058
1.8501321828,839.9972213084
1.8501340329,787.7688063063
1.8501358831,750.7806656106
1.8501377332,761.1301721552
1.8501395833,806.4829454781
1.8501414335,848.0083258059
1.8501432836,866.2942694932
1.8501451338,856.2648802000
1.8501469839,820.3106538804
1.8501488341,771.7471355977
1.8501506842,745.2397271978
1.8501525344,769.1456852466
1.8501543845,819.9019790393
1.8501562347,870.0404403871
1.8501580848,907.8297728056
1.8501599350,925.6854067412
1.8501617852,918.1079839130
1.8501636353,883.3900134428
1.8501654855,824.9234696797
1.8501673357,752.9197313067
1.8501691858,686.0075917705
1.8501710360,647.8911023831
1.8501728862,656.4779104149
1.8501747363,706.6979214961
1.8501765865,768.6272774908
1.8501784367,816.6782351990
1.8501802869,839.1625370972
1.8501821370,832.3864540652
1.8501839872,798.4874508214
1.8501858374,750.8109310325
1.8501876876,726.7438537085
1.8501895378,755.0195577538
1.8501913880,803.8670841598
1.8501932382,840.3733950464
1.8501950884,853.2642997216
1.8501969386,841.4811854114
1.8501987888,812.7398104450
1.8502006390,789.0889789329
1.8502024892,794.1804200616
1.8502043394,815.8362003776
1.8502061896,826.7876544704
1.8502080398,814.5734710739
1.8502098900,779.5688172918
1.8502117402,734.7612856510
1.8502135904,707.7270646867
1.8502154406,713.0810309494
1.8502172908,734.4454948168
1.8502191411,762.2951624683
1.8502209913,802.6423397452
1.8502228415,852.3692067226
1.8502246917,893.8749246260
1.8502265420,912.5825165753
1.8502283922,902.4531290801
1.8502302424,863.5996466500
1.8502320926,801.5022115318
1.8502339429,730.0130948995
1.8502357931,673.8320363383
1.8502376433,650.1416601223
1.8502394936,650.7500270336
1.8502413438,667.0839143250
1.8502431941,704.6467919903
1.8502450443,763.9209417397
1.8502468946,827.1342682685
1.8502487448,875.6014867420
1.8502505951,899.5465740779
1.8502524453,895.7189322175
1.8502542956,865.2692195988
1.8502561458,814.2617626429
1.8502579961,758.0282030230
1.8502598463,727.5007943824
1.8502616966,753.0338595375
1.8502635469,822.8681250649
1.8502653971,900.6002983985
1.8502672474,962.8488321811
1.8502690977,998.9237029699
1.8502709479,1004.0478575985
1.8502727982,976.9581617936
1.8502746485,919.7722237902
1.8502764987,839.3048288432
1.8502783490,750.4663830859
1.8502801993,676.8160832905
1.8502820496,635.8155441793
