wl_micron,value
1.4499993189,185.2160150945
1.4500007689,181.7413414035
1.4500022189,177.4272479310
1.4500036689,174.3956447993
1.4500051189,172.5375559848
1.4500065689,171.2233098661
1.4500080189,170.1929788251
1.4500094689,169.3120435037
1.4500109189,168.5611358781
1.4500123690,167.9160024898
1.4500138190,167.3582246801
1.4500152690,166.8734764756
1.4500167190,166.4493957439
1.4500181690,166.0787878465
1.4500196190,165.7537795097
1.4500210691,165.4693008345
1.4500225191,165.2226204153
1.4500239691,165.0050769348
1.4500254191,164.8097762941
1.4500268692,164.6367395333
1.4500283192,164.4900345206
1.4500297692,164.3697893097
1.4500312192,164.2749087407
1.4500326693,164.2062549262
1.4500341193,164.1673003964
1.4500355693,164.1649156613
1.4500370194,164.2067191020
1.4500384694,164.3061391163
1.4500399195,164.5410077479
1.4500413695,165.2346816545
1.4500428195,166.9824606344
1.4500442696,169.3773171137
1.4500457196,169.8897024193
1.4500471697,167.7283533209
1.4500486197,165.4063407293
1.4500500698,164.2184584147
1.4500515198,163.7060908252
1.4500529699,163.4207437323
1.4500544199,163.2155358182
1.4500558700,163.0523736983
1.4500573200,162.9189658704
1.4500587701,162.8091199216
1.4500602202,162.7209286423
1.4500616702,162.6551794606
1.4500631203,162.6024579207
1.4500645703,162.5683461180
1.4500660204,162.5562802076
1.4500674705,162.5804760520
1.4500689205,162.7018860674
1.4500703706,163.0570306364
1.4500718207,163.6115428774
1.4500732708,163.8290633905
1.4500747208,163.4031193787
1.4500761709,162.8464510553
1.4500776210,162.5523197821
1.4500790711,162.4491479460
1.4500805211,162.4176911966
1.4500819712,162.4192093630
1.4500834213,162.4493865045
1.4500848714,162.5094838199
1.4500863215,162.6020200269
1.4500877716,162.7442119050
1.4500892217,162.9936336442
1.4500906717,163.5666949033
1.4500921218,164.9835356141
1.4500935719,167.3088997293
1.4500950220,168.6121318189
1.4500964721,167.3161910872
1.4500979222,165.1147913640
1.4500993723,163.6719411491
1.4501008224,162.9718508010
1.4501022725,162.6318746527
1.4501037226,162.4328086444
1.4501051727,162.2913118898
1.4501066228,162.1819508909
1.4501080729,162.0956109836
1.4501095230,162.0273983549
1.4501109732,161.9738830349
1.4501124233,161.9284114376
1.4501138734,161.8963457795
1.4501153235,161.8727449328
1.4501167736,161.8562138416
1.4501182237,161.8470733485
1.4501196738,161.8441774427
1.4501211240,161.8470798980
1.4501225741,161.8554096273
1.4501240242,161.8690846288
1.4501254743,161.8882970577
1.4501269245,161.9133202579
1.4501283746,161.9446516383
1.4501298247,161.9830393802
1.4501312748,162.0294220328
1.4501327250,162.0850275382
1.4501341751,162.1512035577
1.4501356252,162.2305060593
1.4501370754,162.3254070943
1.4501385255,162.4398503267
1.4501399757,162.5807036712
1.4501414258,162.7644941609
1.4501428759,163.0495587302
1.4501443261,163.6541513062
1.4501457762,165.0598491871
1.4501472264,167.1812460373
1.4501486765,168.0594590401
1.4501501267,166.5940125969
1.4501515768,164.6541001204
1.4501530270,163.6053117592
1.4501544771,163.2222283336
1.4501559273,163.0625605025
1.4501573774,162.9782377863
1.4501588276,162.9313989702
1.4501602778,162.9102681669
1.4501617279,162.9094487016
1.4501631781,162.9256915553
1.4501646283,162.9567023628
1.4501660784,163.0010033451
1.4501675286,163.0574123304
1.4501689788,163.1253263626
1.4501704289,163.2050304786
1.4501718791,163.2963629742
1.4501733293,163.3976298964
1.4501747794,163.5063893812
1.4501762296,163.6243938327
1.4501776798,163.7548993477
1.4501791300,163.8989174102
1.4501805801,164.0567514815
1.4501820303,164.2350317636
1.4501834805,164.4234406716
1.4501849307,164.6306496901
1.4501863809,164.8610263061
1.4501878311,165.1165864489
1.4501892813,165.3900264636
1.4501907314,165.6792704423
1.4501921816,165.9963896548
1.4501936318,166.3515872643
1.4501950820,166.7492275437
1.4501965322,167.1968656527
1.4501979824,167.7087697579
1.4501994326,168.3112081361
1.4502008828,169.1125884420
1.4502023330,170.4409494222
1.4502037832,172.6661319668
1.4502052334,174.9067693824
1.4502066836,175.2758630923
1.4502081338,174.2739450051
1.4502095841,173.8174829442
1.4502110343,174.2664753578
1.4502124845,175.2015215187
1.4502139347,176.4072523216
1.4502153849,177.8452018926
1.4502168351,179.5310308020
1.4502182853,181.4982581783
1.4502197356,183.7900634121
1.4502211858,186.4601088661
1.4502226360,189.5691266634
1.4502240862,193.2002054045
1.4502255364,197.4412561550
1.4502269867,202.4087364940
1.4502284369,208.2765634229
1.4502298871,215.3914325392
1.4502313374,224.7435631343
1.4502327876,240.1472911003
1.4502342378,274.7760892001
1.4502356881,344.6268923101
1.4502371383,419.0171701790
1.4502385885,441.5302801209
1.4502400388,396.6294859967
1.4502414890,317.6731742479
1.4502429393,260.4637871557
1.4502443895,234.7897713355
1.4502458397,222.5735298407
1.4502472900,214.9462403362
1.4502487402,210.1287194764
1.4502501905,208.8496591316
1.4502516407,210.4815389660
1.4502530910,209.1708239863
1.4502545412,201.6047046340
1.4502559915,193.1509083152
1.4502574418,187.7364943865
1.4502588920,184.5475204447
1.4502603423,182.3523570552
1.4502617925,180.7361998888
1.4502632428,179.7849544190
1.4502646931,179.8204644907
1.4502661433,180.3450930651
1.4502675936,179.5855447994
1.4502690439,177.3866526985
1.4502704941,175.4993760471
1.4502719444,174.6027898982
1.4502733947,174.4485241325
1.4502748450,174.6688925661
1.4502762952,174.6969061479
1.4502777455,174.4167785739
1.4502791958,174.3337051877
1.4502806461,174.7085825035
1.4502820963,175.4907411540
1.4502835466,176.6837761449
1.4502849969,178.4992843667
1.4502864472,181.8050290561
1.4502878975,189.6567800472
1.4502893478,208.1735158739
1.4502907981,234.3107579860
1.4502922484,244.1415807280
1.4502936986,225.5826822606
1.4502951489,199.8477540604
1.4502965992,185.1543341957
1.4502980495,179.1519009043
1.4502994998,176.3524015845
1.4503009501,174.4499941013
1.4503024004,172.6987107961
1.4503038507,171.1290634462
1.4503053010,169.8865435273
1.4503067513,168.9135220544
1.4503082017,168.1166763721
1.4503096520,167.4476762765
1.4503111023,166.8812026292
1.4503125526,166.3995730999
1.4503140029,165.9891734601
1.4503154532,165.6396880093
1.4503169035,165.3433363623
1.4503183538,165.0935182178
1.4503198042,164.8861894375
1.4503212545,164.7200097039
1.4503227048,164.5952460985
1.4503241551,164.5162342679
1.4503256055,164.5035542059
1.4503270558,164.6465877589
1.4503285061,165.2306899204
1.4503299564,166.5527333380
1.4503314068,167.7839682045
1.4503328571,167.3088269123
1.4503343074,165.6434177881
1.4503357578,164.4042857776
1.4503372081,163.8366023146
1.4503386584,163.5621681958
1.4503401088,163.3831093733
1.4503415591,163.2449848927
1.4503430095,163.1327616972
1.4503444598,163.0403395507
1.4503459102,162.9643109857
1.4503473605,162.9023136605
1.4503488109,162.8524444676
1.4503502612,162.8131697619
1.4503517116,162.7834275765
1.4503531619,162.7625074646
1.4503546123,162.7498738616
1.4503560626,162.7451747547
1.4503575130,162.7481943054
1.4503589633,162.7585436244
1.4503604137,162.7757163585
1.4503618641,162.8007656685
1.4503633144,162.8322698411
1.4503647648,162.8719430139
1.4503662151,162.9201522680
1.4503676655,162.9772905272
1.4503691159,163.0439777234
1.4503705662,163.1210709502
1.4503720166,163.2095445574
1.4503734670,163.3104003573
1.4503749174,163.4249389094
1.4503763677,163.5550108643
1.4503778181,163.7054503801
1.4503792685,163.8739119365
1.4503807189,164.0662653282
1.4503821693,164.2854614346
1.4503836196,164.5319381719
1.4503850700,164.8102209326
1.4503865204,165.1302481151
1.4503879708,165.5009547754
1.4503894212,165.9311020631
1.4503908716,166.4319154187
1.4503923220,167.0190814296
1.4503937724,167.7178279027
1.4503952228,168.5862565216
