wl_micron,value
1.0499999187,203.5856160870
1.0500009687,203.5831305887
1.0500020187,203.5828000940
1.0500030687,203.5844985417
1.0500041187,203.5888568267
1.0500051687,203.5957251982
1.0500062187,203.5998334463
1.0500072687,203.5974960982
1.0500083187,203.5939670815
1.0500093687,203.5942908187
1.0500104187,203.5997277954
1.0500114687,203.6091877160
1.0500125188,203.6148458950
1.0500135688,203.6117563611
1.0500146188,203.6076749737
1.0500156688,203.6081209384
1.0500167188,203.6114727965
1.0500177688,203.6168015233
1.0500188189,203.6255330679
1.0500198689,203.6425747062
1.0500209189,203.6874817759
1.0500219689,203.7949204466
1.0500230189,203.9245491859
1.0500240690,203.9250645040
1.0500251190,203.7970545778
1.0500261690,203.6918581943
1.0500272190,203.6493202847
1.0500282691,203.6344148132
1.0500293191,203.6268783684
1.0500303691,203.6217407598
1.0500314192,203.6182782313
1.0500324692,203.6161945085
1.0500335192,203.6150578395
1.0500345693,203.6145469787
1.0500356193,203.6144896011
1.0500366693,203.6147654543
1.0500377194,203.6153143322
1.0500387694,203.6160940932
1.0500398194,203.6170841628
1.0500408695,203.6183138126
1.0500419195,203.6198850594
1.0500429696,203.6218339717
1.0500440196,203.6239219988
1.0500450697,203.6258685374
1.0500461197,203.6275611958
1.0500471697,203.6292374376
1.0500482198,203.6314802197
1.0500492698,203.6349112385
1.0500503199,203.6393984746
1.0500513699,203.6427983649
1.0500524200,203.6439856279
1.0500534700,203.6451256199
1.0500545201,203.6477144236
1.0500555702,203.6515182955
1.0500566202,203.6564291835
1.0500576703,203.6628500233
1.0500587203,203.6710378333
1.0500597704,203.6808039682
1.0500608204,203.6904588933
1.0500618705,203.6974662408
1.0500629206,203.7044570370
1.0500639706,203.7167656131
1.0500650207,203.7374057472
1.0500660708,203.7651080363
1.0500671208,203.7897412749
1.0500681709,203.8076132330
1.0500692210,203.8294725658
1.0500702710,203.8627795025
1.0500713211,203.9121854431
1.0500723712,203.9874279984
1.0500734212,204.1266266998
1.0500744713,204.4894863008
1.0500755214,205.4216410101
1.0500765715,206.7047816228
1.0500776216,206.8654746442
1.0500786716,205.6681594696
1.0500797217,204.6140242555
1.0500807718,204.1738238627
1.0500818219,204.0121010524
1.0500828720,203.9299976276
1.0500839220,203.8768897766
1.0500849721,203.8394318903
1.0500860222,203.8088093819
1.0500870723,203.7812588339
1.0500881224,203.7589248828
1.0500891725,203.7423471361
1.0500902226,203.7297811697
1.0500912726,203.7198840794
1.0500923227,203.7121575133
1.0500933728,203.7063691196
1.0500944229,203.7026999322
1.0500954730,203.6997952588
1.0500965231,203.6955348517
1.0500975732,203.6906542144
1.0500986233,203.6870764489
1.0500996734,203.6848444268
1.0501007235,203.6830527448
1.0501017736,203.6812804265
1.0501028237,203.6797822166
1.0501038738,203.6787147287
1.0501049239,203.6779677471
1.0501059740,203.6774279950
1.0501070241,203.6770892284
1.0501080742,203.6770415044
1.0501091244,203.6773171553
1.0501101745,203.6775875077
1.0501112246,203.6775091927
1.0501122747,203.6773860915
1.0501133248,203.6777065312
1.0501143749,203.6788183063
1.0501154250,203.6806552428
1.0501164751,203.6817921266
1.0501175253,203.6812179539
1.0501185754,203.6802833615
1.0501196255,203.6801144717
1.0501206756,203.6805020017
1.0501217257,203.6810980949
1.0501227759,203.6818110083
1.0501238260,203.6827063954
1.0501248761,203.6839351885
1.0501259262,203.6854982906
1.0501269764,203.6870321291
1.0501280265,203.6888407341
1.0501290766,203.6925612284
1.0501301267,203.6980439630
1.0501311769,203.7006025199
1.0501322270,203.6978445655
1.0501332771,203.6943156556
1.0501343273,203.6931564105
1.0501353774,203.6936174163
1.0501364275,203.6948145613
1.0501374777,203.6969025520
1.0501385278,203.7007222042
1.0501395780,203.7057020223
1.0501406281,203.7083213992
1.0501416782,203.7074666011
1.0501427284,203.7063999017
1.0501437785,203.7070868794
1.0501448287,203.7094591465
1.0501458788,203.7134069707
1.0501469290,203.7191679876
1.0501479791,203.7281969112
1.0501490293,203.7458070015
1.0501500794,203.7729784481
1.0501511296,203.7910924260
1.0501521797,203.7895082561
1.0501532299,203.8013327682
1.0501542800,203.8718780586
1.0501553302,203.9786207706
1.0501563803,203.9969568384
1.0501574305,203.9028671833
1.0501584806,203.8193969522
1.0501595308,203.7881930789
1.0501605810,203.7710643308
1.0501616311,203.7526078641
1.0501626813,203.7399178490
1.0501637314,203.7335479230
1.0501647816,203.7301013805
1.0501658318,203.7281040021
1.0501668819,203.7270330492
1.0501679321,203.7265534486
1.0501689823,203.7264914036
1.0501700324,203.7267355578
1.0501710826,203.7271824608
1.0501721328,203.7277838907
1.0501731830,203.7285517374
1.0501742331,203.7294851759
1.0501752833,203.7305720337
1.0501763335,203.7318357520
1.0501773837,203.7333488217
1.0501784338,203.7351906808
1.0501794840,203.7372225625
1.0501805342,203.7392964383
1.0501815844,203.7416750915
1.0501826346,203.7447911133
1.0501836847,203.7479617866
1.0501847349,203.7498816242
1.0501857851,203.7513120144
1.0501868353,203.7532862616
1.0501878855,203.7556532867
1.0501889357,203.7582916995
1.0501899859,203.7610594057
1.0501910361,203.7645734819
1.0501920863,203.7711601813
1.0501931364,203.7822863797
1.0501941866,203.7923606981
1.0501952368,203.7945141601
1.0501962870,203.7937682721
1.0501973372,203.7961238977
1.0501983874,203.8011348332
1.0501994376,203.8082929072
1.0502004878,203.8178909586
1.0502015380,203.8299084149
1.0502025882,203.8452014501
1.0502036384,203.8649701496
1.0502046886,203.8907855636
1.0502057388,203.9242765494
1.0502067890,203.9678003214
1.0502078393,204.0277417327
1.0502088895,204.1254713693
1.0502099397,204.3610475215
1.0502109899,205.0003434129
1.0502120401,206.0372398966
1.0502130903,206.4069605041
1.0502141405,205.5710405450
1.0502151907,204.6472861572
1.0502162409,204.2256871104
1.0502172912,204.0753119187
