wl_micron,value
1.8499989781,358.0569151658
1.8500008281,358.0650936288
1.8500026781,358.0660178888
1.8500045281,358.0589825543
1.8500063781,358.0528097261
1.8500082281,358.0508069153
1.8500100781,358.0509330584
1.8500119281,358.0517110150
1.8500137781,358.0526142075
1.8500156281,358.0534619921
1.8500174782,358.0543875149
1.8500193282,358.0555528980
1.8500211782,358.0569370979
1.8500230282,358.0584657130
1.8500248783,358.0601911263
1.8500267283,358.0623864259
1.8500285783,358.0655154748
1.8500304283,358.0703682376
1.8500322784,358.0795362029
1.8500341284,358.1058313059
1.8500359784,358.1968085142
1.8500378285,358.4137312553
1.8500396785,358.6337719685
1.8500415285,358.5830623141
1.8500433786,358.3391599781
1.8500452286,358.1793550407
1.8500470787,358.1356669478
1.8500489287,358.1198783892
1.8500507788,358.0989027669
1.8500526288,358.0838935128
1.8500544789,358.0789080501
1.8500563289,358.0801813824
1.8500581790,358.0882637276
1.8500600291,358.1049257886
1.8500618791,358.1214800114
1.8500637292,358.1201743508
1.8500655792,358.1022164882
1.8500674293,358.0876929714
1.8500692794,358.0838100628
1.8500711295,358.0872437023
1.8500729795,358.0982247833
1.8500748296,358.1178134946
1.8500766797,358.1373848862
1.8500785298,358.1625118509
1.8500803798,358.2286764023
1.8500822299,358.3026207614
1.8500840800,358.2843775127
1.8500859301,358.2000403580
1.8500877802,358.1398202229
1.8500896303,358.1118105639
1.8500914803,358.0980567709
1.8500933304,358.0920443994
1.8500951805,358.0902344520
1.8500970306,358.0907273936
1.8500988807,358.0937417160
1.8501007308,358.0988350967
1.8501025809,358.1015660621
1.8501044310,358.0998939664
1.8501062811,358.0998453984
1.8501081312,358.1099874179
1.8501099814,358.1347502180
1.8501118315,358.1563477494
1.8501136816,358.1485850050
1.8501155317,358.1247218387
1.8501173818,358.1089213131
1.8501192319,358.1021482828
1.8501210820,358.0997625587
1.8501229322,358.0995793390
1.8501247823,358.1004624951
1.8501266324,358.1023317617
1.8501284825,358.1069757727
1.8501303327,358.1189906564
1.8501321828,358.1389234627
1.8501340329,358.1550206487
1.8501358831,358.1604044074
1.8501377332,358.1553179921
1.8501395833,358.1384653189
1.8501414335,358.1219390291
1.8501432836,358.1148841257
1.8501451338,358.1147624051
1.8501469839,358.1203660624
1.8501488341,358.1407860413
1.8501506842,358.1955811007
1.8501525344,358.2682873815
1.8501543845,358.2766052530
1.8501562347,358.2095599503
1.8501580848,358.1504672502
1.8501599350,358.1280526677
1.8501617852,358.1223663592
1.8501636353,358.1201668042
1.8501654855,358.1187555391
1.8501673357,358.1182314259
1.8501691858,358.1185074974
1.8501710360,358.1190844814
1.8501728862,358.1195681790
1.8501747363,358.1200413689
1.8501765865,358.1206924753
1.8501784367,358.1215889241
1.8501802869,358.1229053692
1.8501821370,358.1254781925
1.8501839872,358.1314907413
1.8501858374,358.1410168702
1.8501876876,358.1461083748
1.8501895378,358.1412967236
1.8501913880,358.1339592882
1.8501932382,358.1305845928
1.8501950884,358.1303985645
1.8501969386,358.1316630176
1.8501987888,358.1342002134
1.8502006390,358.1382089471
1.8502024892,358.1427081577
1.8502043394,358.1493544554
1.8502061896,358.1729268607
1.8502080398,358.2404415497
1.8502098900,358.3329708203
1.8502117402,358.3478719449
1.8502135904,358.2652662883
1.8502154406,358.1880276796
1.8502172908,358.1581986383
1.8502191411,358.1555221015
1.8502209913,358.1697865296
1.8502228415,358.1947909233
1.8502246917,358.2041148073
1.8502265420,358.1864972366
1.8502283922,358.1692736150
1.8502302424,358.1695495996
1.8502320926,358.1779764494
1.8502339429,358.1765712594
1.8502357931,358.1643369535
1.8502376433,358.1549592490
1.8502394936,358.1520724674
1.8502413438,358.1521136797
1.8502431941,358.1531755882
1.8502450443,358.1549301882
1.8502468946,358.1577387945
1.8502487448,358.1633042385
1.8502505951,358.1753844640
1.8502524453,358.1945354792
1.8502542956,358.2157203743
1.8502561458,358.2618393002
1.8502579961,358.4000956238
1.8502598463,358.6010334936
1.8502616966,358.6363736163
1.8502635469,358.4543324648
1.8502653971,358.2900679884
1.8502672474,358.2516379845
1.8502690977,358.2805168325
1.8502709479,358.2888093111
1.8502727982,358.2514668584
1.8502746485,358.2106000291
1.8502764987,358.1879314834
1.8502783490,358.1776913332
1.8502801993,358.1729955227
1.8502820496,358.1710622502
1.8502838999,358.1708129081
1.8502857501,358.1718028855
1.8502876004,358.1749017766
1.8502894507,358.1849056055
1.8502913010,358.2104256404
1.8502931513,358.2425557966
1.8502950016,358.2453153397
1.8502968519,358.2163344049
1.8502987022,358.1912152384
1.8503005525,358.1810599292
1.8503024028,358.1781952016
1.8503042531,358.1781093196
1.8503061034,358.1797605699
1.8503079537,358.1840229891
1.8503098040,358.1942398865
1.8503116543,358.2088871676
1.8503135046,358.2131540771
1.8503153550,358.2017952365
1.8503172053,358.1897201504
1.8503190556,358.1848747922
1.8503209059,358.1842459254
1.8503227562,358.1849957527
1.8503246066,358.1865008466
1.8503264569,358.1895559526
1.8503283072,358.1971507464
1.8503301575,358.2120848667
1.8503320079,358.2252228450
1.8503338582,358.2215162175
1.8503357085,358.2080997460
1.8503375589,358.2004253867
1.8503394092,358.2000120072
1.8503412596,358.2039500807
1.8503431099,358.2144098032
1.8503449602,358.2459293075
1.8503468106,358.3260155558
1.8503486609,358.4447017484
1.8503505113,358.5547429106
1.8503523616,358.6911764030
1.8503542120,358.7835468733
1.8503560623,358.6450231086
1.8503579127,358.4070638151
1.8503597631,358.2730205427
1.8503616134,358.2308029890
1.8503634638,358.2212488791
1.8503653141,358.2270064101
1.8503671645,358.2491224536
1.8503690149,358.2718710414
1.8503708653,358.2657192331
1.8503727156,358.2389250912
1.8503745660,358.2197365905
1.8503764164,358.2125198372
1.8503782668,358.2106978157
1.8503801171,358.2104811834
1.8503819675,358.2104053270
1.8503838179,358.2103597797
1.8503856683,358.2106360113
1.8503875187,358.2111715048
1.8503893691,358.2118888850
1.8503912194,358.2129419524
1.8503930698,358.2148800299
1.8503949202,358.2183642324
1.8503967706,358.2219699151
1.8503986210,358.2227002819
1.8504004714,358.2217368469
1.8504023218,358.2232821414
1.8504041722,358.2314722770
1.8504060226,358.2557566801
1.8504078730,358.3000428355
1.8504097234,358.3267866439
1.8504115739,358.3013019293
1.8504134243,358.2620335860
1.8504152747,358.2483488866
1.8504171251,358.2571801773
1.8504189755,358.2871527313
1.8504208259,358.3354335662
1.8504226764,358.3518097451
1.8504245268,358.3099821748
1.8504263772,358.2636728531
1.8504282276,358.2440786399
1.8504300781,358.2380243245
1.8504319285,358.2356480205
1.8504337789,358.2357769240
1.8504356294,358.2381842233
1.8504374798,358.2452294704
1.8504393302,358.2701695588
1.8504411807,358.3382647804
1.8504430311,358.4278355764
1.8504448816,358.4373468856
1.8504467320,358.3545628397
1.8504485825,358.2814148898
1.8504504329,358.2536033867
1.8504522834,358.2472596763
1.8504541338,358.2479199879
1.8504559843,358.2554920437
1.8504578347,358.2710994663
1.8504596852,358.2837645193
1.8504615356,358.2850277752
1.8504633861,358.2975911986
1.8504652366,358.3436204940
1.8504670870,358.3848757327
1.8504689375,358.3638900815
1.8504707880,358.3064520460
1.8504726384,358.2690634186
1.8504744889,358.2572718600
1.8504763394,358.2559203894
1.8504781899,358.2573136295
1.8504800404,358.2592238815
1.8504818908,358.2617631067
1.8504837413,358.2668654412
1.8504855918,358.2812629696
1.8504874423,358.3262258982
1.8504892928,358.4125039728
1.8504911433,358.4668657656
1.8504929938,358.4175051949
1.8504948443,358.3356681496
1.8504966947,358.2992192947
1.8504985452,358.3059685851
1.8505003957,358.3284215385
1.8505022462,358.3393765165
1.8505040968,358.3584310367
1.8505059473,358.4258002013
1.8505077978,358.4867416288
1.8505096483,358.4472202225
1.8505114988,358.3538860596
1.8505133493,358.2965062046
1.8505151998,358.2774594719
