wl_micron,value
1.4499993189,159.0238910892
1.4500007689,159.0242622349
1.4500022189,159.0246333773
1.4500036689,159.0250045164
1.4500051189,159.0253756522
1.4500065689,159.0257467846
1.4500080189,159.0261179138
1.4500094689,159.0264890396
1.4500109189,159.0268601621
1.4500123690,159.0272312813
1.4500138190,159.0276023972
1.4500152690,159.0279735097
1.4500167190,159.0283446190
1.4500181690,159.0287157249
1.4500196190,159.0290868276
1.4500210691,159.0294579269
1.4500225191,159.0298290229
1.4500239691,159.0302001155
1.4500254191,159.0305712049
1.4500268692,159.0309422909
1.4500283192,159.0313133737
1.4500297692,159.0316844531
1.4500312192,159.0320555292
1.4500326693,159.0324266020
1.4500341193,159.0327976715
1.4500355693,159.0331687376
1.4500370194,159.0335398005
1.4500384694,159.0339108600
1.4500399195,159.0342819163
1.4500413695,159.0346529692
1.4500428195,159.0350240188
1.4500442696,159.0353950651
1.4500457196,159.0357661080
1.4500471697,159.0361371477
1.4500486197,159.0365081840
1.4500500698,159.0368792171
1.4500515198,159.0372502468
1.4500529699,159.0376212732
1.4500544199,159.0379922963
1.4500558700,159.0383633161
1.4500573200,159.0387343326
1.4500587701,159.0391053457
1.4500602202,159.0394763556
1.4500616702,159.0398473621
1.4500631203,159.0402183653
1.4500645703,159.0405893652
1.4500660204,159.0409603618
1.4500674705,159.0413313551
1.4500689205,159.0417023451
1.4500703706,159.0420733317
1.4500718207,159.0424443151
1.4500732708,159.0428152951
1.4500747208,159.0431862719
1.4500761709,159.0435572453
1.4500776210,159.0439282154
1.4500790711,159.0442991822
1.4500805211,159.0446701457
1.4500819712,159.0450411058
1.4500834213,159.0454120627
1.4500848714,159.0457830162
1.4500863215,159.0461539665
1.4500877716,159.0465249134
1.4500892217,159.0468958570
1.4500906717,159.0472667973
1.4500921218,159.0476377343
1.4500935719,159.0480086680
1.4500950220,159.0483795984
1.4500964721,159.0487505254
1.4500979222,159.0491214492
1.4500993723,159.0494923696
1.4501008224,159.0498632868
1.4501022725,159.0502342006
1.4501037226,159.0506051111
1.4501051727,159.0509760183
1.4501066228,159.0513469222
1.4501080729,159.0517178228
1.4501095230,159.0520887201
1.4501109732,159.0524596140
1.4501124233,159.0528305047
1.4501138734,159.0532013921
1.4501153235,159.0535722761
1.4501167736,159.0539450947
1.4501182237,159.0543196487
1.4501196738,159.0546941993
1.4501211240,159.0550687466
1.4501225741,159.0554432905
1.4501240242,159.0558178310
1.4501254743,159.0561923681
1.4501269245,159.0565669018
1.4501283746,159.0569414322
1.4501298247,159.0573159592
1.4501312748,159.0576904828
1.4501327250,159.0580650030
1.4501341751,159.0584395199
1.4501356252,159.0588140334
1.4501370754,159.0591885435
1.4501385255,159.0595630502
1.4501399757,159.0599375535
1.4501414258,159.0603120535
1.4501428759,159.0606865501
1.4501443261,159.0610610433
1.4501457762,159.0614355332
1.4501472264,159.0618100196
1.4501486765,159.0621845027
1.4501501267,159.0625589824
1.4501515768,159.0629334587
1.4501530270,159.0633079317
1.4501544771,159.0636824013
1.4501559273,159.0640568675
1.4501573774,159.0644313303
1.4501588276,159.0648057898
1.4501602778,159.0651802458
1.4501617279,159.0655546985
1.4501631781,159.0659291479
1.4501646283,159.0663035938
1.4501660784,159.0666780364
1.4501675286,159.0670524756
1.4501689788,159.0674269114
1.4501704289,159.0678013438
1.4501718791,159.0681757729
1.4501733293,159.0685501986
1.4501747794,159.0689246209
1.4501762296,159.0692990399
1.4501776798,159.0696734554
1.4501791300,159.0700478676
1.4501805801,159.0704222765
1.4501820303,159.0707966819
1.4501834805,159.0711710840
1.4501849307,159.0715454827
1.4501863809,159.0719198780
1.4501878311,159.0722942699
1.4501892813,159.0726686585
1.4501907314,159.0730430437
1.4501921816,159.0734174255
1.4501936318,159.0737918040
1.4501950820,159.0741661791
1.4501965322,159.0745405508
1.4501979824,159.0749149191
1.4501994326,159.0752892841
1.4502008828,159.0756636457
1.4502023330,159.0760380039
1.4502037832,159.0764123587
1.4502052334,159.0767867102
1.4502066836,159.0771610583
1.4502081338,159.0775354030
1.4502095841,159.0779097443
1.4502110343,159.0782840823
1.4502124845,159.0786584169
1.4502139347,159.0790327481
1.4502153849,159.0794070760
1.4502168351,159.0797814004
1.4502182853,159.0801557215
1.4502197356,159.0805300393
1.4502211858,159.0809043536
1.4502226360,159.0812786646
1.4502240862,159.0816529722
1.4502255364,159.0820272765
1.4502269867,159.0824015774
1.4502284369,159.0827758749
1.4502298871,159.0831501690
1.4502313374,159.0835244598
1.4502327876,159.0838987471
1.4502342378,159.0842730312
1.4502356881,159.0846473118
1.4502371383,159.0850215891
1.4502385885,159.0853958630
1.4502400388,159.0857701335
1.4502414890,159.0861444007
1.4502429393,159.0865186644
1.4502443895,159.0868929249
1.4502458397,159.0872671819
1.4502472900,159.0876414356
1.4502487402,159.0880156859
1.4502501905,159.0883899328
1.4502516407,159.0887641764
1.4502530910,159.0891384166
1.4502545412,159.0895126534
1.4502559915,159.0898868868
1.4502574418,159.0902611169
1.4502588920,159.0906353436
1.4502603423,159.0910095670
1.4502617925,159.0913837869
1.4502632428,159.0917580035
1.4502646931,159.0921322168
1.4502661433,159.0925064266
1.4502675936,159.0928806331
1.4502690439,159.0932548362
1.4502704941,159.0936290360
1.4502719444,159.0940032324
1.4502733947,159.0943774254
1.4502748450,159.0947516150
1.4502762952,159.0951258013
1.4502777455,159.0954999842
1.4502791958,159.0958741637
1.4502806461,159.0962483399
1.4502820963,159.0966225127
1.4502835466,159.0969966821
1.4502849969,159.0973708482
1.4502864472,159.0977450109
1.4502878975,159.0981191702
1.4502893478,159.0984933262
1.4502907981,159.0988674787
1.4502922484,159.0992416280
1.4502936986,159.0996157738
1.4502951489,159.0999899163
1.4502965992,159.1003640554
1.4502980495,159.1007381912
