wl_micron,value
1.0499999187,203.5599230709
1.0500009687,203.5608420686
1.0500020187,203.5617610419
1.0500030687,203.5626799906
1.0500041187,203.5635989149
1.0500051687,203.5645178147
1.0500062187,203.5654366900
1.0500072687,203.5663555408
1.0500083187,203.5672743672
1.0500093687,203.5681931690
1.0500104187,203.5691119464
1.0500114687,203.5700306993
1.0500125188,203.5709494278
1.0500135688,203.5718681317
1.0500146188,203.5727868112
1.0500156688,203.5737054662
1.0500167188,203.5746240968
1.0500177688,203.5755427028
1.0500188189,203.5764612844
1.0500198689,203.5773798416
1.0500209189,203.5782983742
1.0500219689,203.5792168824
1.0500230189,203.5801353662
1.0500240690,203.5810538254
1.0500251190,203.5819722602
1.0500261690,203.5828906706
1.0500272190,203.5838090565
1.0500282691,203.5847274179
1.0500293191,203.5856457549
1.0500303691,203.5865640674
1.0500314192,203.5874823555
1.0500324692,203.5884006191
1.0500335192,203.5893188583
1.0500345693,203.5902370730
1.0500356193,203.5911552632
1.0500366693,203.5920734291
1.0500377194,203.5929915704
1.0500387694,203.5939096873
1.0500398194,203.5948277798
1.0500408695,203.5957458479
1.0500419195,203.5966638914
1.0500429696,203.5975819106
1.0500440196,203.5984999053
1.0500450697,203.5994178756
1.0500461197,203.6003358214
1.0500471697,203.6012537428
1.0500482198,203.6021716398
1.0500492698,203.6030895123
1.0500503199,203.6040073604
1.0500513699,203.6049251841
1.0500524200,203.6058429833
1.0500534700,203.6067607581
1.0500545201,203.6076785085
1.0500555702,203.6085962344
1.0500566202,203.6095139360
1.0500576703,203.6104316131
1.0500587203,203.6113492657
1.0500597704,203.6122668940
1.0500608204,203.6131844978
1.0500618705,203.6141020772
1.0500629206,203.6150196322
1.0500639706,203.6159371628
1.0500650207,203.6168546690
1.0500660708,203.6177721507
1.0500671208,203.6186896081
1.0500681709,203.6196070410
1.0500692210,203.6205244495
1.0500702710,203.6214418336
1.0500713211,203.6223591933
1.0500723712,203.6232765286
1.0500734212,203.6241938395
1.0500744713,203.6251111260
1.0500755214,203.6260283880
1.0500765715,203.6269456257
1.0500776216,203.6278628390
1.0500786716,203.6287800279
1.0500797217,203.6296971923
1.0500807718,203.6306143324
1.0500818219,203.6315314481
1.0500828720,203.6324485394
1.0500839220,203.6333656062
1.0500849721,203.6342826487
1.0500860222,203.6351996668
1.0500870723,203.6361166606
1.0500881224,203.6370336299
1.0500891725,203.6379505748
1.0500902226,203.6388674954
1.0500912726,203.6397843915
1.0500923227,203.6407012633
1.0500933728,203.6416181107
1.0500944229,203.6425349337
1.0500954730,203.6434517323
1.0500965231,203.6443685066
1.0500975732,203.6452852565
1.0500986233,203.6462019820
1.0500996734,203.6471186831
1.0501007235,203.6480353598
1.0501017736,203.6489520122
1.0501028237,203.6498686402
1.0501038738,203.6507852438
1.0501049239,203.6517018231
1.0501059740,203.6526183780
1.0501070241,203.6535349085
1.0501080742,203.6544514146
1.0501091244,203.6553678964
1.0501101745,203.6562843539
1.0501112246,203.6572007869
1.0501122747,203.6581171956
1.0501133248,203.6590335800
1.0501143749,203.6599499399
1.0501154250,203.6608662756
1.0501164751,203.6617825868
1.0501175253,203.6626988737
1.0501185754,203.6636151363
1.0501196255,203.6645313745
1.0501206756,203.6654475883
1.0501217257,203.6663637778
1.0501227759,203.6672799430
1.0501238260,203.6681960838
1.0501248761,203.6691122002
1.0501259262,203.6700282923
1.0501269764,203.6709443601
1.0501280265,203.6718604035
1.0501290766,203.6727764226
1.0501301267,203.6736924173
1.0501311769,203.6746083877
1.0501322270,203.6755243338
1.0501332771,203.6764402555
1.0501343273,203.6773561529
1.0501353774,203.6782720259
1.0501364275,203.6791878746
1.0501374777,203.6801036990
1.0501385278,203.6810194991
1.0501395780,203.6819352748
1.0501406281,203.6828510262
1.0501416782,203.6837667532
1.0501427284,203.6846824560
1.0501437785,203.6855981344
1.0501448287,203.6865137884
1.0501458788,203.6874294182
1.0501469290,203.6883450236
1.0501479791,203.6892606048
1.0501490293,203.6901761615
1.0501500794,203.6910916940
1.0501511296,203.6920072022
1.0501521797,203.6929226860
1.0501532299,203.6938381456
1.0501542800,203.6947535808
1.0501553302,203.6956689917
1.0501563803,203.6965843783
1.0501574305,203.6974997405
1.0501584806,203.6984150785
1.0501595308,203.6993303922
1.0501605810,203.7002456815
1.0501616311,203.7011609466
1.0501626813,203.7020761873
1.0501637314,203.7029914038
1.0501647816,203.7039065959
1.0501658318,203.7048217638
1.0501668819,203.7057369073
1.0501679321,203.7066520265
1.0501689823,203.7075671215
1.0501700324,203.7084821921
1.0501710826,203.7093972385
1.0501721328,203.7103122606
1.0501731830,203.7112272583
1.0501742331,203.7121422318
1.0501752833,203.7130571810
1.0501763335,203.7139721059
1.0501773837,203.7148870065
1.0501784338,203.7158018828
1.0501794840,203.7167167349
1.0501805342,203.7176315626
1.0501815844,203.7185463661
1.0501826346,203.7194611453
1.0501836847,203.7203759002
1.0501847349,203.7212906308
1.0501857851,203.7222053372
1.0501868353,203.7231200193
1.0501878855,203.7240346771
1.0501889357,203.7249493106
1.0501899859,203.7258639199
1.0501910361,203.7267785049
1.0501920863,203.7276930656
1.0501931364,203.7286076020
1.0501941866,203.7295221142
1.0501952368,203.7304366021
1.0501962870,203.7313510657
1.0501973372,203.7322655051
1.0501983874,203.7331799202
1.0501994376,203.7340943111
1.0502004878,203.7350086706
1.0502015380,203.7359230052
1.0502025882,203.7368373155
1.0502036384,203.7377516015
1.0502046886,203.7386658633
1.0502057388,203.7395801008
1.0502067890,203.7404943141
1.0502078393,203.7414085031
1.0502088895,203.7423226679
1.0502099397,203.7432368084
1.0502109899,203.7441509247
1.0502120401,203.7450650167
1.0502130903,203.7459790845
1.0502141405,203.7468931280
1.0502151907,203.7478071473
1.0502162409,203.7487211423
1.0502172912,203.7496351131
1.0502183414,203.7505490597
1.0502193916,203.7514629820
1.0502204418,203.7523768801
1.0502214920,203.7532907539
1.0502225423,203.7542046035
1.0502235925,203.7551184289
1.0502246427,203.7560322300
1.0502256929,203.7569460069
