wl_micron,value
1.8499989781,358.0424143138
1.8500008281,358.0432019432
1.8500026781,358.0439895603
1.8500045281,358.0447771650
1.8500063781,358.0455647574
1.8500082281,358.0463523374
1.8500100781,358.0471399050
1.8500119281,358.0479274602
1.8500137781,358.0487150031
1.8500156281,358.0495025336
1.8500174782,358.0502900518
1.8500193282,358.0510775576
1.8500211782,358.0518650510
1.8500230282,358.0526525321
1.8500248783,358.0534400008
1.8500267283,358.0542274571
1.8500285783,358.0550149011
1.8500304283,358.0558023327
1.8500322784,358.0565897519
1.8500341284,358.0573771588
1.8500359784,358.0581645534
1.8500378285,358.0589519356
1.8500396785,358.0597393054
1.8500415285,358.0605266628
1.8500433786,358.0613140079
1.8500452286,358.0621013407
1.8500470787,358.0628886611
1.8500489287,358.0636759691
1.8500507788,358.0644632648
1.8500526288,358.0652505481
1.8500544789,358.0660378190
1.8500563289,358.0668250776
1.8500581790,358.0676123239
1.8500600291,358.0683995578
1.8500618791,358.0691867794
1.8500637292,358.0699739885
1.8500655792,358.0707611854
1.8500674293,358.0715483699
1.8500692794,358.0723355420
1.8500711295,358.0731227018
1.8500729795,358.0739098492
1.8500748296,358.0746969843
1.8500766797,358.0754841071
1.8500785298,358.0762712175
1.8500803798,358.0770583155
1.8500822299,358.0778454012
1.8500840800,358.0786324746
1.8500859301,358.0794195356
1.8500877802,358.0802065842
1.8500896303,358.0809936205
1.8500914803,358.0817806445
1.8500933304,358.0825676561
1.8500951805,358.0833546554
1.8500970306,358.0841416423
1.8500988807,358.0849286169
1.8501007308,358.0857155791
1.8501025809,358.0865025290
1.8501044310,358.0872894666
1.8501062811,358.0880763918
1.8501081312,358.0888633047
1.8501099814,358.0896502052
1.8501118315,358.0904370934
1.8501136816,358.0912239693
1.8501155317,358.0920108328
1.8501173818,358.0927976839
1.8501192319,358.0935845228
1.8501210820,358.0943713493
1.8501229322,358.0951581634
1.8501247823,358.0959449653
1.8501266324,358.0967317548
1.8501284825,358.0975185319
1.8501303327,358.0983052967
1.8501321828,358.0990920492
1.8501340329,358.0998787894
1.8501358831,358.1006655172
1.8501377332,358.1014522327
1.8501395833,358.1022389358
1.8501414335,358.1030256266
1.8501432836,358.1038123051
1.8501451338,358.1045989713
1.8501469839,358.1053856251
1.8501488341,358.1061722666
1.8501506842,358.1069588957
1.8501525344,358.1077455125
1.8501543845,358.1085321170
1.8501562347,358.1093187092
1.8501580848,358.1101052891
1.8501599350,358.1108918566
1.8501617852,358.1116784118
1.8501636353,358.1124649546
1.8501654855,358.1132514852
1.8501673357,358.1140380034
1.8501691858,358.1148245092
1.8501710360,358.1156110028
1.8501728862,358.1163974840
1.8501747363,358.1171839529
1.8501765865,358.1179704095
1.8501784367,358.1187568538
1.8501802869,358.1195432857
1.8501821370,358.1203297053
1.8501839872,358.1211161126
1.8501858374,358.1219025076
1.8501876876,358.1226888903
1.8501895378,358.1234752606
1.8501913880,358.1242616186
1.8501932382,358.1250479643
1.8501950884,358.1258342977
1.8501969386,358.1266206187
1.8501987888,358.1274069275
1.8502006390,358.1281932239
1.8502024892,358.1289795080
1.8502043394,358.1297657798
1.8502061896,358.1305520393
1.8502080398,358.1313382864
1.8502098900,358.1321245213
1.8502117402,358.1329107438
1.8502135904,358.1336969540
1.8502154406,358.1344831519
1.8502172908,358.1352693375
1.8502191411,358.1360555108
1.8502209913,358.1368416717
1.8502228415,358.1376278204
1.8502246917,358.1384139567
1.8502265420,358.1392000807
1.8502283922,358.1399861925
1.8502302424,358.1407722919
1.8502320926,358.1415583790
1.8502339429,358.1423444538
1.8502357931,358.1431305162
1.8502376433,358.1439165664
1.8502394936,358.1447026043
1.8502413438,358.1454886298
1.8502431941,358.1462746431
1.8502450443,358.1470606440
1.8502468946,358.1478466327
1.8502487448,358.1486326090
1.8502505951,358.1494185730
1.8502524453,358.1502045248
1.8502542956,358.1509904642
1.8502561458,358.1517763913
1.8502579961,358.1525623061
1.8502598463,358.1533482086
