wl_micron,value
1.4499993189,575.8053758530
1.4500007689,640.1353569409
1.4500022189,712.7741577140
1.4500036689,773.2151683065
1.4500051189,808.4352840516
1.4500065689,815.6704643537
1.4500080189,813.5239951979
1.4500094689,860.7054897991
1.4500109189,963.3036284178
1.4500123690,1062.1551391485
1.4500138190,1131.9070954148
1.4500152690,1165.8411091368
1.4500167190,1161.7989285484
1.4500181690,1119.9456160628
1.4500196190,1042.4147106266
1.4500210691,933.2037447436
1.4500225191,799.9713542949
1.4500239691,668.5027630777
1.4500254191,586.8986645393
1.4500268692,553.6071442515
1.4500283192,538.5132910627
1.4500297692,530.3303130370
1.4500312192,527.5967454155
1.4500326693,528.8670244337
1.4500341193,529.8057971389
1.4500355693,525.9004337500
1.4500370194,516.4764091231
1.4500384694,505.0088625423
1.4500399195,495.5573691442
1.4500413695,489.7118603863
1.4500428195,487.1236515540
1.4500442696,487.1436713775
1.4500457196,489.2393577399
1.4500471697,492.8107344999
1.4500486197,496.9517835526
1.4500500698,500.0620012133
1.4500515198,500.3894380847
1.4500529699,498.4954605726
1.4500544199,499.9718604490
1.4500558700,515.0688235085
1.4500573200,552.4090731052
1.4500587701,608.3118458464
1.4500602202,665.9023321177
1.4500616702,709.4350523419
1.4500631203,731.0697841159
1.4500645703,727.8723069475
1.4500660204,699.5211172830
1.4500674705,648.6316293383
1.4500689205,584.9759478674
1.4500703706,529.6405358593
1.4500718207,498.7852457976
1.4500732708,487.5800055513
1.4500747208,484.8798342886
1.4500761709,484.8136081786
1.4500776210,485.5603146535
1.4500790711,486.7008321539
1.4500805211,488.2255546452
1.4500819712,490.4181566543
1.4500834213,493.8623492116
1.4500848714,498.9486583263
1.4500863215,504.8774864143
1.4500877716,509.5952915761
1.4500892217,511.6698224044
1.4500906717,512.0973381473
1.4500921218,513.4959650808
1.4500935719,517.2497462275
1.4500950220,521.9073801618
1.4500964721,524.8745039543
1.4500979222,525.3565903588
1.4500993723,525.4192530682
1.4501008224,528.8383397643
1.4501022725,539.4177697210
1.4501037226,558.1846995915
1.4501051727,579.7590181825
1.4501066228,594.4788477509
1.4501080729,596.0104997279
1.4501095230,585.9239734280
1.4501109732,572.5838320230
1.4501124233,564.4720112980
1.4501138734,563.6575589564
1.4501153235,567.4716978515
1.4501167736,573.3229522216
1.4501182237,580.1692982816
1.4501196738,587.9990131383
1.4501211240,597.8047771329
1.4501225741,613.0154293460
1.4501240242,641.0271380693
1.4501254743,687.7380669985
1.4501269245,746.5493732341
1.4501283746,808.2682174567
1.4501298247,890.3358062869
1.4501312748,1016.8375808470
1.4501327250,1159.2022364330
1.4501341751,1283.6171795915
1.4501356252,1375.3896314058
1.4501370754,1427.6845818794
1.4501385255,1437.1239764941
1.4501399757,1403.0961114801
1.4501414258,1327.6539063705
1.4501428759,1215.2082701707
1.4501443261,1071.9392835791
1.4501457762,907.5978585308
1.4501472264,755.7119522410
1.4501486765,674.7172054940
1.4501501267,646.0366753027
1.4501515768,630.9375251842
1.4501530270,618.2584333304
1.4501544771,606.8070419748
1.4501559273,597.0297437448
1.4501573774,589.1064250740
1.4501588276,582.8035613480
1.4501602778,577.7316942459
1.4501617279,573.5778445920
1.4501631781,570.2106875074
1.4501646283,567.6639032368
1.4501660784,566.0382847731
1.4501675286,565.4183273656
1.4501689788,565.8644595550
1.4501704289,567.4473191887
1.4501718791,570.2761027482
1.4501733293,574.5262170189
1.4501747794,580.5495666636
1.4501762296,589.5214873630
1.4501776798,606.6338010444
1.4501791300,650.2898978368
1.4501805801,748.4705040887
1.4501820303,886.3224041137
1.4501834805,1022.0018661851
1.4501849307,1139.0549858279
1.4501863809,1230.4472403187
1.4501878311,1289.8519737673
