wl_micron,value
1.0499999187,221.2222468410
1.0500009687,234.6439730100
1.0500020187,253.1904818677
1.0500030687,269.1212473892
1.0500041187,274.2197282045
1.0500051687,265.7216773631
1.0500062187,247.9123976793
1.0500072687,229.4910887137
1.0500083187,217.0626665371
1.0500093687,211.0886543465
1.0500104187,208.8021706786
1.0500114687,208.0073528078
1.0500125188,207.8340430176
1.0500135688,208.1813933914
1.0500146188,209.2723942569
1.0500156688,211.2443670576
1.0500167188,213.6036148631
1.0500177688,215.1221925404
1.0500188189,214.7514393559
1.0500198689,212.6746255748
1.0500209189,210.1079570552
1.0500219689,208.1270412215
1.0500230189,207.0042535668
1.0500240690,206.5023465018
1.0500251190,206.3431815978
1.0500261690,206.3623681422
1.0500272190,206.4618030093
1.0500282691,206.5557573968
1.0500293191,206.5865436024
1.0500303691,206.5834343443
1.0500314192,206.6533849327
1.0500324692,206.8481371600
1.0500335192,207.0479682492
1.0500345693,207.0495026350
1.0500356193,206.7921563748
1.0500366693,206.4457091529
1.0500377194,206.2669993012
1.0500387694,206.4241203051
1.0500398194,206.9113455104
1.0500408695,207.5068909152
1.0500419195,207.8347422075
1.0500429696,207.6309564972
1.0500440196,206.9914014176
1.0500450697,206.2676857826
1.0500461197,205.7379562611
1.0500471697,205.4571008160
1.0500482198,205.3526106422
1.0500492698,205.3446430026
1.0500503199,205.3831296868
1.0500513699,205.4419040363
1.0500524200,205.5174984276
1.0500534700,205.6433050557
1.0500545201,205.8930024957
1.0500555702,206.3358313984
1.0500566202,206.9874754583
1.0500576703,207.8816252757
1.0500587203,209.2092324558
1.0500597704,211.1886806504
1.0500608204,213.5873117050
1.0500618705,215.5355624134
1.0500629206,216.1474717853
1.0500639706,215.3014337994
1.0500650207,213.5894270279
1.0500660708,211.6517662197
1.0500671208,209.8940893067
1.0500681709,208.6709696406
1.0500692210,208.2695694573
1.0500702710,208.6312743268
1.0500713211,209.3176027709
1.0500723712,209.9559547053
1.0500734212,210.7737400458
1.0500744713,212.4966750273
1.0500755214,215.4008169234
1.0500765715,218.4639140834
1.0500776216,219.9689848160
1.0500786716,219.1891930807
1.0500797217,217.0962859916
1.0500807718,215.3007029293
1.0500818219,214.6898375182
1.0500828720,214.9805475110
1.0500839220,215.1049298941
1.0500849721,214.1945144065
1.0500860222,212.4215976222
1.0500870723,210.6349283890
1.0500881224,209.3236236473
1.0500891725,208.3668299117
1.0500902226,207.5503945385
1.0500912726,206.8579320418
1.0500923227,206.3601424628
1.0500933728,206.0978493162
1.0500944229,206.1139526951
1.0500954730,206.5365397733
1.0500965231,207.5808965004
1.0500975732,209.3321133805
1.0500986233,211.3691576904
1.0500996734,212.7597400735
1.0501007235,212.7571021020
1.0501017736,211.4650922716
1.0501028237,209.6417717699
1.0501038738,208.0233523520
1.0501049239,206.9609081925
1.0501059740,206.4518948484
1.0501070241,206.2826626717
1.0501080742,206.1912161459
1.0501091244,206.0240948584
1.0501101745,205.7918276669
1.0501112246,205.5854779525
1.0501122747,205.4663339877
1.0501133248,205.4357768469
1.0501143749,205.4643655636
1.0501154250,205.5196196867
1.0501164751,205.5798258597
1.0501175253,205.6394551799
1.0501185754,205.7038182007
1.0501196255,205.7801521323
