wl_micron,value
1.8499989781,567.9716237291
1.8500008281,571.7280734897
1.8500026781,576.1885307919
1.8500045281,581.2227773006
1.8500063781,586.6613651013
1.8500082281,592.3619916104
1.8500100781,598.6636204998
1.8500119281,606.9369891467
1.8500137781,619.3681723255
1.8500156281,636.8215093256
1.8500174782,656.2111675269
1.8500193282,672.7877071819
1.8500211782,688.3493704642
1.8500230282,716.4738039305
1.8500248783,768.4572707623
1.8500267283,834.9893851398
1.8500285783,913.7431702064
1.8500304283,1026.6445865415
1.8500322784,1166.0125635233
1.8500341284,1296.3558665640
1.8500359784,1396.4302772751
1.8500378285,1456.7078438888
1.8500396785,1472.7288786514
1.8500415285,1443.3329850038
1.8500433786,1370.3384536279
1.8500452286,1258.2375976448
1.8500470787,1113.7423426583
1.8500489287,947.3392184320
1.8500507788,791.9787925018
1.8500526288,705.0387818620
1.8500544789,671.3653417274
1.8500563289,654.6222015442
1.8500581790,642.5836061935
1.8500600291,632.4827760811
1.8500618791,623.5895393015
1.8500637292,615.6749339211
1.8500655792,608.6660899412
1.8500674293,602.5735198749
1.8500692794,597.6473342323
1.8500711295,595.4813152873
1.8500729795,603.8139689574
1.8500748296,644.4145282127
1.8500766797,730.7513825342
1.8500785298,829.0990950675
1.8500803798,907.0054081317
1.8500822299,954.4776333396
1.8500840800,968.6844880585
1.8500859301,948.9359153804
1.8500877802,896.1547470259
1.8500896303,813.5682571051
1.8500914803,713.2706718792
1.8500933304,640.8125821377
1.8500951805,659.0103544018
1.8500970306,747.3486694428
1.8500988807,838.0924053232
1.8501007308,900.6310034820
1.8501025809,926.9669736771
1.8501044310,914.9586597984
1.8501062811,865.4853635704
1.8501081312,782.9967892689
1.8501099814,681.3507353359
1.8501118315,595.7016902888
1.8501136816,552.3891418476
1.8501155317,536.5515941095
1.8501173818,530.0983909200
1.8501192319,526.3021924774
1.8501210820,523.3798812571
1.8501229322,520.8224515643
1.8501247823,518.5135873927
1.8501266324,516.4778354847
1.8501284825,514.7300706615
1.8501303327,513.2537898204
1.8501321828,512.0950276696
1.8501340329,511.6119538616
1.8501358831,513.2256629836
1.8501377332,520.8934319586
1.8501395833,540.9566556619
1.8501414335,574.9344584116
1.8501432836,611.6764202858
1.8501451338,635.2302769284
1.8501469839,636.4027790722
1.8501488341,614.4777163231
1.8501506842,577.2123059625
1.8501525344,540.1845879778
1.8501543845,516.3036362069
1.8501562347,505.5842656324
1.8501580848,501.6600622253
1.8501599350,500.1435227243
1.8501617852,499.3545369328
1.8501636353,498.7953686626
1.8501654855,498.3379627739
1.8501673357,497.9624533560
1.8501691858,497.6509103178
1.8501710360,497.3583092351
1.8501728862,497.0539353993
1.8501747363,496.7535560974
1.8501765865,496.4937058481
1.8501784367,496.2969127003
1.8501802869,496.1701267786
1.8501821370,496.1202537204
1.8501839872,496.1671469960
1.8501858374,496.3489971051
1.8501876876,496.7324531225
1.8501895378,497.5197275688
1.8501913880,499.4170303012
1.8501932382,504.1045644349
1.8501950884,513.6195101993
1.8501969386,527.4224112281
1.8501987888,540.0699406803
1.8502006390,544.5586486099
1.8502024892,538.4568901818
1.8502043394,526.1701439589
1.8502061896,515.1535158759
1.8502080398,509.5587439086
1.8502098900,509.2459225315
1.8502117402,515.2509041726
1.8502135904,536.6706684474
1.8502154406,590.1809479624
1.8502172908,673.1552885256
1.8502191411,754.9699729175
1.8502209913,813.9060000887
1.8502228415,842.7463085913
1.8502246917,839.4125605526
1.8502265420,804.0227520212
1.8502283922,739.1024037977
1.8502302424,653.9375548538
1.8502320926,575.0492558020
1.8502339429,530.6523844701
1.8502357931,515.0858302216
1.8502376433,511.0800248251
1.8502394936,511.0070971701
1.8502413438,513.2292375719
1.8502431941,517.4401738967
1.8502450443,523.5132491479
1.8502468946,532.2200150007
1.8502487448,544.4977547156
1.8502505951,557.7593956277
1.8502524453,565.2711932606
1.8502542956,561.9038185664
1.8502561458,549.1755720665
1.8502579961,534.3690676008
1.8502598463,524.3226213549
1.8502616966,520.5579395454
1.8502635469,521.5431112507
1.8502653971,526.9864403417
1.8502672474,538.1800931378
1.8502690977,554.1750269085
1.8502709479,569.0237578806
1.8502727982,575.4931955282
1.8502746485,571.0211814201
1.8502764987,559.7196849307
1.8502783490,549.1355118077
1.8502801993,544.0571840852
1.8502820496,544.1689186886
1.8502838999,547.2147751713
1.8502857501,551.6668591248
1.8502876004,556.8045832268
1.8502894507,562.2052881690
1.8502913010,567.7643535294
1.8502931513,573.8426249842
1.8502950016,581.1208762025
1.8502968519,590.9433128005
1.8502987022,610.5392670695
1.8503005525,675.1916618120
1.8503024028,827.5846339339
1.8503042531,1007.0933350969
1.8503061034,1168.2041235197
1.8503079537,1301.5612856526
1.8503098040,1401.8232585760
1.8503116543,1464.5883465892
1.8503135046,1486.8564516767
1.8503153550,1467.5022364728
1.8503172053,1407.5421290652
1.8503190556,1310.2622655039
1.8503209059,1184.8792112750
1.8503227562,1079.7659403979
1.8503246066,1092.8799514866
1.8503264569,1151.7201976489
1.8503283072,1182.9064010333
1.8503301575,1174.4401360966
1.8503320079,1125.9458272660
1.8503338582,1040.2749753385
1.8503357085,922.9084385517
1.8503375589,786.3781360734
1.8503394092,671.0107167705
1.8503412596,616.3028451601
1.8503431099,598.5343434528
1.8503449602,590.3802776389
1.8503468106,583.9686166279
1.8503486609,578.7216015134
1.8503505113,575.1443210046
1.8503523616,573.1973861794
1.8503542120,572.4691680222
1.8503560623,572.6142468872
1.8503579127,573.4668652636
1.8503597631,574.9608050273
1.8503616134,577.0497856157
1.8503634638,579.6958690960
1.8503653141,582.9175884931
1.8503671645,586.8289317790
1.8503690149,591.6212315499
1.8503708653,597.4916734057
1.8503727156,604.5742076902
1.8503745660,613.0609284524
1.8503764164,623.7173384606
1.8503782668,638.6070065152
1.8503801171,664.2043397696
1.8503819675,725.0697016079
1.8503838179,852.6737293702
1.8503856683,1009.9254085228
1.8503875187,1151.9835866095
1.8503893691,1265.3730752629
1.8503912194,1344.1905794896
1.8503930698,1384.4669203480
1.8503949202,1384.1156565571
1.8503967706,1343.1723998370
1.8503986210,1263.8511614123
1.8504004714,1150.6691130720
1.8504023218,1012.3271702656
1.8504041722,872.3023942856
1.8504060226,774.6408520495
1.8504078730,720.8316611666
1.8504097234,686.8819423954
1.8504115739,679.6003166097
1.8504134243,703.4412236817
1.8504152747,735.5738254528
