wl_micron,value
1.4499993189,191.8505974572
1.4500007689,193.7576036191
1.4500022189,194.0471430916
1.4500036689,193.6368794797
1.4500051189,193.6946440085
1.4500065689,194.7442385303
1.4500080189,198.2380890129
1.4500094689,203.1331863286
1.4500109189,209.3309080653
1.4500123690,217.2434347998
1.4500138190,225.0371397450
1.4500152690,232.0503372135
1.4500167190,234.7157588547
1.4500181690,231.5595525748
1.4500196190,224.6373251421
1.4500210691,214.3510329265
1.4500225191,205.3226555575
1.4500239691,197.5859695575
1.4500254191,191.9846035937
1.4500268692,188.4474128988
1.4500283192,185.6067355454
1.4500297692,183.3372014928
1.4500312192,181.3228258506
1.4500326693,179.6725392239
1.4500341193,178.4476063654
1.4500355693,178.3671564235
1.4500370194,179.0352972272
1.4500384694,180.2156482581
1.4500399195,181.7336580986
1.4500413695,182.4676682511
1.4500428195,182.5214438817
1.4500442696,181.5659548231
1.4500457196,180.9619156004
1.4500471697,181.0583532354
1.4500486197,182.1780601388
1.4500500698,184.3699562305
1.4500515198,187.0626060354
1.4500529699,190.1877255007
1.4500544199,192.9400427639
1.4500558700,193.6134328158
1.4500573200,192.3137642939
1.4500587701,187.7638281680
1.4500602202,183.1819221357
1.4500616702,179.1006809899
1.4500631203,176.8576104831
1.4500645703,176.1049756262
1.4500660204,176.0240242298
1.4500674705,176.4464177333
1.4500689205,176.7057405912
1.4500703706,176.6712515963
1.4500718207,176.2755323647
1.4500732708,175.6424238431
1.4500747208,175.1566529508
1.4500761709,174.8265821473
1.4500776210,174.7219192938
1.4500790711,174.5846046431
1.4500805211,174.4670457669
1.4500819712,174.5289787692
1.4500834213,175.2593106954
1.4500848714,176.4948602056
1.4500863215,178.3929735442
1.4500877716,179.8913985871
1.4500892217,180.6618709206
1.4500906717,180.3788194076
1.4500921218,179.3762480486
1.4500935719,178.7763250789
1.4500950220,178.7397958690
1.4500964721,180.8099028613
1.4500979222,184.5686055272
1.4500993723,189.5932043063
1.4501008224,195.1817504042
1.4501022725,197.6531547419
1.4501037226,197.4672149154
1.4501051727,193.1380674541
1.4501066228,188.0329373691
1.4501080729,183.3740139964
1.4501095230,180.1957741210
1.4501109732,178.9139850366
1.4501124233,178.4835719622
1.4501138734,178.8378384647
1.4501153235,180.9003933415
1.4501167736,184.8592409062
1.4501182237,190.6609134347
1.4501196738,199.3741069667
1.4501211240,206.3470206302
1.4501225741,210.8910796592
1.4501240242,208.8555932151
1.4501254743,202.9267480548
1.4501269245,195.7014841422
1.4501283746,189.2119407321
1.4501298247,185.3478792687
1.4501312748,182.5818120637
1.4501327250,180.7349410816
1.4501341751,179.3780821336
1.4501356252,178.3619247333
1.4501370754,177.6944441719
1.4501385255,177.4777388800
1.4501399757,177.4020146487
1.4501414258,177.5284108737
1.4501428759,178.3372092195
1.4501443261,180.5391362387
1.4501457762,184.0038650852
1.4501472264,189.5203610268
1.4501486765,194.4692828321
1.4501501267,197.4688551291
1.4501515768,196.8507725190
1.4501530270,193.7755451272
1.4501544771,191.6649711869
1.4501559273,191.3772512240
1.4501573774,193.5943174119
1.4501588276,194.6197682301
1.4501602778,194.3030612816
1.4501617279,191.3062158396
1.4501631781,188.6814513732
1.4501646283,186.6904802599
1.4501660784,186.6531505920
1.4501675286,187.9139977337
1.4501689788,189.8292193393
1.4501704289,192.1752004508
1.4501718791,195.0581298470
1.4501733293,198.0081837735
1.4501747794,200.8949826212
1.4501762296,201.2876874276
1.4501776798,200.2595773692
1.4501791300,197.8736673189
1.4501805801,195.8935931928
1.4501820303,195.9109316210
1.4501834805,198.2161232281
1.4501849307,206.1368610493
1.4501863809,217.2884347116
1.4501878311,228.4356282575
1.4501892813,235.3041511571
1.4501907314,233.3385724191
1.4501921816,228.2911818397
1.4501936318,222.1976421208
1.4501950820,223.3272750854
1.4501965322,226.9818421488
1.4501979824,232.5573955970
1.4501994326,231.4415503012
1.4502008828,225.8584268636
1.4502023330,216.1213275714
1.4502037832,206.8665230225
1.4502052334,201.7449981950
1.4502066836,200.1309419591
1.4502081338,202.6419964522
1.4502095841,204.9534348935
1.4502110343,206.6326123399
1.4502124845,206.8323217244
1.4502139347,206.9184344286
1.4502153849,206.9601727569
1.4502168351,206.9688599637
1.4502182853,208.2488984529
1.4502197356,211.8948707489
1.4502211858,218.0350862082
1.4502226360,226.4220353758
1.4502240862,231.0831456905
1.4502255364,232.2532656408
1.4502269867,227.3912015351
1.4502284369,223.6879053930
1.4502298871,221.4370492437
1.4502313374,222.3318875836
1.4502327876,223.1759366679
1.4502342378,223.5152098013
1.4502356881,222.8011905033
1.4502371383,218.9045785064
1.4502385885,212.9808343450
1.4502400388,204.8025931210
1.4502414890,198.4120482636
1.4502429393,194.1823194372
1.4502443895,192.1301840211
1.4502458397,191.7303399873
1.4502472900,191.4326845447
1.4502487402,191.3740203056
1.4502501905,192.1916679044
1.4502516407,194.6974570370
1.4502530910,198.6067815392
1.4502545412,204.5374424812
1.4502559915,210.3204892253
1.4502574418,213.9299060265
1.4502588920,213.9380161437
1.4502603423,209.9063140710
1.4502617925,206.3167361599
1.4502632428,203.7452120560
1.4502646931,203.2942194365
1.4502661433,202.3252243309
1.4502675936,200.8844027514
1.4502690439,198.9212549525
1.4502704941,197.6265257470
