wl_micron,value
1.0499999187,215.4174772383
1.0500009687,213.7320442053
1.0500020187,212.8221672724
1.0500030687,212.6095582509
1.0500041187,212.9757918356
1.0500051687,214.1888740230
1.0500062187,217.0394420323
1.0500072687,222.4198711394
1.0500083187,229.9085757863
1.0500093687,236.8809975493
1.0500104187,239.8208031268
1.0500114687,237.0415500048
1.0500125188,230.1387394191
1.0500135688,222.6167918202
1.0500146188,217.0519099284
1.0500156688,213.8536012836
1.0500167188,212.1431462185
1.0500177688,211.1379521874
1.0500188189,210.6026720243
1.0500198689,210.4812796419
1.0500209189,210.6427637502
1.0500219689,210.8516802951
1.0500230189,210.8509157789
1.0500240690,210.5452698124
1.0500251190,210.0062166386
1.0500261690,209.4371898660
1.0500272190,209.0589589579
1.0500282691,208.9647541698
1.0500293191,209.1023800072
1.0500303691,209.4000259367
1.0500314192,209.8698905364
1.0500324692,210.6707937918
1.0500335192,212.0551123976
1.0500345693,214.0898080461
1.0500356193,216.3339214463
1.0500366693,217.8916878098
1.0500377194,218.0768924790
1.0500387694,217.1925173510
1.0500398194,216.2742846819
1.0500408695,216.0083970222
1.0500419195,216.1641305474
1.0500429696,216.0654740820
1.0500440196,215.4767403304
1.0500450697,214.6714858079
1.0500461197,213.9725301115
1.0500471697,213.4857860935
1.0500482198,213.0893816006
1.0500492698,212.6090107586
1.0500503199,211.9969325073
1.0500513699,211.3834967359
1.0500524200,210.9358648308
1.0500534700,210.7475839294
1.0500545201,210.8241492349
1.0500555702,211.1207393043
1.0500566202,211.6098903167
1.0500576703,212.3234382450
1.0500587203,213.3446162792
1.0500597704,214.8621572085
1.0500608204,217.4161521375
1.0500618705,222.2199589692
1.0500629206,230.9130795848
1.0500639706,243.9400798848
1.0500650207,257.9335592630
1.0500660708,265.9046778341
1.0500671208,263.1809877742
1.0500681709,252.1796290635
1.0500692210,239.1808870702
1.0500702710,229.3450979569
1.0500713211,224.0221736150
1.0500723712,222.1353903573
1.0500734212,222.4724554204
1.0500744713,224.7235540054
1.0500755214,229.7448156996
1.0500765715,239.7236059206
1.0500776216,256.6378714399
1.0500786716,278.5260085690
1.0500797217,297.8743322204
1.0500807718,306.0264276864
1.0500818219,299.0105989930
1.0500828720,279.8939301804
1.0500839220,257.5445791463
1.0500849721,240.4262783431
1.0500860222,230.2622380079
1.0500870723,224.6952165101
1.0500881224,221.5761814277
1.0500891725,219.8995573786
1.0500902226,219.0589840471
1.0500912726,218.6524184114
1.0500923227,218.5717778548
1.0500933728,219.1601251600
1.0500944229,221.0200727828
1.0500954730,224.2769666735
1.0500965231,228.0008110988
1.0500975732,230.6232861045
1.0500986233,231.1497651027
1.0500996734,229.9865226141
1.0501007235,228.3397412813
1.0501017736,226.9330107926
1.0501028237,225.6513382162
1.0501038738,224.3566495169
