wl_micron,value
1.8499989781,360.8943795984
1.8500008281,360.5674893278
1.8500026781,360.1241139149
1.8500045281,359.5362187357
1.8500063781,359.0595277425
1.8500082281,358.6578786547
1.8500100781,358.4628427499
1.8500119281,358.3376606196
1.8500137781,358.3217660967
1.8500156281,358.3230871567
1.8500174782,358.4192779342
1.8500193282,358.5395878902
1.8500211782,358.7579008267
1.8500230282,358.9648826867
1.8500248783,359.1508622137
1.8500267283,359.2501963452
1.8500285783,359.2621615146
1.8500304283,359.1460295423
1.8500322784,358.9600102380
1.8500341284,358.7784404979
1.8500359784,358.5978761695
1.8500378285,358.5668128147
1.8500396785,358.5519599061
1.8500415285,358.6104280627
1.8500433786,358.6594733166
1.8500452286,358.6798898991
1.8500470787,358.7164158014
1.8500489287,358.7773554470
1.8500507788,359.0328465767
1.8500526288,359.4484730692
1.8500544789,360.3443939830
1.8500563289,361.4438553738
1.8500581790,362.1472904548
1.8500600291,362.7780451607
1.8500618791,362.0112922447
1.8500637292,361.3183653566
1.8500655792,361.0914284156
1.8500674293,361.3550307358
1.8500692794,362.7736502226
1.8500711295,363.9602532871
1.8500729795,364.8666176821
1.8500748296,364.5723954469
1.8500766797,363.4638737842
1.8500785298,362.0588670823
1.8500803798,360.5439501267
1.8500822299,359.7462513988
1.8500840800,359.0572892467
1.8500859301,358.9432547430
1.8500877802,358.8552851168
1.8500896303,358.8743737828
1.8500914803,358.9277377688
1.8500933304,359.0457297726
1.8500951805,359.1691554424
1.8500970306,359.2980914649
1.8500988807,359.2416615512
1.8501007308,359.0836795849
1.8501025809,358.9523547607
1.8501044310,358.8278064968
1.8501062811,358.9204547404
1.8501081312,359.0142577401
1.8501099814,359.0024991620
1.8501118315,358.9517893891
1.8501136816,358.7814776830
1.8501155317,358.6456552659
1.8501173818,358.5626589743
1.8501192319,358.5473366452
1.8501210820,358.5883938162
1.8501229322,358.7600601899
1.8501247823,358.9886741987
1.8501266324,359.3014776033
1.8501284825,359.6291649531
1.8501303327,359.8730519253
1.8501321828,360.1365031109
1.8501340329,360.5192448095
1.8501358831,360.8355322659
1.8501377332,360.9944556727
1.8501395833,360.9495023656
1.8501414335,360.6499179789
1.8501432836,360.6100175672
1.8501451338,360.7472563487
1.8501469839,360.7104967131
1.8501488341,360.6139879281
1.8501506842,360.1507233191
1.8501525344,359.6625140416
1.8501543845,359.5962142052
1.8501562347,359.5552994365
1.8501580848,359.6199330917
1.8501599350,359.7000397648
1.8501617852,359.8096487075
1.8501636353,360.0124315576
1.8501654855,360.3105048491
1.8501673357,360.2792780241
1.8501691858,360.0656434991
1.8501710360,359.6905951394
1.8501728862,359.2727541461
1.8501747363,359.1053865946
1.8501765865,358.9548117008
1.8501784367,358.8220740186
1.8501802869,358.6996804221
1.8501821370,358.6097784378
1.8501839872,358.5720207303
1.8501858374,358.6149465962
1.8501876876,358.6499867159
1.8501895378,358.6783784389
1.8501913880,358.6570626513
1.8501932382,358.6136529332
1.8501950884,358.6162747664
1.8501969386,358.6275215743
1.8501987888,358.6907991857
1.8502006390,358.7727061792
1.8502024892,358.9649180991
1.8502043394,359.3299889637
1.8502061896,360.1131452786
1.8502080398,361.5731596778
1.8502098900,363.8725649664
1.8502117402,366.5645651942
1.8502135904,369.5059338293
1.8502154406,370.2853875523
1.8502172908,370.3188085449
1.8502191411,367.9533605033
1.8502209913,365.2806417200
1.8502228415,363.1042731806
1.8502246917,361.2770705385
1.8502265420,361.0359587907
1.8502283922,361.4913057737
1.8502302424,363.2877601378
1.8502320926,364.9745384793
1.8502339429,366.5506186479
1.8502357931,366.5447627748
1.8502376433,365.6494081863
1.8502394936,365.3830388682
1.8502413438,365.2850474412
1.8502431941,366.1555822840
1.8502450443,366.8900836762
1.8502468946,365.6151603973
1.8502487448,364.1482579040
1.8502505951,362.0793349744
1.8502524453,360.4420563742
1.8502542956,359.5100116724
1.8502561458,358.9659190186
1.8502579961,358.7578971163
1.8502598463,358.7158336184
1.8502616966,358.7491890253
1.8502635469,358.8247494933
1.8502653971,358.9084699966
1.8502672474,358.8396412559
1.8502690977,358.7638001321
1.8502709479,358.6562711796
1.8502727982,358.5819119791
1.8502746485,358.5901696708
1.8502764987,358.6573837697
1.8502783490,358.8006116667
1.8502801993,359.1128283506
1.8502820496,359.5436025780
1.8502838999,360.0478313787
1.8502857501,360.5774765129
1.8502876004,360.4883680296
1.8502894507,360.3075035304
1.8502913010,359.8027089131
1.8502931513,359.3670084552
1.8502950016,359.2403534366
1.8502968519,359.1442568470
1.8502987022,359.1090548298
1.8503005525,359.0751791853
1.8503024028,359.0427180452
1.8503042531,358.9965005378
1.8503061034,358.9423343559
1.8503079537,358.8131173646
1.8503098040,358.6631075237
1.8503116543,358.5585542482
1.8503135046,358.4630494611
1.8503153550,358.4320990153
1.8503172053,358.4083472494
1.8503190556,358.4083170571
1.8503209059,358.4177206361
1.8503227562,358.4423416018
1.8503246066,358.5213009837
1.8503264569,358.6479331166
1.8503283072,358.8355270851
1.8503301575,359.0513728481
1.8503320079,359.1106921482
1.8503338582,359.1383520656
1.8503357085,359.0277639166
1.8503375589,358.9417673070
1.8503394092,359.0366632496
1.8503412596,359.1745032349
1.8503431099,359.4223327987
